column	atlas_column	n_shared_scored	n_frozen_scored	n_atlas_scored	spearman	identical_frac	identical_up_to_sign_frac	distinct_frozen	distinct_atlas	ceiling_frozen	ceiling_atlas	identical_to_atlas_cli_rounded_frac	rounded_fullprec_reround_frac
spliceai	spliceai_ds	21394	21394	21394	0.9598706690969102	0.0	0.0	101	21328	0.9598706690775014	0.9999999999797795	0.9999532579227821	1.0
pangolin	pangolin_score	21394	21394	21394	0.9361909737214169	0.0	0.0	92	21357	0.9361909737108046	0.9999999999886644	1.0	1.0
alphagenome	alphagenome	21394	21394	21394	0.6723568588847237	0.0	0.0	7170	21210	0.9999999750361079	0.9999999999350496		
gpn_msa	gpn_msa	21394	21394	21394	-1.0	0.00014022623165373468	1.0	1668	1668	0.9999993650386473	0.9999993650386473		
nt	nucleotide_transformer	21394	21394	21394	0.9996905661025943	0.0	0.0	21361	21367	0.9999999999898898	0.9999999999917281		
cadd	cadd	19883	19883	21394	1.0	1.0	0.0	5989	5989	0.9999951430261893	0.9999951430261893		
alphamissense	alphamissense	11911	11911	11911	1.0	1.0	0.0	4982	4982	0.9999998774780755	0.9999998774780755		
phylop	phylop100way	21394	21394	21394	0.9999999999999999	1.0	0.0	3895	3895	0.9999996575749284	0.9999996575749284		
phastcons	phastcons100way	21394	21394	21394	1.0	1.0	0.237309526035337	147	147	0.957691038532831	0.957691038532831		
gnomad_af	gnomad_af_global	7702	7702	7751	-1.0	0.04609192417553882	1.0	3945	3945	0.999949899876813	0.999949899876813		
