tool,stratum,threshold_basis,threshold,gene_set,clinvar_arm,n_genes,n_pos,n_neg,n_in_band,status,sens,spec,band_lr
spliceai,s3_10,fitted moderate,0.5556567311286926,all_genes,all,7,570,2505,371,ok,0.5263157894736842,0.9716566866267465,18.569310600444773
spliceai,s3_10,fitted moderate,0.5556567311286926,all_genes,classified,7,95,578,65,ok,0.631578947368421,0.9913494809688581,73.01052631578946
spliceai,s3_10,fitted moderate,0.5556567311286926,all_genes,recorded_unclassified,7,201,596,141,ok,0.5920398009950248,0.9630872483221476,16.038896426956125
spliceai,s3_10,fitted moderate,0.5556567311286926,all_genes,unrecorded,6,274,1331,165,ok,0.4416058394160584,0.9669421487603306,13.358576642335766
spliceai,s3_10,fitted moderate,0.5556567311286926,no_BRCA1,all,6,466,2119,287,ok,0.47854077253218885,0.9697970740915526,15.84418589055794
spliceai,s3_10,fitted moderate,0.5556567311286926,no_BRCA1,classified,6,54,476,28,ok,0.4444444444444444,0.9915966386554622,52.888888888888886
spliceai,s3_10,fitted moderate,0.5556567311286926,no_BRCA1,recorded_unclassified,6,138,312,94,ok,0.5652173913043478,0.9487179487179487,11.021739130434781
spliceai,s3_10,fitted moderate,0.5556567311286926,no_BRCA1,unrecorded,6,274,1331,165,ok,0.4416058394160584,0.9669421487603306,13.358576642335766
spliceai,s3_10,published cut point,0.2,all_genes,all,7,570,2505,755,ok,0.7421052631578947,0.8674650698602795,5.59931832593532
spliceai,s3_10,published cut point,0.2,all_genes,classified,7,95,578,91,ok,0.7052631578947368,0.9584775086505191,16.985087719298246
spliceai,s3_10,published cut point,0.2,all_genes,recorded_unclassified,7,201,596,278,ok,0.8308457711442786,0.8137583892617449,4.461117834252162
spliceai,s3_10,published cut point,0.2,all_genes,unrecorded,6,274,1331,386,ok,0.6897810218978102,0.8519909842223892,4.660398680944088
spliceai,s3_10,published cut point,0.2,no_BRCA1,all,6,466,2119,619,ok,0.7017167381974249,0.8621991505427088,5.09225263096008
spliceai,s3_10,published cut point,0.2,no_BRCA1,classified,6,54,476,47,ok,0.5185185185185185,0.9600840336134454,12.990253411306043
spliceai,s3_10,published cut point,0.2,no_BRCA1,recorded_unclassified,6,138,312,186,ok,0.7971014492753623,0.7564102564102564,3.272311212814645
spliceai,s3_10,published cut point,0.2,no_BRCA1,unrecorded,6,274,1331,386,ok,0.6897810218978102,0.8519909842223892,4.660398680944088
spliceai,s11_50,fitted moderate,0.2900561094284057,all_genes,all,6,225,4312,172,ok,0.3422222222222222,0.9779684601113172,15.533286549707602
spliceai,s11_50,fitted moderate,0.2900561094284057,all_genes,classified,6,32,704,13,ok,0.15625,0.9886363636363636,13.75
spliceai,s11_50,fitted moderate,0.2900561094284057,all_genes,recorded_unclassified,5,19,292,29,ok,0.6842105263157895,0.9452054794520548,12.48684210526316
spliceai,s11_50,fitted moderate,0.2900561094284057,all_genes,unrecorded,5,174,3316,130,ok,0.3390804597701149,0.9785886610373945,15.836490205601423
spliceai,s11_50,fitted moderate,0.2900561094284057,no_BRCA1,all,5,222,3970,165,ok,0.33783783783783783,0.9773299748110831,14.902402402402403
spliceai,s11_50,fitted moderate,0.2900561094284057,no_BRCA1,classified,5,32,608,12,ok,0.15625,0.9884868421052632,13.571428571428573
spliceai,s11_50,fitted moderate,0.2900561094284057,no_BRCA1,recorded_unclassified,4,16,46,23,ok,0.6875,0.7391304347826086,2.6354166666666665
spliceai,s11_50,fitted moderate,0.2900561094284057,no_BRCA1,unrecorded,5,174,3316,130,ok,0.3390804597701149,0.9785886610373945,15.836490205601423
spliceai,s11_50,published cut point,0.2,all_genes,all,6,225,4312,250,ok,0.41333333333333333,0.9635899814471243,11.352186836518046
spliceai,s11_50,published cut point,0.2,all_genes,classified,6,32,704,22,ok,0.1875,0.9772727272727273,8.25
spliceai,s11_50,published cut point,0.2,all_genes,recorded_unclassified,5,19,292,37,ok,0.7368421052631579,0.9212328767123288,9.354691075514873
spliceai,s11_50,published cut point,0.2,all_genes,unrecorded,5,174,3316,191,ok,0.41954022988505746,0.9644149577804584,11.789791544905512
spliceai,s11_50,published cut point,0.2,no_BRCA1,all,5,222,3970,239,ok,0.4099099099099099,0.96272040302267,10.995556367177988
spliceai,s11_50,published cut point,0.2,no_BRCA1,classified,5,32,608,21,ok,0.1875,0.975328947368421,7.6
spliceai,s11_50,published cut point,0.2,no_BRCA1,recorded_unclassified,4,16,46,27,ok,0.75,0.6739130434782609,2.3
spliceai,s11_50,published cut point,0.2,no_BRCA1,unrecorded,5,174,3316,191,ok,0.41954022988505746,0.9644149577804584,11.789791544905512
spliceai,s3_50,fitted moderate,0.3818904459476471,all_genes,all,7,795,6817,621,ok,0.5383647798742138,0.971688425993839,19.01571349431355
spliceai,s3_50,fitted moderate,0.3818904459476471,all_genes,classified,7,127,1282,79,ok,0.5354330708661418,0.9914196567862714,62.40229062276307
spliceai,s3_50,fitted moderate,0.3818904459476471,all_genes,recorded_unclassified,7,220,888,210,ok,0.7136363636363636,0.9403153153153153,11.956775300171525
spliceai,s3_50,fitted moderate,0.3818904459476471,all_genes,unrecorded,6,448,4647,332,ok,0.453125,0.9722401549386701,16.323037790697676
spliceai,s3_50,fitted moderate,0.3818904459476471,no_BRCA1,all,6,688,6089,518,ok,0.49127906976744184,0.9704384956478896,16.618879198966408
spliceai,s3_50,fitted moderate,0.3818904459476471,no_BRCA1,classified,6,86,1084,39,ok,0.3488372093023256,0.9916974169741697,42.01550387596899
spliceai,s3_50,fitted moderate,0.3818904459476471,no_BRCA1,recorded_unclassified,6,154,358,147,ok,0.6818181818181818,0.88268156424581,5.811688311688311
