gene,stratum,clinvar_arm,tool,n,n_pos,n_neg,status,auroc,auprc,walker_sens_pp3,walker_spec_pp3,walker_lr_pp3,walker_lr_bp4,walker_lr_bp4_for_tier
BAP1,s3_10,classified,spliceai,142,13,129,ok,0.8545020870602266,0.49532034470366904,0.23076923076923078,0.9922480620155039,,0.5003232062055591,0.5003232062055591
BAP1,s3_10,classified,pangolin,142,13,129,ok,0.8998211091234347,0.6109496104435376,0.23076923076923078,0.9767441860465116,,0.4001240694789082,0.4001240694789082
BAP1,s3_10,classified,alphagenome,142,13,129,ok,0.8467501490757304,0.4643088882761465,1.0,0.0,1.0,,
BAP1,s3_10,classified,cadd,142,13,129,ok,0.6738223017292785,0.3516471188361146,1.0,0.015503875968992248,1.015748031496063,,
BAP1,s3_10,classified,phylop,142,13,129,ok,0.7277877161598092,0.31102895759951266,0.7692307692307693,0.5193798449612403,1.6004962779156329,0.33637548891786184,0.33637548891786184
BAP1,s3_10,classified,phastcons,142,13,129,ok,0.7346451997614788,0.2980898990649803,0.7692307692307693,0.7286821705426356,2.8351648351648353,0.3586654309545876,0.3586654309545876
BAP1,s3_10,classified,gpn_msa,142,13,129,ok,0.7546213476446034,0.4150756021375519,1.0,0.08527131782945736,1.0932203389830508,0.0,2.7062937062937067
BAP1,s3_10,classified,nt,142,13,129,ok,0.7036374478234944,0.3056876095648931,0.8461538461538461,0.29457364341085274,1.1994928148774302,0.6013986013986015,0.6013986013986015
BAP1,s3_10,classified,spliceai_walker,142,13,129,ok,0.8556946929039952,0.5217101686673363,0.23076923076923078,0.9844961240310077,,0.43907420013614706,0.43907420013614706
BAP1,s3_10,classified,avi,142,13,129,ok,0.8342277877161598,0.476736876849999,0.9230769230769231,0.6356589147286822,2.5335515548281506,0.17408906882591094,0.17408906882591094
BAP1,s3_10,classified,avi_splice_sites,142,13,129,ok,0.830948121645796,0.4568428001517578,0.23076923076923078,0.9689922480620154,,0.431438127090301,0.431438127090301
BAP1,s3_10,classified,avi_splice_site_usage,142,13,129,ok,0.7581991651759094,0.40247977664201307,0.3076923076923077,0.9844961240310077,,0.7087912087912088,0.7087912087912088
BAP1,s3_10,classified,avi_splice_junctions,142,13,129,ok,0.8261776982707215,0.4769479089950266,1.0,0.32558139534883723,1.4827586206896552,0.0,1.653846153846154
BAP1,s3_10,recorded_unclassified,spliceai,107,31,76,ok,0.7593378607809848,0.5607392910528354,0.45161290322580644,0.868421052631579,3.432258064516129,0.49032258064516127,0.49032258064516127
BAP1,s3_10,recorded_unclassified,pangolin,107,31,76,ok,0.8370118845500849,0.693481811604544,0.6774193548387096,0.8157894736842105,3.6774193548387095,0.26267281105990786,0.26267281105990786
BAP1,s3_10,recorded_unclassified,alphagenome,107,31,76,ok,0.8073005093378608,0.6727786787525939,1.0,0.0,1.0,,
BAP1,s3_10,recorded_unclassified,cadd,107,31,76,ok,0.7190152801358234,0.4452647354955404,1.0,0.039473684210526314,1.0410958904109588,,
BAP1,s3_10,recorded_unclassified,phylop,107,31,76,ok,0.6513157894736842,0.42616921647013706,0.8709677419354839,0.3815789473684211,1.4083733699382293,0.28287841191067,0.28287841191067
BAP1,s3_10,recorded_unclassified,phastcons,107,31,76,ok,0.6392190152801358,0.39314495745118827,0.7741935483870968,0.40789473684210525,1.3075268817204302,0.4540023894862604,0.4540023894862604
BAP1,s3_10,recorded_unclassified,gpn_msa,107,31,76,ok,0.6969439728353141,0.44908717849015684,0.967741935483871,0.02631578947368421,0.993897122929381,,
BAP1,s3_10,recorded_unclassified,nt,107,31,76,ok,0.7338709677419355,0.47517148464052056,0.9032258064516129,0.2631578947368421,1.2258064516129032,0.40860215053763443,0.40860215053763443
BAP1,s3_10,recorded_unclassified,spliceai_walker,107,31,76,ok,0.8047538200339559,0.622293297671783,0.6451612903225806,0.868421052631579,4.903225806451613,0.32688172043010755,0.32688172043010755
BAP1,s3_10,recorded_unclassified,avi,107,31,76,ok,0.7954159592529711,0.6889510684893877,0.8709677419354839,0.35526315789473684,1.3508887425938116,0.3771712158808933,0.3771712158808933
BAP1,s3_10,recorded_unclassified,avi_splice_sites,107,31,76,ok,0.8147283531409168,0.661912301093039,0.6774193548387096,0.8157894736842105,3.6774193548387095,0.24035420619860848,0.24035420619860848
BAP1,s3_10,recorded_unclassified,avi_splice_site_usage,107,31,76,ok,0.8143039049235993,0.6874928818442811,0.5161290322580645,0.8947368421052632,4.903225806451613,0.49032258064516127,0.49032258064516127
BAP1,s3_10,recorded_unclassified,avi_splice_junctions,107,31,76,ok,0.7882003395585738,0.6358388414994629,0.9032258064516129,0.15789473684210525,1.0725806451612903,,
BAP1,s3_10,unrecorded,spliceai,488,102,386,ok,0.816163771207965,0.5503693444672674,0.5098039215686274,0.9015544041450777,5.178534571723426,0.4502238194313095,0.4502238194313095
BAP1,s3_10,unrecorded,pangolin,488,102,386,ok,0.8731839886213553,0.6445389686253408,0.6470588235294118,0.844559585492228,4.162745098039216,0.315359477124183,0.315359477124183
BAP1,s3_10,unrecorded,alphagenome,488,102,386,ok,0.8465914863354669,0.6006788346866921,1.0,0.0,1.0,,
BAP1,s3_10,unrecorded,cadd,488,102,386,ok,0.8169384334044498,0.48212280879593317,1.0,0.0025906735751295338,1.0025974025974027,,
BAP1,s3_10,unrecorded,phylop,488,102,386,ok,0.7765544041450777,0.4840380630711709,0.8627450980392157,0.43523316062176165,1.527612880014391,0.15137254901960784,0.15137254901960784
BAP1,s3_10,unrecorded,phastcons,488,102,386,ok,0.7567941684445799,0.42314150885702845,0.8137254901960784,0.6036269430051814,2.0529283608868383,0.27555682467161624,0.27555682467161624
BAP1,s3_10,unrecorded,gpn_msa,488,102,386,ok,0.7869551965864066,0.5233185753061036,0.9901960784313726,0.038860103626943004,1.030230960308652,0.27030812324929976,0.27030812324929976
BAP1,s3_10,unrecorded,nt,488,102,386,ok,0.7269633241897795,0.495010556152147,0.8823529411764706,0.27979274611398963,1.2251375370292001,0.39419934640522875,0.39419934640522875
BAP1,s3_10,unrecorded,spliceai_walker,488,102,386,ok,0.8439754139997968,0.5841502846070408,0.5980392156862745,0.8601036269430051,4.274872912127814,0.25228758169934645,0.25228758169934645
BAP1,s3_10,unrecorded,avi,488,102,386,ok,0.8749111043381083,0.6632903147364916,0.9705882352941176,0.46113989637305697,1.8011877828054297,0.0,0.1091628959276018
BAP1,s3_10,unrecorded,avi_splice_sites,488,102,386,ok,0.8367240678654881,0.5700818250499651,0.5784313725490197,0.8575129533678757,4.059536541889483,0.22813238770685576,0.22813238770685576
BAP1,s3_10,unrecorded,avi_splice_site_usage,488,102,386,ok,0.8434674387889871,0.6179511330778502,0.5294117647058824,0.917098445595855,6.386029411764706,0.4267178681561646,0.4267178681561646
BAP1,s3_10,unrecorded,avi_splice_junctions,488,102,386,ok,0.8319744996444174,0.6231389131821474,0.9607843137254902,0.266839378238342,1.3104690639506686,0.17601459188326493,0.17601459188326493
BAP1,s11_50,classified,spliceai,261,19,242,ok,0.6198347107438017,0.14351140973655668,0.05263157894736842,0.9710743801652892,,0.8977509853929979,0.8977509853929979
BAP1,s11_50,classified,pangolin,261,19,242,ok,0.619182253153545,0.1127233687346026,0.0,0.9958677685950413,,1.043103448275862,1.043103448275862
BAP1,s11_50,classified,alphagenome,261,19,242,ok,0.5650282731622445,0.1007876475758564,1.0,0.0,1.0,,
BAP1,s11_50,classified,cadd,261,19,242,ok,0.46541974771639844,0.07838946243815623,1.0,0.05371900826446281,1.056768558951965,,
BAP1,s11_50,classified,phylop,261,19,242,ok,0.57557633753806,0.08453663264399322,0.631578947368421,0.5371900826446281,1.3646616541353382,0.7308024158757549,0.7308024158757549
BAP1,s11_50,classified,phastcons,261,19,242,ok,0.41170073945193564,0.0666960592317283,0.05263157894736842,0.8223140495867769,0.2962056303549572,1.1578947368421053,1.1578947368421053
BAP1,s11_50,classified,gpn_msa,261,19,242,ok,0.6327751196172249,0.1010898245190247,1.0,0.08677685950413223,1.0950226244343892,0.0,2.011080332409972
BAP1,s11_50,classified,nt,261,19,242,ok,0.6133101348412353,0.1873761754195277,0.7368421052631579,0.3677685950413223,1.1654626762985896,0.7766367137355584,0.7766367137355584
BAP1,s11_50,classified,spliceai_walker,261,19,242,ok,0.6070030448020879,0.1370458253570514,0.05263157894736842,0.9669421487603306,,0.8105263157894737,0.8105263157894737
BAP1,s11_50,classified,avi,261,19,242,ok,0.5756850804697695,0.09192077637940652,0.42105263157894735,0.7479338842975206,1.6704055220017255,0.7330556607345702,0.7330556607345702
BAP1,s11_50,classified,avi_splice_sites,261,19,242,ok,0.601348412353197,0.09949435111440197,0.05263157894736842,0.9586776859504132,1.2736842105263158,0.8804268736357022,0.8804268736357022
BAP1,s11_50,classified,avi_splice_site_usage,261,19,242,ok,0.5140278381905176,0.07707027105475187,0.0,0.9958677685950413,,1.021097046413502,1.021097046413502
BAP1,s11_50,classified,avi_splice_junctions,261,19,242,ok,0.5849282296650717,0.11017832867192692,0.5789473684210527,0.5537190082644629,1.297270955165692,0.7076023391812865,0.7076023391812865
BAP1,s11_50,recorded_unclassified,spliceai,18,7,11,not evaluable,,,,,,,
BAP1,s11_50,recorded_unclassified,pangolin,18,7,11,not evaluable,,,,,,,
BAP1,s11_50,recorded_unclassified,alphagenome,18,7,11,not evaluable,,,,,,,
BAP1,s11_50,recorded_unclassified,cadd,18,7,11,not evaluable,,,,,,,
BAP1,s11_50,recorded_unclassified,phylop,18,7,11,not evaluable,,,,,,,
BAP1,s11_50,recorded_unclassified,phastcons,18,7,11,not evaluable,,,,,,,
BAP1,s11_50,recorded_unclassified,gpn_msa,18,7,11,not evaluable,,,,,,,
BAP1,s11_50,recorded_unclassified,nt,18,7,11,not evaluable,,,,,,,
BAP1,s11_50,recorded_unclassified,spliceai_walker,18,7,11,not evaluable,,,,,,,
BAP1,s11_50,recorded_unclassified,avi,18,7,11,not evaluable,,,,,,,
BAP1,s11_50,recorded_unclassified,avi_splice_sites,18,7,11,not evaluable,,,,,,,
BAP1,s11_50,recorded_unclassified,avi_splice_site_usage,18,7,11,not evaluable,,,,,,,
BAP1,s11_50,recorded_unclassified,avi_splice_junctions,18,7,11,not evaluable,,,,,,,
BAP1,s11_50,unrecorded,spliceai,1174,111,1063,ok,0.7280601391607977,0.3083091803306107,0.2972972972972973,0.9379115710253998,4.788288288288289,0.6723979298447383,0.6723979298447383
BAP1,s11_50,unrecorded,pangolin,1174,111,1063,ok,0.7923181883671065,0.40206803671206204,0.3333333333333333,0.9567262464722484,7.702898550724638,0.6047320612538004,0.6047320612538004
BAP1,s11_50,unrecorded,alphagenome,1174,111,1063,ok,0.7728424567559092,0.3985961862673965,1.0,0.0,1.0,,
BAP1,s11_50,unrecorded,cadd,1174,111,1063,ok,0.7164069054943938,0.3316079055560694,1.0,0.03198494825964252,1.033041788143829,0.0,1.9153153153153153
BAP1,s11_50,unrecorded,phylop,1174,111,1063,ok,0.6748874933258753,0.2037118865105773,0.7117117117117117,0.5079962370649106,1.4465574561176855,0.55785882970349,0.55785882970349
BAP1,s11_50,unrecorded,phastcons,1174,111,1063,ok,0.6318891798666022,0.18355973582772417,0.3783783783783784,0.8805268109125117,3.1670568206001275,0.7007251153592617,0.7007251153592617
BAP1,s11_50,unrecorded,gpn_msa,1174,111,1063,ok,0.6852737026772775,0.2402569297736968,0.954954954954955,0.06491063029162747,1.0212445846248663,0.6384384384384384,0.6384384384384384
BAP1,s11_50,unrecorded,nt,1174,111,1063,ok,0.652081055655844,0.21396194116563486,0.7747747747747747,0.3433678269049859,1.1799220423862258,0.6124554787345485,0.6124554787345485
BAP1,s11_50,unrecorded,spliceai_walker,1174,111,1063,ok,0.7313823701406016,0.3185900107933627,0.3333333333333333,0.929444967074318,4.724444444444444,0.6090366682471946,0.6090366682471946
BAP1,s11_50,unrecorded,avi,1174,111,1063,ok,0.7744188214555101,0.40775563738175596,0.6756756756756757,0.6952022577610536,2.2168001334668,0.3231881970780728,0.3231881970780728
BAP1,s11_50,unrecorded,avi_splice_sites,1174,111,1063,ok,0.7508920020679193,0.31000037599971153,0.34234234234234234,0.9190968955785512,4.2315105803477895,0.5888150331305784,0.5888150331305784
BAP1,s11_50,unrecorded,avi_splice_site_usage,1174,111,1063,ok,0.7706177485105049,0.3934159244104886,0.2702702702702703,0.980244590780809,13.680823680823682,0.6773217225083631,0.6773217225083631
BAP1,s11_50,unrecorded,avi_splice_junctions,1174,111,1063,ok,0.7371072860254422,0.2939254760996354,0.8468468468468469,0.46754468485418627,1.5904561805621875,0.20462770462770463,0.20462770462770463
BAP1,s3_50,classified,spliceai,403,32,371,ok,0.7112533692722371,0.2697190537193999,0.125,0.9784366576819407,5.796875,0.7371748554913294,0.7371748554913294
BAP1,s3_50,classified,pangolin,403,32,371,ok,0.7230458221024259,0.29246948346047846,0.09375,0.9892183288409704,,0.7816011235955056,0.7816011235955056
BAP1,s3_50,classified,alphagenome,403,32,371,ok,0.6720013477088949,0.23347081971821265,1.0,0.0,1.0,,
BAP1,s3_50,classified,cadd,403,32,371,ok,0.549949460916442,0.1859674070210447,1.0,0.04043126684636118,1.0421348314606742,,
BAP1,s3_50,classified,phylop,403,32,371,ok,0.6347708894878706,0.16075435746794153,0.6875,0.5309973045822103,1.465876436781609,0.5764848066298343,0.5764848066298343
BAP1,s3_50,classified,phastcons,403,32,371,ok,0.5381570080862533,0.12252359065353131,0.34375,0.7897574123989218,1.6350160256410255,0.8587962962962963,0.8587962962962963
BAP1,s3_50,classified,gpn_msa,403,32,371,ok,0.6778133423180593,0.2203302176746842,1.0,0.0862533692722372,1.0943952802359882,0.0,1.159375
BAP1,s3_50,classified,nt,403,32,371,ok,0.6534703504043127,0.22573252031589733,0.78125,0.3423180592991914,1.1878842213114753,0.7057065217391304,0.7057065217391304
BAP1,s3_50,classified,spliceai_walker,403,32,371,ok,0.7080525606469003,0.2891995054027617,0.125,0.9730458221024259,4.6375,0.6615052552552553,0.6615052552552553
BAP1,s3_50,classified,avi,403,32,371,ok,0.6720855795148248,0.2358819076596932,0.625,0.7088948787061995,2.1469907407407405,0.5323660714285714,0.5323660714285714
BAP1,s3_50,classified,avi_splice_sites,403,32,371,ok,0.6875,0.20532093672259344,0.125,0.9622641509433962,3.3125,0.6984186746987951,0.6984186746987951
BAP1,s3_50,classified,avi_splice_site_usage,403,32,371,ok,0.6022152964959568,0.2030741247667201,0.125,0.9919137466307277,,0.8942837465564739,0.8942837465564739
BAP1,s3_50,classified,avi_splice_junctions,403,32,371,ok,0.6792873989218329,0.2497758093991451,0.75,0.4743935309973046,1.426923076923077,0.4830729166666667,0.4830729166666667
BAP1,s3_50,recorded_unclassified,spliceai,125,38,87,ok,0.7562008469449486,0.5552749175758767,0.5,0.8390804597701149,3.107142857142857,0.4783974862529458,0.4783974862529458
BAP1,s3_50,recorded_unclassified,pangolin,125,38,87,ok,0.822746521476104,0.6843707061625077,0.6842105263157895,0.7931034482758621,3.3070175438596494,0.2954159592529711,0.2954159592529711
BAP1,s3_50,recorded_unclassified,alphagenome,125,38,87,ok,0.8027828191167574,0.6715605171164968,1.0,0.0,1.0,,
BAP1,s3_50,recorded_unclassified,cadd,125,38,87,ok,0.677555958862674,0.4244715813650267,1.0,0.034482758620689655,1.0357142857142856,,
BAP1,s3_50,recorded_unclassified,phylop,125,38,87,ok,0.603448275862069,0.3948849928491246,0.8421052631578947,0.367816091954023,1.3320574162679426,0.39473684210526316,0.39473684210526316
BAP1,s3_50,recorded_unclassified,phastcons,125,38,87,ok,0.574107683000605,0.3580158985982811,0.6578947368421053,0.42528735632183906,1.1447368421052633,0.7631578947368421,0.7631578947368421
BAP1,s3_50,recorded_unclassified,gpn_msa,125,38,87,ok,0.6482153660012099,0.42879979311111427,0.9736842105263158,0.04597701149425287,1.0206087507926445,,
BAP1,s3_50,recorded_unclassified,nt,125,38,87,ok,0.6893526920750151,0.4606428856567585,0.868421052631579,0.27586206896551724,1.199248120300752,0.520334928229665,0.520334928229665
BAP1,s3_50,recorded_unclassified,spliceai_walker,125,38,87,ok,0.7813067150635209,0.5942438137505653,0.6578947368421053,0.8275862068965517,3.8157894736842106,0.3663157894736842,0.3663157894736842
BAP1,s3_50,recorded_unclassified,avi,125,38,87,ok,0.7813067150635209,0.6557120387720625,0.8947368421052632,0.3333333333333333,1.342105263157895,0.3522267206477732,0.3522267206477732
BAP1,s3_50,recorded_unclassified,avi_splice_sites,125,38,87,ok,0.8062613430127041,0.6409112631046827,0.6842105263157895,0.8045977011494253,3.501547987616099,0.2409972299168975,0.2409972299168975
BAP1,s3_50,recorded_unclassified,avi_splice_site_usage,125,38,87,ok,0.7988505747126436,0.6717161579870436,0.5263157894736842,0.896551724137931,5.087719298245614,0.47136222910216713,0.47136222910216713
BAP1,s3_50,recorded_unclassified,avi_splice_junctions,125,38,87,ok,0.7873563218390804,0.6152810493424705,0.9210526315789473,0.16091954022988506,1.097692862292718,,
