window_nt,clinvar_arm,clinvar_arm_strict,n,gene
1-50,classified,classified,1985,(all)
1-50,recorded_unclassified,recorded_no_assertion,588,(all)
1-50,recorded_unclassified,recorded_unclassified,706,(all)
1-50,unrecorded,unrecorded,5574,(all)
1-50,recorded_unclassified,recorded_no_assertion,7,BAP1
1-50,recorded_unclassified,recorded_no_assertion,2,BARD1
1-50,recorded_unclassified,recorded_no_assertion,576,BRCA1
1-50,recorded_unclassified,recorded_no_assertion,1,PALB2
1-50,recorded_unclassified,recorded_no_assertion,1,RAD51C
1-50,recorded_unclassified,recorded_no_assertion,1,VHL
3-50,classified,classified,1497,(all)
3-50,recorded_unclassified,recorded_no_assertion,555,(all)
3-50,recorded_unclassified,recorded_unclassified,640,(all)
3-50,unrecorded,unrecorded,5305,(all)
3-50,recorded_unclassified,recorded_no_assertion,4,BAP1
3-50,recorded_unclassified,recorded_no_assertion,2,BARD1
3-50,recorded_unclassified,recorded_no_assertion,548,BRCA1
3-50,recorded_unclassified,recorded_no_assertion,1,PALB2
