gene,depth_nt,n,labelled,damaging,normal,at_or_above_pp3_cut,damaging_at_or_above_pp3_cut,max_offset_in_gene
all,3-10,3290,3075,570,2505,840,453,50
all,11-20,2620,2501,167,2334,197,81,50
all,21-30,1445,1412,57,1355,73,19,50
all,31-40,402,389,1,388,15,0,50
all,41-50,240,235,0,235,1,0,50
all,11-30,4065,3913,224,3689,270,100,50
all,31-50,642,624,1,623,16,0,50
all,11-50,4707,4537,225,4312,286,100,50
all,3-50,7997,7612,795,6817,1126,553,50
BAP1,3-10,768,737,146,591,150,84,50
BAP1,11-20,960,924,93,831,76,30,50
BAP1,21-30,480,470,44,426,44,13,50
BAP1,31-40,30,29,0,29,11,0,50
BAP1,41-50,30,30,0,30,0,0,50
BAP1,11-30,1440,1394,137,1257,120,43,50
BAP1,31-50,60,59,0,59,11,0,50
BAP1,11-50,1500,1453,137,1316,131,43,50
BAP1,3-50,2268,2190,283,1907,281,127,50
BARD1,3-10,473,459,66,393,141,60,50
BARD1,11-20,504,498,16,482,42,14,50
BARD1,21-30,459,455,4,451,17,3,50
BARD1,31-40,300,291,1,290,4,0,50
BARD1,41-50,195,191,0,191,1,0,50
BARD1,11-30,963,953,20,933,59,17,50
BARD1,31-50,495,482,1,481,5,0,50
BARD1,11-50,1458,1435,21,1414,64,17,50
BARD1,3-50,1931,1894,87,1807,205,77,50
BRCA1,3-10,530,490,104,386,146,97,30
BRCA1,11-20,257,246,3,243,9,2,30
BRCA1,21-30,104,99,0,99,5,0,30
BRCA1,31-40,0,0,0,0,0,0,30
BRCA1,41-50,0,0,0,0,0,0,30
BRCA1,11-30,361,345,3,342,14,2,30
BRCA1,31-50,0,0,0,0,0,0,30
BRCA1,11-50,361,345,3,342,14,2,30
BRCA1,3-50,891,835,107,728,160,99,30
BRCA2,3-10,551,529,69,460,116,51,10
BRCA2,11-20,0,0,0,0,0,0,10
BRCA2,21-30,0,0,0,0,0,0,10
BRCA2,31-40,0,0,0,0,0,0,10
BRCA2,41-50,0,0,0,0,0,0,10
BRCA2,11-30,0,0,0,0,0,0,10
BRCA2,31-50,0,0,0,0,0,0,10
BRCA2,11-50,0,0,0,0,0,0,10
BRCA2,3-50,551,529,69,460,116,51,10
PALB2,3-10,501,411,87,324,133,74,38
PALB2,11-20,372,310,14,296,27,10,38
PALB2,21-30,126,115,1,114,1,0,38
PALB2,31-40,42,39,0,39,0,0,38
PALB2,41-50,0,0,0,0,0,0,38
PALB2,11-30,498,425,15,410,28,10,38
PALB2,31-50,42,39,0,39,0,0,38
PALB2,11-50,540,464,15,449,28,10,38
PALB2,3-50,1041,875,102,773,161,84,38
RAD51C,3-10,384,379,88,291,136,77,45
RAD51C,11-20,468,466,31,435,33,16,45
RAD51C,21-30,255,255,5,250,6,3,45
RAD51C,31-40,30,30,0,30,0,0,45
RAD51C,41-50,15,14,0,14,0,0,45
RAD51C,11-30,723,721,36,685,39,19,45
RAD51C,31-50,45,44,0,44,0,0,45
RAD51C,11-50,768,765,36,729,39,19,45
RAD51C,3-50,1152,1144,124,1020,175,96,45
VHL,3-10,83,70,10,60,18,10,27
VHL,11-20,59,57,10,47,10,9,27
VHL,21-30,21,18,3,15,0,0,27
VHL,31-40,0,0,0,0,0,0,27
VHL,41-50,0,0,0,0,0,0,27
VHL,11-30,80,75,13,62,10,9,27
VHL,31-50,0,0,0,0,0,0,27
VHL,11-50,80,75,13,62,10,9,27
VHL,3-50,163,145,23,122,28,19,27
