quantity,object,published_set_1781,evid_set_8853,n_new,comparable
pooled Spearman rho,spliceai,0.7516576737968153,0.49997962844507715,8853,"same estimator, different variant set"
LR+ at 95% specificity (interpolated),spliceai,16.613885505481107,15.984990619136946,8853,"same estimator, different variant set"
LR+ at 95% specificity (scanned),spliceai,16.89078359723914,16.017708436193672,8853,"same estimator, different variant set"
pooled Spearman rho,pangolin,0.7609583423395199,0.5033907806248457,8853,"same estimator, different variant set"
LR+ at 95% specificity (interpolated),pangolin,16.760048721071847,16.36022514071293,8853,"same estimator, different variant set"
LR+ at 95% specificity (scanned),pangolin,17.03938286642306,16.39371098164423,8853,"same estimator, different variant set"
pooled Spearman rho,alphagenome,0.7501702945512349,0.4954632415028358,8853,"same estimator, different variant set"
LR+ at 95% specificity (interpolated),alphagenome,15.468940316686954,16.46028767979986,8853,"same estimator, different variant set"
LR+ at 95% specificity (scanned),alphagenome,15.726755988631751,16.49397832709771,8853,"same estimator, different variant set"
pooled Spearman rho,cadd,0.6941763002333641,0.4037481790222779,8853,"same estimator, different variant set"
LR+ at 95% specificity (interpolated),cadd,12.726329442282738,13.195747342088794,8853,"same estimator, different variant set"
LR+ at 95% specificity (scanned),cadd,12.951873848044237,13.222756181677877,8853,"same estimator, different variant set"
pooled Spearman rho,phylop,0.6390450311607245,0.39418696966761513,8853,"same estimator, different variant set"
LR+ at 95% specificity (interpolated),phylop,13.459196102314245,12.287679799874912,8853,"same estimator, different variant set"
LR+ at 95% specificity (scanned),phylop,13.596833130328868,12.295283236233171,8853,"same estimator, different variant set"
pooled Spearman rho,phastcons,0.6122164589462382,0.39491132026794756,8853,"same estimator, different variant set"
LR+ at 95% specificity (interpolated),phastcons,5.327836597020521,9.646862622472385,8853,"same estimator, different variant set"
LR+ at 95% specificity (scanned),phastcons,6.608296911943827,,8853,"same estimator, different variant set"
pooled Spearman rho,gpn_msa,0.6654599318084646,0.41330998767098986,8853,"same estimator, different variant set"
LR+ at 95% specificity (interpolated),gpn_msa,12.71619975639463,12.569999106584463,8853,"same estimator, different variant set"
LR+ at 95% specificity (scanned),gpn_msa,12.92813641900122,12.620453766008447,8853,"same estimator, different variant set"
pooled Spearman rho,nt,0.4922865266227473,0.2602984440295751,8853,"same estimator, different variant set"
LR+ at 95% specificity (interpolated),nt,6.358099878197315,7.166979362101307,8853,"same estimator, different variant set"
LR+ at 95% specificity (scanned),nt,6.46406820950061,7.181648618105614,8853,"same estimator, different variant set"
