tool,stratum,n,n_pos,n_neg,n_genes,tier,status,reason,logo_threshold_leakage,path_cut_lr,pp3_threshold_insample,pp3_threshold_reachable,pp3_threshold_variant_boot,pp3_logo_folds_reaching,pp3_logo_folds_with_heldout_lr,pp3_logo_threshold_spread,pp3_logo_threshold_median,pp3_logo_heldout_lr_median,pp3_logo_heldout_lr_min,pp3_logo_heldout_lr_max,ben_cut_lr,bp4_threshold_insample,bp4_threshold_reachable,bp4_threshold_variant_boot,bp4_logo_heldout_lr_median,walker_pp3_local_lr,walker_pp3_local_lr_lo,walker_pp3_local_lr_hi,walker_pp3_stringent_bound,walker_pp3_nearest_grid_score,walker_bp4_local_lr,walker_bp4_local_lr_lo,walker_bp4_local_lr_hi,walker_bp4_stringent_bound,walker_bp4_nearest_grid_score
spliceai,pm12,841,804,37,7,supporting,ok,,,2.08,,False,,0,0,,,,,,0.4807692307692308,,False,,,0.3723428312980551,0.13508740950026485,0.6868625050999592,0.13508740950026485,0.14012867212295532,0.3723428312980551,0.13508740950026485,0.6868625050999592,0.6868625050999592,0.0666157603263855
spliceai,pm12,841,804,37,7,moderate,ok,,,4.33,,False,,0,0,,,,,,0.23094688221709006,,False,,,0.3723428312980551,0.13508740950026485,0.6868625050999592,0.13508740950026485,0.14012867212295532,0.3723428312980551,0.13508740950026485,0.6868625050999592,0.6868625050999592,0.0666157603263855
spliceai,pm12,841,804,37,7,strong,ok,,,18.7,,False,,0,0,,,,,,0.05347593582887701,,False,,,0.3723428312980551,0.13508740950026485,0.6868625050999592,0.13508740950026485,0.14012867212295532,0.3723428312980551,0.13508740950026485,0.6868625050999592,0.6868625050999592,0.0666157603263855
spliceai,pm12,841,804,37,7,very_strong,ok,,,350.0,,False,,0,0,,,,,,0.002857142857142857,,False,,,0.3723428312980551,0.13508740950026485,0.6868625050999592,0.13508740950026485,0.14012867212295532,0.3723428312980551,0.13508740950026485,0.6868625050999592,0.6868625050999592,0.0666157603263855
spliceai,s3_10,3075,570,2505,7,supporting,ok,,,2.08,0.37547463178634644,True,0.3732585906982422,7,7,0.04746037721633911,0.397732138633728,9.867532467532467,7.61013698630137,32.29038461538462,0.4807692307692308,0.00685274600982666,True,0.00998145341873169,0.04657490396927017,0.9646983311938384,0.6436781609195402,1.2621713578719456,0.6436781609195402,0.19997423887252808,0.9001268230818008,0.1506998508494307,1.9309608230644035,1.9309608230644035,0.09981799125671387
spliceai,s3_10,3075,570,2505,7,moderate,ok,,,4.33,0.5556567311286926,True,0.5207744240760803,7,6,0.15791970491409302,0.5639702081680298,13.46796630094044,7.842893835616438,39.76648351648352,0.23094688221709006,0.000978877767920494,True,0.0008238554000854492,0.05714877099417216,0.9646983311938384,0.6436781609195402,1.2621713578719456,0.6436781609195402,0.19997423887252808,0.9001268230818008,0.1506998508494307,1.9309608230644035,1.9309608230644035,0.09981799125671387
spliceai,s3_10,3075,570,2505,7,strong,ok,,,18.7,0.8605267405509949,True,0.8589727878570557,6,6,0.07591289281845093,0.8993068933486938,41.16987179487179,12.662068965517243,83.36363636363636,0.05347593582887701,,False,,,0.9646983311938384,0.6436781609195402,1.2621713578719456,0.6436781609195402,0.19997423887252808,0.9001268230818008,0.1506998508494307,1.9309608230644035,1.9309608230644035,0.09981799125671387
spliceai,s3_10,3075,570,2505,7,very_strong,ok,,,350.0,,False,,0,0,,,,,,0.002857142857142857,,False,,,0.9646983311938384,0.6436781609195402,1.2621713578719456,0.6436781609195402,0.19997423887252808,0.9001268230818008,0.1506998508494307,1.9309608230644035,1.9309608230644035,0.09981799125671387
spliceai,s11_50,4537,225,4312,6,supporting,ok,,,2.08,0.23516064882278442,True,0.23225677013397217,6,4,0.027735769748687744,0.23973192274570465,23.121428571428567,5.367969085444397,44.02564102564103,0.4807692307692308,,False,,0.0,2.8636526181353763,1.330950378469302,8.259820600061863,1.330950378469302,0.19968311488628387,0.7985185185185185,0.0,1.6214347450302506,1.6214347450302506,0.1000913456082344
spliceai,s11_50,4537,225,4312,6,moderate,ok,,,4.33,0.29005610942840576,True,0.30200356245040894,6,4,0.0533718466758728,0.3111262619495392,25.245833333333337,6.665276329509907,63.37254901960784,0.23094688221709006,,False,,0.0,2.8636526181353763,1.330950378469302,8.259820600061863,1.330950378469302,0.19968311488628387,0.7985185185185185,0.0,1.6214347450302506,1.6214347450302506,0.1000913456082344
