tool,stratum,tier,side,heldout_gene,threshold_from_6_genes,heldout_lr
spliceai,pm12,supporting,pp3,BRCA1,,
spliceai,pm12,supporting,pp3,BRCA2,,
spliceai,pm12,supporting,pp3,BARD1,,
spliceai,pm12,supporting,pp3,PALB2,,
spliceai,pm12,supporting,pp3,RAD51C,,
spliceai,pm12,supporting,pp3,VHL,,
spliceai,pm12,supporting,pp3,BAP1,,
spliceai,pm12,moderate,pp3,BRCA1,,
spliceai,pm12,moderate,pp3,BRCA2,,
spliceai,pm12,moderate,pp3,BARD1,,
spliceai,pm12,moderate,pp3,PALB2,,
spliceai,pm12,moderate,pp3,RAD51C,,
spliceai,pm12,moderate,pp3,VHL,,
spliceai,pm12,moderate,pp3,BAP1,,
spliceai,pm12,strong,pp3,BRCA1,,
spliceai,pm12,strong,pp3,BRCA2,,
spliceai,pm12,strong,pp3,BARD1,,
spliceai,pm12,strong,pp3,PALB2,,
spliceai,pm12,strong,pp3,RAD51C,,
spliceai,pm12,strong,pp3,VHL,,
spliceai,pm12,strong,pp3,BAP1,,
spliceai,pm12,very_strong,pp3,BRCA1,,
spliceai,pm12,very_strong,pp3,BRCA2,,
spliceai,pm12,very_strong,pp3,BARD1,,
spliceai,pm12,very_strong,pp3,PALB2,,
spliceai,pm12,very_strong,pp3,RAD51C,,
spliceai,pm12,very_strong,pp3,VHL,,
spliceai,pm12,very_strong,pp3,BAP1,,
spliceai,s3_10,supporting,pp3,BRCA1,0.407998263835907,32.29038461538462
spliceai,s3_10,supporting,pp3,BRCA2,0.4035568833351135,17.916666666666668
spliceai,s3_10,supporting,pp3,BARD1,0.36217308044433594,9.867532467532467
spliceai,s3_10,supporting,pp3,PALB2,0.3986382782459259,9.638945233265721
spliceai,s3_10,supporting,pp3,RAD51C,0.36053788661956787,9.391363636363636
spliceai,s3_10,supporting,pp3,VHL,0.3694680333137512,13.5
spliceai,s3_10,supporting,pp3,BAP1,0.397732138633728,7.61013698630137
spliceai,s3_10,moderate,pp3,BRCA1,0.5881946086883545,39.76648351648352
spliceai,s3_10,moderate,pp3,BRCA2,0.5849548578262329,28.148148148148145
spliceai,s3_10,moderate,pp3,BARD1,0.4302749037742615,11.115151515151515
spliceai,s3_10,moderate,pp3,PALB2,0.5849548578262329,15.362068965517242
spliceai,s3_10,moderate,pp3,RAD51C,0.5624926686286926,11.573863636363637
spliceai,s3_10,moderate,pp3,VHL,0.5556567311286926,
spliceai,s3_10,moderate,pp3,BAP1,0.5639702081680298,7.842893835616438
spliceai,s3_10,strong,pp3,BRCA1,0.8964378833770752,55.67307692307691
spliceai,s3_10,strong,pp3,BRCA2,0.9021759033203125,26.666666666666668
spliceai,s3_10,strong,pp3,BARD1,0.9091305136680603,83.36363636363636
spliceai,s3_10,strong,pp3,PALB2,0.8332176208496094,12.662068965517243
spliceai,s3_10,strong,pp3,RAD51C,0.903536856174469,66.13636363636364
spliceai,s3_10,strong,pp3,VHL,,
spliceai,s3_10,strong,pp3,BAP1,0.8589727878570557,13.155821917808218
spliceai,s3_10,very_strong,pp3,BRCA1,,
spliceai,s3_10,very_strong,pp3,BRCA2,,
spliceai,s3_10,very_strong,pp3,BARD1,,
spliceai,s3_10,very_strong,pp3,PALB2,,
spliceai,s3_10,very_strong,pp3,RAD51C,,
spliceai,s3_10,very_strong,pp3,VHL,,
spliceai,s3_10,very_strong,pp3,BAP1,,
spliceai,s11_50,supporting,pp3,BRCA1,0.24022004008293152,
spliceai,s11_50,supporting,pp3,BARD1,0.2335781455039978,44.02564102564103
spliceai,s11_50,supporting,pp3,PALB2,0.24022004008293152,19.24285714285714
spliceai,s11_50,supporting,pp3,RAD51C,0.23924380540847778,26.999999999999996
spliceai,s11_50,supporting,pp3,VHL,0.24251067638397217,
spliceai,s11_50,supporting,pp3,BAP1,0.21477490663528442,5.367969085444397
spliceai,s11_50,moderate,pp3,BRCA1,0.3111262619495392,
spliceai,s11_50,moderate,pp3,BARD1,0.3262026906013489,63.37254901960784
spliceai,s11_50,moderate,pp3,PALB2,0.3141079246997833,26.19166666666667
spliceai,s11_50,moderate,pp3,RAD51C,0.3111262619495392,24.3
spliceai,s11_50,moderate,pp3,VHL,0.3111262619495392,
spliceai,s11_50,moderate,pp3,BAP1,0.2728308439254761,6.665276329509907
spliceai,s11_50,strong,pp3,BRCA1,,
spliceai,s11_50,strong,pp3,BARD1,,
spliceai,s11_50,strong,pp3,PALB2,,
spliceai,s11_50,strong,pp3,RAD51C,,
spliceai,s11_50,strong,pp3,VHL,,
spliceai,s11_50,strong,pp3,BAP1,0.6014209985733032,9.605839416058394
spliceai,s11_50,very_strong,pp3,BRCA1,,
spliceai,s11_50,very_strong,pp3,BARD1,,
spliceai,s11_50,very_strong,pp3,PALB2,,
spliceai,s11_50,very_strong,pp3,RAD51C,,
spliceai,s11_50,very_strong,pp3,VHL,,
spliceai,s11_50,very_strong,pp3,BAP1,,
spliceai,s3_50,supporting,pp3,BRCA1,0.3314278721809387,35.530633437175496
spliceai,s3_50,supporting,pp3,BRCA2,0.32680821418762207,13.333333333333334
spliceai,s3_50,supporting,pp3,BARD1,0.3360421359539032,27.329098608590442
spliceai,s3_50,supporting,pp3,PALB2,0.3335808515548706,12.084525702172762
spliceai,s3_50,supporting,pp3,RAD51C,0.33111053705215454,17.47983870967742
spliceai,s3_50,supporting,pp3,VHL,0.3335808515548706,15.913043478260871
spliceai,s3_50,supporting,pp3,BAP1,0.3360421359539032,7.877419997013885
spliceai,s3_50,moderate,pp3,BRCA1,0.36843645572662354,43.73831775700934
spliceai,s3_50,moderate,pp3,BRCA2,0.3791576027870178,16.666666666666664
spliceai,s3_50,moderate,pp3,BARD1,0.37314295768737793,32.96126936531734
spliceai,s3_50,moderate,pp3,PALB2,0.38023096323013306,15.739819004524888
spliceai,s3_50,moderate,pp3,RAD51C,0.3818904459476471,22.408231368186875
spliceai,s3_50,moderate,pp3,VHL,0.3818904459476471,19.891304347826086
spliceai,s3_50,moderate,pp3,BAP1,0.3770623207092285,8.565910043720429
spliceai,s3_50,strong,pp3,BRCA1,0.8969249129295349,51.02803738317756
spliceai,s3_50,strong,pp3,BRCA2,0.883614718914032,35.55555555555556
spliceai,s3_50,strong,pp3,BARD1,0.9002442955970764,283.8582375478927
spliceai,s3_50,strong,pp3,PALB2,0.8605267405509949,42.94444444444444
spliceai,s3_50,strong,pp3,RAD51C,0.89483243227005,213.8709677419355
spliceai,s3_50,strong,pp3,VHL,0.8784627914428711,
spliceai,s3_50,strong,pp3,BAP1,0.8085200786590576,14.038574793875148
spliceai,s3_50,very_strong,pp3,BRCA1,,
spliceai,s3_50,very_strong,pp3,BRCA2,,
spliceai,s3_50,very_strong,pp3,BARD1,,
spliceai,s3_50,very_strong,pp3,PALB2,,
spliceai,s3_50,very_strong,pp3,RAD51C,,
spliceai,s3_50,very_strong,pp3,VHL,,
spliceai,s3_50,very_strong,pp3,BAP1,,
spliceai,all_1_50,supporting,pp3,BRCA1,0.37970757484436035,34.09148936170213
spliceai,all_1_50,supporting,pp3,BRCA2,0.3791576027870178,13.775087719298247
spliceai,all_1_50,supporting,pp3,BARD1,0.3770623207092285,37.231607335490835
spliceai,all_1_50,supporting,pp3,PALB2,0.4976634979248047,33.7655601659751
spliceai,all_1_50,supporting,pp3,RAD51C,0.4991223216056824,38.01818181818182
spliceai,all_1_50,supporting,pp3,VHL,0.38397568464279175,24.659574468085104
spliceai,all_1_50,supporting,pp3,BAP1,0.40053749084472656,14.802981366459626
spliceai,all_1_50,moderate,pp3,BRCA1,0.7535068988800049,47.22765957446809
spliceai,all_1_50,moderate,pp3,BRCA2,0.5589526295661926,18.21842105263158
spliceai,all_1_50,moderate,pp3,BARD1,0.7496998906135559,174.46224379719524
spliceai,all_1_50,moderate,pp3,PALB2,0.7493283748626709,64.77474807350326
spliceai,all_1_50,moderate,pp3,RAD51C,0.7535068988800049,131.6727272727273
spliceai,all_1_50,moderate,pp3,VHL,0.7510333061218262,83.74468085106382
spliceai,all_1_50,moderate,pp3,BAP1,0.5911917090415955,20.32154150197628
spliceai,all_1_50,strong,pp3,BRCA1,0.8925455212593079,46.91489361702127
spliceai,all_1_50,strong,pp3,BRCA2,0.9071353077888489,31.865263157894738
spliceai,all_1_50,strong,pp3,BARD1,0.9971310496330261,
spliceai,all_1_50,strong,pp3,PALB2,0.8762485980987549,142.56569847856156
spliceai,all_1_50,strong,pp3,RAD51C,0.9970622062683105,51.050000000000004
spliceai,all_1_50,strong,pp3,VHL,0.9970125555992126,
spliceai,all_1_50,strong,pp3,BAP1,0.8912066221237183,40.463157894736845
spliceai,all_1_50,very_strong,pp3,BRCA1,,
spliceai,all_1_50,very_strong,pp3,BRCA2,,
spliceai,all_1_50,very_strong,pp3,BARD1,,
spliceai,all_1_50,very_strong,pp3,PALB2,,
spliceai,all_1_50,very_strong,pp3,RAD51C,,
spliceai,all_1_50,very_strong,pp3,VHL,,
spliceai,all_1_50,very_strong,pp3,BAP1,,
pangolin,pm12,supporting,pp3,BRCA1,,
pangolin,pm12,supporting,pp3,BRCA2,,
pangolin,pm12,supporting,pp3,BARD1,,
pangolin,pm12,supporting,pp3,PALB2,,
pangolin,pm12,supporting,pp3,RAD51C,,
pangolin,pm12,supporting,pp3,VHL,,
pangolin,pm12,supporting,pp3,BAP1,,
pangolin,pm12,moderate,pp3,BRCA1,,
