gene,label_definition,stratum,tool,n,n_pos,n_neg,walker_in_scope,status,reason,column_basis_comparable,e3_supporting_reachable_in_sample,e3_supporting_logo_folds,e3_supporting_threshold,e3_supporting_lr_here,e3_supporting_tier_here,e3_supporting_note,e3_moderate_reachable_in_sample,e3_moderate_logo_folds,e3_moderate_threshold,e3_moderate_lr_here,e3_moderate_tier_here,e3_moderate_note,e3_strong_reachable_in_sample,e3_strong_logo_folds,e3_strong_threshold,e3_strong_lr_here,e3_strong_tier_here,e3_strong_note,walker_frac_pp3,walker_frac_grey,walker_sens_pp3,walker_spec_pp3,walker_lr_pp3,walker_lr_bp4,walker_tier_pp3,walker_tier_bp4,walker_pp3_n_pos_band,walker_pp3_n_neg_band,walker_lr_pp3_lo,walker_lr_pp3_hi,walker_tier_pp3_at_bound,walker_bp4_n_pos_band,walker_bp4_n_neg_band,walker_lr_bp4_lo,walker_lr_bp4_hi,e3_supporting_n_pos_band,e3_supporting_n_neg_band,e3_supporting_lr_lo,e3_supporting_lr_hi,e3_supporting_tier_at_bound,e3_moderate_n_pos_band,e3_moderate_n_neg_band,e3_moderate_lr_lo,e3_moderate_lr_hi,e3_moderate_tier_at_bound,e3_strong_n_pos_band,e3_strong_n_neg_band,e3_strong_lr_lo,e3_strong_lr_hi,e3_strong_tier_at_bound
DDX3X,y_deposit,pm12,pangolin,192,144,48,False,ok,,True,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDX3X,y_deposit,pm12,cadd,192,144,48,False,ok,,True,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDX3X,y_deposit,pm12,phylop,192,144,48,False,ok,,True,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDX3X,y_deposit,pm12,phastcons,192,144,48,False,ok,,True,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDX3X,y_deposit,pm12,gpn_msa,192,144,48,False,ok,,True,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDX3X,y_deposit,pm12,spliceai_walker,192,144,48,False,ok,,True,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,0.9947916666666666,0.005208333333333333,1.0,0.020833333333333332,1.021276595744681,,below supporting,not evaluable,144.0,47.0,1.0,1.0666666666666667,below supporting,0.0,0.0,,,,,,,,,,,,,,,,,
DDX3X,y_deposit,pm12,avi,192,144,48,False,ok,,True,True,4.0,1.8254716396331787,2.888888888888889,Supporting,,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,78.0,9.0,1.7690476190476192,6.666666666666667,below supporting,,,,,,,,,,
DDX3X,y_deposit,pm12,avi_splice_sites,192,144,48,False,ok,,True,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDX3X,y_deposit,pm12,avi_splice_site_usage,192,144,48,False,ok,,True,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDX3X,y_deposit,pm12,avi_splice_junctions,192,144,48,False,ok,,True,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDX3X,y_deposit,s3_10,pangolin,768,48,720,True,ok,,True,True,7.0,0.4068579971790313,8.382352941176471,Moderate,,True,7.0,0.547325074672699,10.0,Moderate,,True,7.0,0.7039144039154053,11.818181818181818,Moderate,,,,,,,,,,,,,,,,,,,38.0,68.0,6.499537037037037,11.25,Moderate,34.0,51.0,7.38085480093677,14.143452380952377,Moderate,26.0,33.0,7.856737012987013,18.410402097902093,Moderate
DDX3X,y_deposit,s3_10,cadd,768,48,720,True,ok,,True,True,7.0,19.53,6.11842105263158,Moderate,,False,1.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,31.0,76.0,4.4678694652098905,8.181818181818182,Moderate,,,,,,,,,,
DDX3X,y_deposit,s3_10,phylop,768,48,720,True,ok,,True,True,7.0,4.58587,6.25,Moderate,,True,7.0,5.34067,9.75,Moderate,,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,15.0,36.0,3.36734693877551,10.385869565217385,Supporting,13.0,20.0,5.168103448275862,18.75,Moderate,,,,,
DDX3X,y_deposit,s3_10,phastcons,768,48,720,True,ok,,True,True,7.0,1.0,3.1651376146788994,Supporting,,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,23.0,109.0,2.1609687981510017,4.264705882352941,Supporting,,,,,,,,,,
DDX3X,y_deposit,s3_10,gpn_msa,768,48,720,True,ok,,True,True,7.0,7.47,4.642857142857142,Moderate,,True,7.0,9.13,5.7142857142857135,Moderate,,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,26.0,84.0,3.2926829268292686,6.397132352941176,Supporting,16.0,42.0,3.3333333333333335,9.19447890818858,Supporting,,,,,
DDX3X,y_deposit,s3_10,spliceai_walker,768,48,720,True,ok,,True,True,7.0,0.4259027540683746,8.671875,Moderate,,True,7.0,0.5537148118019104,10.212765957446807,Moderate,,True,7.0,0.89483243227005,27.0,Strong,,0.2669270833333333,0.1796875,0.8958333333333334,0.775,3.9814814814814814,0.07092198581560283,Supporting,Moderate,43.0,162.0,3.368811082426701,4.694030612244897,Supporting,2.0,423.0,0.0,0.17902988456948762,37.0,64.0,6.58511526896091,11.666666666666668,Moderate,32.0,47.0,7.372881355932203,14.559138655462183,Moderate,18.0,10.0,13.846153846153847,63.0187499999999,Moderate
DDX3X,y_deposit,s3_10,avi,768,48,720,True,ok,,True,True,7.0,0.844028890132904,9.761904761904763,Moderate,,True,7.0,1.0689042806625366,13.214285714285715,Moderate,,True,7.0,1.3679836988449097,19.41176470588235,Strong,,,,,,,,,,,,,,,,,,,41.0,63.0,7.5,13.086103723404248,Moderate,37.0,42.0,9.705882352941178,19.13995150862068,Moderate,22.0,17.0,11.536764705882355,36.670454545454525,Moderate
DDX3X,y_deposit,s3_10,avi_splice_sites,768,48,720,True,ok,,True,True,7.0,0.33984375,9.047619047619047,Moderate,,True,7.0,0.455810546875,11.170212765957446,Moderate,,False,1.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,38.0,63.0,7.071113445378151,12.127659574468083,Moderate,35.0,47.0,8.25,15.857142857142858,Moderate,,,,,
DDX3X,y_deposit,s3_10,avi_splice_site_usage,768,48,720,True,ok,,True,True,7.0,0.568359375,13.333333333333334,Moderate,,True,7.0,0.6669921875,13.902439024390244,Moderate,,True,7.0,0.91949462890625,18.91304347826087,Strong,,,,,,,,,,,,,,,,,,,40.0,45.0,10.0,18.532085561497315,Moderate,38.0,41.0,10.2,19.838709677419356,Moderate,29.0,23.0,12.094354838709679,31.875,Moderate
DDX3X,y_deposit,s3_10,avi_splice_junctions,768,48,720,True,ok,,True,True,7.0,3.509765625,4.883720930232558,Moderate,,True,7.0,5.375,8.424657534246576,Moderate,,True,7.0,6.83984375,12.06521739130435,Moderate,,,,,,,,,,,,,,,,,,,42.0,129.0,4.080882352941177,5.948840810177432,Supporting,41.0,73.0,6.593406593406594,11.0,Moderate,37.0,46.0,8.839285714285714,16.714285714285715,Moderate
DDX3X,y_deposit,s11_50,pangolin,897,17,880,True,ok,,True,True,6.0,0.1923362016677856,9.651046859421735,Moderate,,True,6.0,0.3521193712949753,27.11484593837535,Strong,,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,11.0,59.0,5.940212150433943,14.62915601023018,Moderate,11.0,21.0,14.789915966386555,48.0672268907563,Moderate,,,,,
DDX3X,y_deposit,s11_50,cadd,897,17,880,True,ok,,True,True,3.0,21.1,6.901960784313726,Moderate,,False,1.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,2.0,15.0,0.0,21.568627450980394,below supporting,,,,,,,,,,
DDX3X,y_deposit,s11_50,phylop,897,17,880,True,ok,,True,False,2.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDX3X,y_deposit,s11_50,phastcons,897,17,880,True,ok,,True,False,1.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDX3X,y_deposit,s11_50,gpn_msa,897,17,880,True,ok,,True,True,6.0,6.585,3.450980392156863,Supporting,,False,1.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,1.0,15.0,0.0,12.941176470588237,below supporting,,,,,,,,,,
DDX3X,y_deposit,s11_50,spliceai_walker,897,17,880,True,ok,,True,True,6.0,0.2532642036676407,9.651046859421735,Moderate,,True,6.0,0.3130816221237182,9.31764705882353,Moderate,,False,1.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,0.10367892976588629,0.11259754738015608,0.7058823529411765,0.9079545454545455,7.66884531590414,0.3708073487274566,Moderate,Supporting,12.0,81.0,4.989369241672573,10.757002801120445,Moderate,5.0,698.0,0.14438745743399398,0.6617882394778678,11.0,59.0,5.85976155526118,14.317897371714643,Moderate,9.0,50.0,4.705882352941176,15.099354375896693,Moderate,,,,,
DDX3X,y_deposit,s11_50,avi,897,17,880,True,ok,,True,True,6.0,0.5901179909706116,20.336134453781515,Strong,,True,6.0,0.691426157951355,28.758169934640524,Strong,,True,2.0,1.1923002004623413,,not evaluable,,,,,,,,,,,,,,,,,,,11.0,28.0,11.50326797385621,33.649872122762126,Moderate,10.0,18.0,15.22491349480969,55.74660633484163,Moderate,3.0,2.0,,,not evaluable
DDX3X,y_deposit,s11_50,avi_splice_sites,897,17,880,True,ok,,True,True,6.0,0.270484447479248,13.99046104928458,Moderate,,True,6.0,0.5078125,34.509803921568626,Strong,,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,10.0,37.0,7.764705882352941,22.650294117647043,Moderate,8.0,12.0,15.22491349480969,81.34453781512606,Moderate,,,,,
DDX3X,y_deposit,s11_50,avi_splice_site_usage,897,17,880,True,ok,,True,True,6.0,0.154296875,24.757033248081843,Strong,,True,6.0,0.2469959259033203,31.633986928104576,Strong,,True,2.0,0.6455078125,51.76470588235294,Strong,,,,,,,,,,,,,,,,,,,11.0,23.0,13.70242214532872,43.800904977375566,Moderate,11.0,18.0,17.918552036199095,59.72850678733032,Moderate,8.0,8.0,21.568627450980394,138.0392156862745,Strong
DDX3X,y_deposit,s11_50,avi_splice_junctions,897,17,880,True,ok,,True,True,6.0,3.3779296875,12.65359477124183,Moderate,,True,6.0,4.36328125,16.698292220113853,Moderate,,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,11.0,45.0,7.526050420168067,19.58664546899841,Moderate,10.0,31.0,8.924949290060853,28.2411764705882,Moderate,,,,,
DDX3X,y_deposit,s3_50,pangolin,1665,65,1600,True,ok,,True,True,7.0,0.3767528235912323,12.969396195202647,Moderate,,True,7.0,0.4281759262084961,14.235403151065803,Moderate,,True,7.0,0.6740013957023621,19.901800327332243,Strong,,,,,,,,,,,,,,,,,,,49.0,93.0,10.37645367277033,16.71415004748338,Moderate,48.0,83.0,11.116625310173697,18.55289058767319,Moderate,38.0,47.0,14.12214015492704,28.134453781512594,Moderate
DDX3X,y_deposit,s3_50,cadd,1665,65,1600,True,ok,,True,True,7.0,19.19,8.284023668639053,Moderate,,True,7.0,22.6,6.153846153846154,Moderate,,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,35.0,104.0,6.099387338325393,10.876715940118633,Moderate,9.0,36.0,2.4615384615384617,11.36094674556213,Supporting,,,,,
DDX3X,y_deposit,s3_50,phylop,1665,65,1600,True,ok,,True,True,7.0,4.08529,7.692307692307693,Moderate,,True,7.0,5.25,13.91304347826087,Moderate,,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,15.0,48.0,4.179970972423803,12.959784075573525,Supporting,13.0,23.0,6.923076923076923,27.350427350427353,Moderate,,,,,
DDX3X,y_deposit,s3_50,phastcons,1665,65,1600,True,ok,,True,True,7.0,1.0,5.322245322245322,Moderate,,False,2.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,24.0,111.0,3.516483516483517,7.452364149611855,Supporting,,,,,,,,,,
DDX3X,y_deposit,s3_50,gpn_msa,1665,65,1600,True,ok,,True,True,7.0,6.88,6.69365721997301,Moderate,,True,7.0,8.31,9.846153846153847,Moderate,,False,0.0,,,not evaluable,tier unreachable in-sample; LOGO median not carried over,,,,,,,,,,,,,,,,,,31.0,114.0,4.770423375074538,8.92652445593622,Moderate,24.0,60.0,6.3199530891838585,14.674556213017752,Moderate,,,,,
DDX3X,y_deposit,s3_50,spliceai_walker,1665,65,1600,True,ok,,True,True,7.0,0.3335808515548706,9.691096305269534,Moderate,,True,7.0,0.4277547001838684,12.045826513911623,Moderate,,True,7.0,0.893125057220459,45.44378698224852,Strong,,0.178978978978979,0.14354354354354354,0.8461538461538461,0.848125,5.571383349161127,0.15370891374459617,Moderate,Moderate,55.0,243.0,4.755244755244755,6.458533357686622,Moderate,7.0,1121.0,0.06415131950622377,0.26540094898992683,50.0,127.0,7.782805429864252,11.986622073578596,Moderate,46.0,94.0,9.426783479349188,15.664335664335663,Moderate,24.0,13.0,24.615384615384617,98.46153846153845,Strong
DDX3X,y_deposit,s3_50,avi,1665,65,1600,True,ok,,True,True,7.0,0.7155988216400146,13.195876288659795,Moderate,,True,7.0,0.845728874206543,17.435897435897438,Moderate,,True,7.0,1.1815255880355835,22.505494505494507,Strong,,,,,,,,,,,,,,,,,,,52.0,97.0,10.491803278688526,16.623376623376625,Moderate,51.0,72.0,13.675213675213676,22.975682382133993,Moderate,32.0,35.0,15.187208863149944,35.02958579881656,Moderate
DDX3X,y_deposit,s3_50,avi_splice_sites,1665,65,1600,True,ok,,True,True,7.0,0.2978515625,11.815384615384616,Moderate,,True,7.0,0.439453125,16.662721893491124,Moderate,,True,7.0,0.8583984375,31.855203619909503,Strong,,,,,,,,,,,,,,,,,,,48.0,100.0,9.25698862540968,15.042735042735043,Moderate,44.0,65.0,12.467532467532466,22.336182336182333,Moderate,22.0,17.0,18.13765182186235,61.53846153846154,Moderate
DDX3X,y_deposit,s3_50,avi_splice_site_usage,1665,65,1600,True,ok,,True,True,7.0,0.3828125,18.46153846153846,Moderate,,True,7.0,0.4921875,20.512820512820515,Strong,,True,7.0,0.913726806640625,29.379652605459057,Strong,,,,,,,,,,,,,,,,,,,51.0,68.0,14.384948384948384,24.183901736087286,Moderate,50.0,60.0,15.69665551839465,27.12846677132391,Moderate,37.0,31.0,19.89998181487543,44.954292084726845,Strong
DDX3X,y_deposit,s3_50,avi_splice_junctions,1665,65,1600,True,ok,,True,True,7.0,3.212890625,6.939443535188216,Moderate,,True,7.0,3.955078125,8.77891339429801,Moderate,,True,7.0,6.24609375,17.334777898158183,Moderate,,,,,,,,,,,,,,,,,,,53.0,188.0,5.747650657295328,8.2989010989011,Moderate,51.0,143.0,7.166362751172878,10.830952927669346,Moderate,50.0,71.0,13.371320037986704,22.88798920377868,Moderate
