tool,comparable,external_min,external_max,analysis_set_min,analysis_set_max,spearman_vs_pathogenicity,range_overlap,fitted_q90,fitted_q90_percentile_here,reason
pangolin,True,0.0,0.9100000262260437,0.0002806223928928375,0.9109037518501282,0.08381669717689545,0.9990075744895441,0.7870322108268738,0.8777598276790523,
cadd,True,0.001,36.0,0.001,36.0,0.08846667212484924,1.0,24.4,0.8863758750673129,
phylop,True,-4.061,10.003,-4.944,9.891,0.09209499445023266,0.940478597910347,4.294758000000001,0.877221324717286,
phastcons,True,0.0,1.0,0.0,1.0,0.0916537552597532,1.0,1.0,1.0,
gpn_msa,True,-6.62,13.71,-7.31,13.51,0.07242960252147901,0.9668587896253602,8.3,0.864297253634895,
spliceai_walker,True,0.0007876008749008179,0.9998032450675964,0.0002244710922241211,0.9990334510803223,0.10911809916259722,0.9994361987187146,0.8987781047821045,0.8831448572967151,
avi,True,-1.2266359329223633,2.5706989765167236,-0.722252607345581,2.2459917068481445,0.07806791267209343,1.0,1.4537971496582032,0.8890683898761443,
avi_splice_sites,True,0.0048828125,0.9999901652336121,0.00390625,0.9999399185180664,0.12647128053711215,0.9990195487051627,0.9650362014770508,0.8992999461497039,
avi_splice_site_usage,True,0.00390625,0.9921785593032837,0.0078125,0.9843297004699707,0.11404288495260015,1.0,0.9094802856445312,0.8653742595584276,
avi_splice_junctions,True,0.0416259765625,11.8046875,0.0246734619140625,9.8046875,0.0888793467551336,0.9982666165322033,5.292187500000001,0.823371028540657,
