gene,label_definition,stratum,tool,n,n_pos,n_neg,walker_in_scope,status,reason,walker_frac_pp3,walker_frac_grey,walker_sens_pp3,walker_spec_pp3,walker_lr_pp3,walker_lr_bp4,walker_tier_pp3,walker_tier_bp4,walker_pp3_n_pos_band,walker_pp3_n_neg_band,walker_lr_pp3_lo,walker_lr_pp3_hi,walker_tier_pp3_at_bound,walker_bp4_n_pos_band,walker_bp4_n_neg_band,walker_lr_bp4_lo,walker_lr_bp4_hi,column_basis_comparable,e3_supporting_reachable_in_sample,e3_supporting_logo_folds,e3_supporting_threshold,e3_supporting_lr_here,e3_supporting_tier_here,e3_supporting_n_pos_band,e3_supporting_n_neg_band,e3_supporting_lr_lo,e3_supporting_lr_hi,e3_supporting_tier_at_bound,e3_moderate_reachable_in_sample,e3_moderate_logo_folds,e3_moderate_threshold,e3_moderate_lr_here,e3_moderate_tier_here,e3_moderate_n_pos_band,e3_moderate_n_neg_band,e3_moderate_lr_lo,e3_moderate_lr_hi,e3_moderate_tier_at_bound,e3_strong_reachable_in_sample,e3_strong_logo_folds,e3_strong_threshold,e3_strong_lr_here,e3_strong_tier_here,e3_strong_n_pos_band,e3_strong_n_neg_band,e3_strong_lr_lo,e3_strong_lr_hi,e3_strong_tier_at_bound,e3_moderate_note,e3_strong_note,e3_supporting_note
TP53,y_control_anchored,pm12,spliceai,48,47,1,False,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,pm12,pangolin,48,47,1,False,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,pm12,alphagenome,48,47,1,False,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,pm12,cadd,48,47,1,False,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,pm12,phylop,48,47,1,False,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,pm12,phastcons,48,47,1,False,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,pm12,gpn_msa,48,47,1,False,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,pm12,nt,48,47,1,False,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,pm12,spliceai_walker,48,47,1,False,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP53,y_control_anchored,pm12,avi,48,47,1,False,not evaluable,fewer than 10 labelled on one side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
