tool,comparable,external_min,external_max,analysis_set_min,analysis_set_max,spearman_vs_pathogenicity,range_overlap,fitted_q90,fitted_q90_percentile_here,reason
spliceai,True,1.3172626495361328e-05,0.999263882637024,1.4467092114500701e-05,0.9990334510803223,0.5612056874399689,1.0,0.8972030997276307,0.8263888888888888,
pangolin,True,0.0004722612502519,0.9045832753181458,0.0002806223928928375,0.9109037518501282,0.5855949266363648,0.9928487261319368,0.7870322108268738,0.8090277777777778,
alphagenome,False,0.029022,8.664062,0.7811828467994928,2.199999785423279,0.5486955701594619,1.0,2.1999523401260377,0.6805555555555556,"declared definition mismatch: the TP53 column was scored with AlphaGenome client v0.6.1 as a maximum absolute raw score, while the analysis-set column the thresholds are fitted on is the client v0.7.0 merged-quantile score, bounded at 2.2. They are different variables, so a threshold fitted on one does not apply to the other."
cadd,True,0.003,35.0,0.001,36.0,0.5136968897538728,0.9721658934970415,24.4,0.8125,
phylop,True,-3.28354,9.04253,-4.944,9.891,0.47650011239114926,0.8308776541961577,4.294758000000001,0.8958333333333334,
phastcons,True,0.0,1.0,0.0,1.0,0.5407478149304075,1.0,1.0,1.0,
gpn_msa,False,-13.02,2.9,-7.31,13.51,-0.5145601682889512,0.49039385206532177,8.3,1.0,anti-correlated on this gene: different orientation convention
nt,True,-2.8541746139526367,7.60554313659668,-4.374051094055176,8.912702560424805,0.4068321015637245,0.7872289968304294,3.2625938415527345,0.78125,
spliceai_walker,True,0.0007701516151428223,0.9992638826370239,0.0002244710922241211,0.9990334510803223,0.5690403851641087,0.9994536687856719,0.8987781047821045,0.8263888888888888,
avi,True,-0.4639546871185303,2.317070245742798,-0.722252607345581,2.2459917068481445,0.5738830682918793,0.912979562028669,1.4537971496582032,0.8541666666666666,
avi_splice_sites,True,0.0068359375,0.9960775375366211,0.00390625,0.9999399185180664,0.5506708300624905,0.9931808846466498,0.9650362014770508,0.8715277777777778,
avi_splice_site_usage,True,0.0078125,0.9763936996459961,0.0078125,0.9843297004699707,0.5946533075953633,0.9918731581787241,0.9094802856445312,0.8263888888888888,
avi_splice_junctions,True,0.032135009765625,8.4921875,0.0246734619140625,9.8046875,0.5450638057973948,0.865034800286453,5.292187500000001,0.8402777777777778,
