tool,stratum,arm,auroc,auroc_lo,auroc_hi,prauc,n_pos,n_neg,k_genes,max_tier_in_sample,max_tier_logo
spliceai,s3_10,all,0.9010310280321182,0.8521643360732243,0.9349774636225,0.8040268615851413,570.0,2505.0,7,strong,strong
spliceai,s3_10,classified,0.8864666351050663,0.7881335369309361,0.9424908479474172,0.8133234519104084,93.0,457.0,5,strong,strong
spliceai,s3_10,recorded_unclassified,0.8921325041515921,0.8188184319758782,0.9380258109349662,0.8038381877042362,196.0,585.0,6,strong,strong
spliceai,s3_10,unrecorded,0.8691144010928052,0.8073159096631176,0.91322305475434,0.6879131498069061,269.0,1303.0,5,strong,strong
spliceai,s11_50,all,0.8472956949472755,0.7437854026635434,0.9138325996509687,0.5254423450519284,222.0,3970.0,5,moderate,moderate
spliceai,s11_50,unrecorded,0.8655242771254578,0.7175476573632199,0.9422187943118084,0.5466347781440464,165.0,3267.0,4,moderate,moderate
spliceai,s3_50,all,0.905428453594173,0.8433337676446606,0.9445306772791676,0.7293350920460634,795.0,6817.0,7,strong,strong
spliceai,s3_50,classified,0.8432715835840843,0.7029781157842435,0.924423802813426,0.665123414416037,119.0,997.0,5,strong,strong
spliceai,s3_50,recorded_unclassified,0.8872364232391619,0.8117401116031188,0.934885656307532,0.7524417926622975,215.0,877.0,6,strong,strong
spliceai,s3_50,unrecorded,0.8893132778142698,0.807343765366558,0.9390405190689348,0.6659935607882456,448.0,4647.0,6,strong,strong
pangolin,s3_10,all,0.9169541643799398,0.8795105155231879,0.9435091056715956,0.7976783605837972,570.0,2505.0,7,strong,strong
pangolin,s3_10,classified,0.90290026135828,0.8157234245153211,0.9512980903967284,0.8173701298701299,93.0,457.0,5,strong,strong
pangolin,s3_10,recorded_unclassified,0.9096256792080878,0.856019380612169,0.944565961463163,0.8150559775778606,196.0,585.0,6,strong,strong
pangolin,s3_10,unrecorded,0.8894709650514825,0.8345207603640294,0.9277537127279843,0.7207672465674351,269.0,1303.0,5,strong,strong
pangolin,s11_50,all,0.8475217103678917,0.7736860443034427,0.9003702741467754,0.4436190129379253,222.0,3970.0,5,moderate,moderate
pangolin,s11_50,unrecorded,0.8453742926201393,0.7703824880534867,0.8990825456885662,0.448480425976725,165.0,3267.0,4,moderate,moderate
pangolin,s3_50,all,0.91744894634117,0.8714979301358325,0.947949731526295,0.7105042532586288,795.0,6817.0,7,strong,strong
pangolin,s3_50,classified,0.8515545314302464,0.7187579864381776,0.92793429004298,0.641173163087056,119.0,997.0,5,strong,strong
pangolin,s3_50,recorded_unclassified,0.9051254993080076,0.8461210899670718,0.9430282539217594,0.7818628209130585,215.0,877.0,6,strong,strong
pangolin,s3_50,unrecorded,0.8975711908121524,0.8391356329474041,0.936388612229426,0.6790540821710521,448.0,4647.0,6,strong,strong
alphagenome,s3_10,all,0.9144064838856122,0.8682171112563171,0.945424311386609,0.8120287267181765,570.0,2505.0,7,strong,strong
alphagenome,s3_10,classified,0.8710415945205869,0.7431370486066979,0.9403670403279,0.7908961012451521,93.0,457.0,5,strong,strong
alphagenome,s3_10,recorded_unclassified,0.912412551948336,0.8534209514011882,0.9490792130254287,0.8593703314150394,196.0,585.0,6,strong,strong
alphagenome,s3_10,unrecorded,0.8908521488551366,0.8146496840085513,0.9381059944195752,0.756684345078323,269.0,1303.0,5,strong,strong
alphagenome,s11_50,all,0.8312144373654139,0.7488342769467281,0.89052478829528,0.4970887718041038,222.0,3970.0,5,strong,moderate
alphagenome,s11_50,unrecorded,0.8449401314944581,0.7548015870799601,0.9060661736073696,0.4737150591282748,165.0,3267.0,4,strong,moderate
alphagenome,s3_50,all,0.910398764640054,0.8549406355551257,0.9459938547643724,0.730940288145422,795.0,6817.0,7,strong,strong
alphagenome,s3_50,classified,0.8305072458656988,0.6669414784126384,0.9230174142429884,0.6944054643348394,119.0,997.0,5,strong,strong
alphagenome,s3_50,recorded_unclassified,0.9040960265771666,0.8434029298425371,0.9428596862497848,0.8204962533073077,215.0,877.0,6,strong,strong
alphagenome,s3_50,unrecorded,0.8908754437780939,0.8176010100383275,0.936982458577882,0.7102081420929667,448.0,4647.0,6,strong,strong
cadd,s3_10,all,0.7849947830857612,0.7543733123174691,0.8127463658962273,0.4581988973086563,570.0,2505.0,7,supporting,supporting
cadd,s3_10,classified,0.8064889545496123,0.6940101849845963,0.8845024941715165,0.5547847274590595,93.0,457.0,5,supporting,supporting
cadd,s3_10,recorded_unclassified,0.7451336582327616,0.6988199697106591,0.7865013183864157,0.5320993878790441,196.0,585.0,6,supporting,supporting
cadd,s3_10,unrecorded,0.754671743755281,0.6810036914488606,0.8159256209437982,0.3229349750755291,269.0,1303.0,5,supporting,supporting
cadd,s11_50,all,0.6479562411327485,0.5204136352761622,0.7573922623471318,0.1455105340657499,222.0,3970.0,5,supporting,none
cadd,s11_50,unrecorded,0.6284078041841803,0.4708550533866182,0.7626922401965873,0.1227174858777515,165.0,3267.0,4,supporting,none
cadd,s3_50,all,0.782622377739815,0.7355054338584649,0.8233616795622315,0.3991857501300087,795.0,6817.0,7,moderate,moderate
cadd,s3_50,classified,0.7458011347665945,0.5553898907588791,0.8732728340055897,0.3457882633065982,119.0,997.0,5,moderate,moderate
cadd,s3_50,recorded_unclassified,0.7473063668887661,0.6899318529387686,0.7971852520790738,0.499625479449353,215.0,877.0,6,moderate,moderate
cadd,s3_50,unrecorded,0.750648513038967,0.6792527584666761,0.81058381825411,0.3492865305180107,448.0,4647.0,6,moderate,moderate
phylop,s3_10,all,0.7557403700107513,0.730443714911843,0.7793800725472605,0.4911221043389787,570.0,2505.0,7,moderate,supporting
phylop,s3_10,classified,0.8404375427637735,0.7471430664024613,0.9037445882502624,0.7448667325434124,93.0,457.0,5,moderate,supporting
phylop,s3_10,recorded_unclassified,0.6966799603469647,0.637184685147945,0.7502431845716908,0.4298789070801953,196.0,585.0,6,moderate,supporting
phylop,s3_10,unrecorded,0.7248950480116119,0.6680419494477221,0.7752864451543577,0.4840380630711709,269.0,1303.0,5,moderate,supporting
phylop,s11_50,all,0.6415819952157541,0.5391608586367419,0.7325324201685804,0.1770202462939988,222.0,3970.0,5,none,none
phylop,s11_50,unrecorded,0.6672597617209072,0.5570857480885678,0.7617488629013094,0.1537183809920699,165.0,3267.0,4,none,none
phylop,s3_50,all,0.7518197150253255,0.7157681734748642,0.7846741535996112,0.3528299370742714,795.0,6817.0,7,moderate,supporting
phylop,s3_50,classified,0.7928348829804421,0.6431749809702234,0.8904188284929092,0.5969207051982653,119.0,997.0,5,moderate,supporting
phylop,s3_50,recorded_unclassified,0.6912315081689078,0.6032173744004915,0.7672552208060445,0.4093412003963985,215.0,877.0,6,moderate,supporting
phylop,s3_50,unrecorded,0.7308791735121726,0.687159927701197,0.7705289713639432,0.3423988988778529,448.0,4647.0,6,moderate,supporting
phastcons,s3_10,all,0.749275829623103,0.7154920200952536,0.7802799262573433,0.4009869740288299,570.0,2505.0,7,supporting,supporting
phastcons,s3_10,classified,0.8430374131035596,0.739015227398012,0.910613693302682,0.5066558441558441,93.0,457.0,5,supporting,supporting
phastcons,s3_10,recorded_unclassified,0.704704726366904,0.6569525543196967,0.7483559549007783,0.427296322016663,196.0,585.0,6,supporting,supporting
phastcons,s3_10,unrecorded,0.7042766431232492,0.6425123449579488,0.7593663076377665,0.3071664659125752,269.0,1303.0,5,supporting,supporting
phastcons,s11_50,all,0.5986955130853424,0.4888928813075902,0.6994123636969019,0.0904327585677776,222.0,3970.0,5,none,none
phastcons,s11_50,unrecorded,0.585099119852646,0.4550692438222473,0.7042653038879847,0.0790420432474345,165.0,3267.0,4,none,none
phastcons,s3_50,all,0.7592452563509213,0.711339448017372,0.8014201256091573,0.3354335471389829,795.0,6817.0,7,supporting,supporting
phastcons,s3_50,classified,0.792215298145352,0.5950295421519586,0.908201019142048,0.354602238816872,119.0,997.0,5,supporting,supporting
phastcons,s3_50,recorded_unclassified,0.6950031165105997,0.6105637344374315,0.768088134887489,0.4108820341970759,215.0,877.0,6,supporting,supporting
phastcons,s3_50,unrecorded,0.7192367862832387,0.6715662537989734,0.76243579903983,0.2599359526346846,448.0,4647.0,6,supporting,supporting
gpn_msa,s3_10,all,0.7940804440087502,0.7698798588105088,0.8163431041767022,0.501827898021854,570.0,2505.0,7,moderate,moderate
