term,panel_column,term_kind,n_missing_in_rows_used,coef_heldout_BRCA1,coef_heldout_BRCA2,coef_heldout_BARD1,coef_heldout_PALB2,coef_heldout_RAD51C,coef_heldout_VHL,coef_heldout_BAP1,n_folds,mean,sd,min,max,mean_abs,rank_mean_abs,n_folds_positive,n_folds_negative,n_folds_zero,n_folds_nonzero,n_folds_nonzero_same_sign_as_mean,changes_sign_across_folds,rank_in_fold_best,rank_in_fold_worst
spliceai,spliceai,within-gene rank,0,0.1960173340129669,0.20069437224758205,0.1979336709160413,0.23076476960966957,0.21891121364808858,0.20260326136722284,0.19594801127828648,7,0.2061246618685511,0.01344949657771483,0.19594801127828648,0.23076476960966957,0.2061246618685511,1,7,0,0,7,7,False,1,2
pangolin,pangolin,within-gene rank,0,0.18277087024304403,0.18705342043764892,0.2208361542819901,0.1682992859372777,0.1977313348457423,0.18977296264555701,0.18405118216639318,7,0.1900736015082362,0.016216800176029073,0.1682992859372777,0.2208361542819901,0.1900736015082362,2,7,0,0,7,7,False,1,2
cadd,cadd,within-gene rank,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,7,0,0,7,0,0,False,7,7
phylop,phylop,within-gene rank,0,0.05400118639816171,0.04907160289082681,0.0712309160933412,0.050039149793891,0.04661282827363842,0.052631101950926656,0.044837691176739,7,0.052632068082503536,0.008795598616014587,0.044837691176739,0.0712309160933412,0.052632068082503536,4,7,0,0,7,7,False,4,5
phastcons,phastcons,within-gene rank,0,0.0281686783371067,0.041641055812023174,0.012911462363339846,0.03539982129788145,0.06286981176520351,0.03716988196761363,0.053751321474005055,7,0.038844576145310485,0.0163728200706731,0.012911462363339846,0.06286981176520351,0.038844576145310485,5,7,0,0,7,7,False,4,5
gpn_msa,gpn_msa,within-gene rank,0,0.08329080599543025,0.08694329280574283,0.10719316221353088,0.10115345049880153,0.06523336066055963,0.09097948428317691,0.0868082705458136,7,0.08880026100043652,0.013471070007380587,0.06523336066055963,0.10719316221353088,0.08880026100043652,3,7,0,0,7,7,False,3,3
nt,nt,within-gene rank,0,0.0186882749900096,0.012030884909414695,0.010885386820931578,0.010157599334894447,0.012212934707187525,0.009778848343705947,0.0,7,0.01053627558659197,0.005527992564067116,0.0,0.0186882749900096,0.01053627558659197,6,6,0,1,6,6,False,6,7
spliceai_isna,spliceai,missingness indicator,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,,0,0,7,0,0,False,,
pangolin_isna,pangolin,missingness indicator,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,,0,0,7,0,0,False,,
cadd_isna,cadd,missingness indicator,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,,0,0,7,0,0,False,,
phylop_isna,phylop,missingness indicator,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,,0,0,7,0,0,False,,
phastcons_isna,phastcons,missingness indicator,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,,0,0,7,0,0,False,,
gpn_msa_isna,gpn_msa,missingness indicator,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,,0,0,7,0,0,False,,
nt_isna,nt,missingness indicator,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,,0,0,7,0,0,False,,
