label_definition,tool,stratum,in_frame,out_of_frame,undetermined,n,in_frame_share,resolved_in_frame_share
y_deposit,pangolin,pm12,15,31,1,47,0.3191,0.3261
y_deposit,pangolin,s11_50,9,55,17,81,0.1111,0.1406
y_deposit,pangolin,s3_10,39,111,12,162,0.2407,0.26
y_deposit,spliceai,pm12,15,32,0,47,0.3191,0.3191
y_deposit,spliceai,s11_50,14,53,14,81,0.1728,0.209
y_deposit,spliceai,s3_10,45,99,18,162,0.2778,0.3125
y_control_anchored_gated,pangolin,pm12,19,43,1,63,0.3016,0.3065
y_control_anchored_gated,pangolin,s11_50,11,52,17,80,0.1375,0.1746
y_control_anchored_gated,pangolin,s3_10,40,123,13,176,0.2273,0.2454
y_control_anchored_gated,spliceai,pm12,19,44,0,63,0.3016,0.3016
y_control_anchored_gated,spliceai,s11_50,15,51,14,80,0.1875,0.2273
y_control_anchored_gated,spliceai,s3_10,47,111,18,176,0.267,0.2975
y_control_anchored,pangolin,pm12,19,45,1,65,0.2923,0.2969
y_control_anchored,pangolin,s11_50,11,55,17,83,0.1325,0.1667
y_control_anchored,pangolin,s3_10,41,125,13,179,0.2291,0.247
y_control_anchored,spliceai,pm12,19,46,0,65,0.2923,0.2923
y_control_anchored,spliceai,s11_50,15,54,14,83,0.1807,0.2174
y_control_anchored,spliceai,s3_10,48,113,18,179,0.2682,0.2981
y_fdr,pangolin,pm12,12,34,1,47,0.2553,0.2609
y_fdr,pangolin,s11_50,5,54,17,76,0.0658,0.0847
y_fdr,pangolin,s3_10,35,120,13,168,0.2083,0.2258
y_fdr,spliceai,pm12,12,35,0,47,0.2553,0.2553
y_fdr,spliceai,s11_50,10,52,14,76,0.1316,0.1613
y_fdr,spliceai,s3_10,42,108,18,168,0.25,0.28
