tool,stratum,score,eps,n_damaging_in_window,n_normal_in_window,local_lr,lr_lo_gene_boot,lr_hi_gene_boot,lr_hi_bootstrap_only,lr_lo_variant_boot,lr_hi_variant_boot
avi,pm12,0.7642452120780945,0.6765643954277039,83,17,0.22468539654667835,0.09387742119198075,0.40333299099654213,0.40333299099654213,0.16404505100634134,0.32802265887767745
avi,pm12,0.8688182234764099,0.5719913840293884,83,17,0.22468539654667835,0.09387742119198075,0.40333299099654213,0.40333299099654213,0.16404505100634134,0.32802265887767745
avi,pm12,0.9390232563018799,0.5017863512039185,83,17,0.22468539654667835,0.09387742119198075,0.40333299099654213,0.40333299099654213,0.16404505100634134,0.32802265887767745
avi,pm12,0.9444206357002258,0.4963889718055725,83,17,0.22468539654667835,0.09387742119198075,0.40333299099654213,0.40333299099654213,0.16404505100634134,0.32802265887767745
avi,pm12,0.9506374001502991,0.49017220735549927,83,17,0.22468539654667835,0.09387742119198075,0.40333299099654213,0.40333299099654213,0.16404505100634134,0.32802265887767745
avi,pm12,0.9787158370018005,0.4620937705039978,83,17,0.22468539654667835,0.09387742119198075,0.40333299099654213,0.40333299099654213,0.16404505100634134,0.32802265887767745
avi,pm12,0.9828252196311951,0.45798438787460327,83,17,0.22468539654667835,0.09387742119198075,0.40333299099654213,0.40333299099654213,0.16404505100634134,0.32802265887767745
avi,pm12,1.0223554372787476,0.4184541702270508,83,17,0.22468539654667835,0.09387742119198075,0.40333299099654213,0.40333299099654213,0.16404505100634134,0.32802265887767745
avi,pm12,1.030377745628357,0.4104318618774414,83,17,0.22468539654667835,0.09387742119198075,0.40333299099654213,0.40333299099654213,0.16404505100634134,0.32802265887767745
avi,pm12,1.069898247718811,0.3709113597869873,83,17,0.22468539654667835,0.09387742119198075,0.40333299099654213,0.40333299099654213,0.16404505100634134,0.32802265887767745
avi,pm12,1.0835939645767212,0.35721564292907715,83,17,0.22468539654667835,0.09387742119198075,0.40333299099654213,0.40333299099654213,0.16404505100634134,0.32802265887767745
avi,pm12,1.0968286991119385,0.34398090839385986,83,17,0.22468539654667835,0.09387742119198075,0.40333299099654213,0.40333299099654213,0.16404505100634134,0.32802265887767745
avi,pm12,1.10294508934021,0.3386998772621155,83,17,0.22468539654667835,0.09387742119198075,0.40333299099654213,0.40333299099654213,0.16404505100634134,0.32802265887767745
avi,pm12,1.1165632009506226,0.3264141082763672,84,16,0.2416044776119403,0.09706457925636007,0.4196933010492332,0.4196933010492332,0.17488764957496347,0.35874999999999996
avi,pm12,1.1384731531143188,0.3045041561126709,84,16,0.2416044776119403,0.09706457925636007,0.4196933010492332,0.4196933010492332,0.17488764957496347,0.35874999999999996
avi,pm12,1.1554547548294067,0.287522554397583,84,16,0.2416044776119403,0.09706457925636007,0.4196933010492332,0.4196933010492332,0.17488764957496347,0.35874999999999996
avi,pm12,1.1571959257125854,0.2871873378753662,85,15,0.2607794361525705,0.11418649682522436,0.4332036534170803,0.4332036534170803,0.18637974898236093,0.39750964937385425
avi,pm12,1.1613417863845825,0.28304147720336914,85,15,0.2607794361525705,0.11418649682522436,0.4332036534170803,0.4332036534170803,0.18637974898236093,0.39750964937385425
avi,pm12,1.1784663200378418,0.26591694355010986,85,15,0.2607794361525705,0.11418649682522436,0.4332036534170803,0.4332036534170803,0.18637974898236093,0.39750964937385425
avi,pm12,1.2127466201782227,0.23825931549072266,86,14,0.2826936744847192,0.11336757854497671,0.4816072439162422,0.4816072439162422,0.20012391573729862,0.43719011610720104
avi,pm12,1.2141443490982056,0.23686158657073975,86,14,0.2826936744847192,0.11336757854497671,0.4816072439162422,0.4816072439162422,0.20012391573729862,0.43719011610720104
avi,pm12,1.2159663438796997,0.23621582984924316,87,13,0.30797933409873707,0.1336746259720613,0.49737107681507,0.49737107681507,0.21551444546126555,0.4935386794122854
avi,pm12,1.230064868927002,0.22245168685913086,87,13,0.30797933409873707,0.12884295692297967,0.502564690575554,0.502564690575554,0.2155379084415158,0.493137816323923
avi,pm12,1.2357177734375,0.2167987823486328,87,13,0.30797933409873707,0.12884295692297967,0.502564690575554,0.502564690575554,0.2155379084415158,0.493137816323923
avi,pm12,1.267256259918213,0.1867671012878418,90,10,0.4141791044776119,0.1736227045075125,0.8347043851346532,0.8347043851346532,0.27324277622631077,0.7515507802971134
avi,pm12,1.3028484582901,0.15686869621276855,92,8,0.529228855721393,0.18162393162393164,2.027777777777778,2.027777777777778,0.3312349069317418,1.0698254364089776
