tool_stratum n_grid n_drops drop_frac end_minus_start
interval_lr_alphagenome_all_1_50 8284 415 0.05 209.99172462587097
interval_lr_alphagenome_pm12 720 102 0.142 1.9469957902793724
interval_lr_alphagenome_s11_50 4532 112 0.025 37.20156862745098
interval_lr_alphagenome_s3_10 3064 161 0.053 35.5130249867092
interval_lr_alphagenome_s3_50 7585 288 0.038 57.29887163849428
interval_lr_avi_all_1_50 8453 311 0.037 428.7054409005629
interval_lr_avi_pm12 841 18 0.021 4.501682762657302
interval_lr_avi_s11_50 4537 119 0.026 29.9751566951567
interval_lr_avi_s3_10 3075 145 0.047 142.05209994683682
interval_lr_avi_s3_50 7612 283 0.037 277.253249475891
interval_lr_avi_splice_junctions_all_1_50 5084 1712 0.337 210.03502188868043
interval_lr_avi_splice_junctions_pm12 637 161 0.253 4.261055831951355
interval_lr_avi_splice_junctions_s11_50 3187 845 0.265 17.69025641025641
interval_lr_avi_splice_junctions_s3_10 2541 539 0.212 142.05209994683682
interval_lr_avi_splice_junctions_s3_50 4669 1501 0.322 134.3392033542977
interval_lr_avi_splice_site_usage_all_1_50 1462 243 0.166 424.25831029889866
interval_lr_avi_splice_site_usage_pm12 720 46 0.064 1.9469957902793724
interval_lr_avi_splice_site_usage_s11_50 282 73 0.26 36.264446278465535
interval_lr_avi_splice_site_usage_s3_10 662 138 0.209 83.37645318114564
interval_lr_avi_splice_site_usage_s3_50 809 174 0.215 134.14283290924513
interval_lr_avi_splice_sites_all_1_50 2148 542 0.252 209.86692663306724
interval_lr_avi_splice_sites_pm12 687 82 0.12 4.294010715652507
interval_lr_avi_splice_sites_s11_50 751 223 0.297 22.379092264567305
interval_lr_avi_splice_sites_s3_10 1074 303 0.282 29.198282617213007
interval_lr_avi_splice_sites_s3_50 1510 459 0.304 57.0492178680858
interval_lr_cadd_all_1_50 4469 1204 0.269 252.89931207004375
interval_lr_cadd_pm12 84 24 0.289 2.122667910447761
interval_lr_cadd_s11_50 3266 748 0.229 6.388148148148147
interval_lr_cadd_s3_10 2112 449 0.213 6.592105263157895
interval_lr_cadd_s3_50 4438 1193 0.269 11.303201829616924
interval_lr_fusion_enet_all_1_50 8453 356 0.042 428.66214363775345
interval_lr_fusion_enet_pm12 841 15 0.018 4.516721945826424
interval_lr_fusion_enet_s11_50 4537 123 0.027 18.219317356572258
interval_lr_fusion_enet_s3_10 3075 170 0.055 13.87227538543328
interval_lr_fusion_enet_s3_50 7612 333 0.044 27.067054189695703
interval_lr_gpn_msa_all_1_50 1439 592 0.412 209.94754374545317
interval_lr_gpn_msa_pm12 512 172 0.337 4.218490878938639
interval_lr_gpn_msa_s11_50 920 362 0.394 4.7365864833906075
interval_lr_gpn_msa_s3_10 1001 386 0.386 11.164832183551663
interval_lr_gpn_msa_s3_50 1196 477 0.399 21.874598896162237
interval_lr_nt_all_1_50 8452 734 0.087 138.50706010984757
interval_lr_nt_pm12 841 26 0.031 0.8765695332859513
interval_lr_nt_s11_50 4537 168 0.037 2.1750589540851717
interval_lr_nt_s3_10 3075 281 0.091 6.188213808345355
interval_lr_nt_s3_50 7611 512 0.067 4.530608455136758
interval_lr_pangolin_all_1_50 8451 318 0.038 102.78681829204479
interval_lr_pangolin_pm12 841 21 0.025 0.6391652846876726
interval_lr_pangolin_s11_50 4536 122 0.027 28.35555555555555
interval_lr_pangolin_s3_10 3075 150 0.049 50.49508240297714
interval_lr_pangolin_s3_50 7610 292 0.038 86.52619118926397
interval_lr_phastcons_all_1_50 150 61 0.409 9.430483215246841
interval_lr_phastcons_pm12 9 2 0.25 0.07859141791044766
interval_lr_phastcons_s11_50 127 50 0.397 0.8520526663649948
interval_lr_phastcons_s3_10 120 55 0.462 3.7319425041657546
interval_lr_phastcons_s3_50 150 61 0.409 4.870797526103586
interval_lr_phylop_all_1_50 1722 422 0.245 139.98048363560557
interval_lr_phylop_pm12 231 40 0.174 1.0845356550580434
interval_lr_phylop_s11_50 950 210 0.221 3.3426356589147286
interval_lr_phylop_s3_10 878 192 0.219 7.168363597493352
interval_lr_phylop_s3_50 1531 379 0.248 13.205257861635221
interval_lr_spliceai_all_1_50 8434 382 0.045 81.44215134459037
interval_lr_spliceai_pm12 838 18 0.022 0.5020352781546812
interval_lr_spliceai_s11_50 4530 127 0.028 24.391111111111112
interval_lr_spliceai_s3_10 3075 170 0.055 32.228070175438596
interval_lr_spliceai_s3_50 7596 349 0.046 57.38548621190131
interval_lr_spliceai_walker_all_1_50 8446 339 0.04 81.39885408178091
interval_lr_spliceai_walker_pm12 841 18 0.021 0.5020352781546812
interval_lr_spliceai_walker_s11_50 4534 128 0.028 22.303811057434245
interval_lr_spliceai_walker_s3_10 3074 159 0.052 32.228070175438596
interval_lr_spliceai_walker_s3_50 7605 307 0.04 57.29887163849428
