Genes,"Stratum (intronic offset, bp)",ClinVar record status,Tool,Fitted threshold tier,Fitted threshold,Genes contributing,Damaging,Normal,Variants in band,Sensitivity,Specificity,Band LR at fitted threshold,Band LR at published cut point (≥ 0.2),AUROC (95% CI),Genes pooled for AUROC
All genes,3–10,All variants,SpliceAI (±50 nt),Moderate,0.5556567,7,570,2505,371,0.526,0.972,18.6,5.60,,
All genes,3–10,All variants,Pangolin,Moderate,0.5108555555,7,570,2505,416,0.581,0.966,17.1,,,
All genes,3–10,All variants,AlphaGenome,Moderate,2.199516,7,570,2505,407,0.591,0.972,21.2,,,
All genes,3–10,All variants,CADD,Supporting (Moderate not reached),19.30,7,570,2505,382,0.353,0.928,4.88,,,
All genes,3–10,All variants,phyloP-100way,Moderate,5.34067,7,570,2505,68,0.086,0.992,11.3,,,
All genes,3–10,All variants,phastCons-100way,Supporting (Moderate not reached),1.000,7,570,2505,508,0.426,0.894,4.03,,,
All genes,3–10,All variants,GPN-MSA,Moderate,9.010,7,570,2505,151,0.179,0.980,9.15,,,
All genes,3–10,All variants,NT-v2-500M,Supporting (Moderate not reached),3.26899,7,570,2505,241,0.221,0.954,4.82,,,
All genes,3–10,All variants,"SpliceAI (±4,999 nt, Walker basis)",Moderate,0.5386,7,570,2505,404,0.570,0.968,18.1,5.14,,
All genes,3–10,All variants,AlphaGenome Atlas AVI,Moderate,1.071034,7,570,2505,340,0.516,0.982,28.1,,,
All genes,3–10,All variants,AlphaGenome Atlas splice sites,Moderate,0.4648,7,570,2505,386,0.567,0.975,22.5,,,
All genes,3–10,All variants,AlphaGenome Atlas splice site usage,Moderate,0.6787,7,570,2505,396,0.593,0.977,25.6,,,
All genes,3–10,All variants,AlphaGenome Atlas splice junctions,Moderate,5.41796875,7,570,2505,272,0.407,0.984,25.5,,,
All genes,3–10,Classified (P/LP or B/LB),SpliceAI (±50 nt),Moderate,0.5556567,7,95,578,65,0.632,0.991,73.0,17.0,0.886 (0.788–0.942),5
All genes,3–10,Classified (P/LP or B/LB),Pangolin,Moderate,0.5108555555,7,95,578,71,0.684,0.990,65.9,,0.903 (0.816–0.951),5
All genes,3–10,Classified (P/LP or B/LB),AlphaGenome,Moderate,2.199516,7,95,578,74,0.705,0.988,58.2,,0.871 (0.743–0.940),5
All genes,3–10,Classified (P/LP or B/LB),CADD,Supporting (Moderate not reached),19.30,7,95,578,44,0.305,0.974,11.8,,0.806 (0.694–0.885),5
All genes,3–10,Classified (P/LP or B/LB),phyloP-100way,Moderate,5.34067,7,95,578,10,0.105,1.000,60.9,,0.840 (0.747–0.904),5
All genes,3–10,Classified (P/LP or B/LB),phastCons-100way,Supporting (Moderate not reached),1.000,7,95,578,71,0.453,0.952,9.34,,0.843 (0.739–0.911),5
All genes,3–10,Classified (P/LP or B/LB),GPN-MSA,Moderate,9.010,7,95,578,21,0.211,0.998,122,,0.872 (0.798–0.921),5
All genes,3–10,Classified (P/LP or B/LB),NT-v2-500M,Supporting (Moderate not reached),3.26899,7,95,578,24,0.116,0.978,5.15,,0.653 (0.548–0.744),5
All genes,3–10,Classified (P/LP or B/LB),"SpliceAI (±4,999 nt, Walker basis)",Moderate,0.5386,7,95,578,69,0.663,0.990,63.9,14.6,0.888 (0.798–0.941),5
All genes,3–10,Classified (P/LP or B/LB),AlphaGenome Atlas AVI,Moderate,1.071034,7,95,578,62,0.642,0.998,371,,0.896 (0.778–0.955),5
All genes,3–10,Classified (P/LP or B/LB),AlphaGenome Atlas splice sites,Moderate,0.4648,7,95,578,72,0.695,0.990,66.9,,0.879 (0.739–0.949),5
All genes,3–10,Classified (P/LP or B/LB),AlphaGenome Atlas splice site usage,Moderate,0.6787,7,95,578,67,0.695,0.998,402,,0.876 (0.745–0.945),5
