"Stratum (intronic offset, bp)",Gene,Tool,Classified (P/LP or B/LB): damaging/normal,Classified (P/LP or B/LB): AUROC,"Recorded, not classified: damaging/normal","Recorded, not classified: AUROC",Not in ClinVar: damaging/normal,Not in ClinVar: AUROC,Arm with the highest AUROC
3–10,BAP1,SpliceAI (±50 nt),13/129,0.855,31/76,0.759,102/386,0.816,Classified (P/LP or B/LB)
3–10,BAP1,Pangolin,13/129,0.900,31/76,0.837,102/386,0.873,Classified (P/LP or B/LB)
3–10,BAP1,AlphaGenome,13/129,0.847,31/76,0.807,102/386,0.847,Classified (P/LP or B/LB) (margin below the printed precision)
3–10,BAP1,CADD,13/129,0.674,31/76,0.719,102/386,0.817,Not in ClinVar
3–10,BAP1,phyloP-100way,13/129,0.728,31/76,0.651,102/386,0.777,Not in ClinVar
3–10,BAP1,phastCons-100way,13/129,0.735,31/76,0.639,102/386,0.757,Not in ClinVar
3–10,BAP1,GPN-MSA,13/129,0.755,31/76,0.697,102/386,0.787,Not in ClinVar
3–10,BAP1,NT-v2-500M,13/129,0.704,31/76,0.734,102/386,0.727,"Recorded, not classified"
3–10,BAP1,"SpliceAI (±4,999 nt, Walker basis)",13/129,0.856,31/76,0.805,102/386,0.844,Classified (P/LP or B/LB)
3–10,BAP1,AlphaGenome Atlas AVI,13/129,0.834,31/76,0.795,102/386,0.875,Not in ClinVar
3–10,BAP1,AlphaGenome Atlas splice sites,13/129,0.831,31/76,0.815,102/386,0.837,Not in ClinVar
3–10,BAP1,AlphaGenome Atlas splice site usage,13/129,0.758,31/76,0.814,102/386,0.843,Not in ClinVar
3–10,BAP1,AlphaGenome Atlas splice junctions,13/129,0.826,31/76,0.788,102/386,0.832,Not in ClinVar
3–10,BARD1,SpliceAI (±50 nt),2/100,not evaluable,26/63,0.925,38/230,0.943,
3–10,BARD1,Pangolin,2/100,not evaluable,26/63,0.933,38/230,0.958,
3–10,BARD1,AlphaGenome,2/100,not evaluable,26/63,0.940,38/230,0.958,
3–10,BARD1,CADD,2/100,not evaluable,26/63,0.662,38/230,0.721,
3–10,BARD1,phyloP-100way,2/100,not evaluable,26/63,0.595,38/230,0.717,
3–10,BARD1,phastCons-100way,2/100,not evaluable,26/63,0.680,38/230,0.744,
3–10,BARD1,GPN-MSA,2/100,not evaluable,26/63,0.698,38/230,0.821,
3–10,BARD1,NT-v2-500M,2/100,not evaluable,26/63,0.700,38/230,0.726,
3–10,BARD1,"SpliceAI (±4,999 nt, Walker basis)",2/100,not evaluable,26/63,0.934,38/230,0.952,
3–10,BARD1,AlphaGenome Atlas AVI,2/100,not evaluable,26/63,0.943,38/230,0.983,
3–10,BARD1,AlphaGenome Atlas splice sites,2/100,not evaluable,26/63,0.940,38/230,0.964,
3–10,BARD1,AlphaGenome Atlas splice site usage,2/100,not evaluable,26/63,0.967,38/230,0.985,
3–10,BARD1,AlphaGenome Atlas splice junctions,2/100,not evaluable,26/63,0.919,38/230,0.955,
3–10,BRCA1,SpliceAI (±50 nt),41/102,0.966,63/284,0.941,0/0,not evaluable,
3–10,BRCA1,Pangolin,41/102,0.982,63/284,0.954,0/0,not evaluable,
3–10,BRCA1,AlphaGenome,41/102,0.980,63/284,0.958,0/0,not evaluable,
3–10,BRCA1,CADD,41/102,0.874,63/284,0.746,0/0,not evaluable,
3–10,BRCA1,phyloP-100way,41/102,0.873,63/284,0.751,0/0,not evaluable,
3–10,BRCA1,phastCons-100way,41/102,0.885,63/284,0.764,0/0,not evaluable,
3–10,BRCA1,GPN-MSA,41/102,0.923,63/284,0.799,0/0,not evaluable,
3–10,BRCA1,NT-v2-500M,41/102,0.661,63/284,0.619,0/0,not evaluable,
3–10,BRCA1,"SpliceAI (±4,999 nt, Walker basis)",41/102,0.973,63/284,0.939,0/0,not evaluable,
3–10,BRCA1,AlphaGenome Atlas AVI,41/102,0.995,63/284,0.942,0/0,not evaluable,
3–10,BRCA1,AlphaGenome Atlas splice sites,41/102,0.981,63/284,0.944,0/0,not evaluable,
3–10,BRCA1,AlphaGenome Atlas splice site usage,41/102,0.986,63/284,0.959,0/0,not evaluable,
3–10,BRCA1,AlphaGenome Atlas splice junctions,41/102,0.977,63/284,0.935,0/0,not evaluable,
3–10,BRCA2,SpliceAI (±50 nt),16/91,0.896,26/73,0.903,27/296,0.788,"Recorded, not classified"
3–10,BRCA2,Pangolin,16/91,0.907,26/73,0.926,27/296,0.788,"Recorded, not classified"
3–10,BRCA2,AlphaGenome,16/91,0.889,26/73,0.907,27/296,0.753,"Recorded, not classified"
3–10,BRCA2,CADD,16/91,0.935,26/73,0.826,27/296,0.738,Classified (P/LP or B/LB)
3–10,BRCA2,phyloP-100way,16/91,0.939,26/73,0.724,27/296,0.601,Classified (P/LP or B/LB)
