Gene,Label definition,"Stratum (intronic offset, bp)",Tool,Damaging,Normal,Evaluated,Same variable as the fitted column,Why not comparable,LR at published cut point (≥ 0.2),Tier at published cut point,Supporting: threshold (median of leave-one-gene-out fits),Supporting: LR in this gene,Supporting: tier reached,Moderate: threshold (median of leave-one-gene-out fits),Moderate: LR in this gene,Moderate: tier reached,Strong: threshold (median of leave-one-gene-out fits),Strong: LR in this gene,Strong: tier reached,Note
DDX3X,Control-anchored,3–10,Pangolin,37,731,Yes,Yes,,,,0.406857997,5.47,Moderate,0.5473,6.90,Moderate,0.7039,8.67,Moderate,
DDX3X,Control-anchored,3–10,CADD,37,731,Yes,Yes,,,,19.53,4.54,Moderate,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,Control-anchored,3–10,phyloP-100way,37,731,Yes,Yes,,,,4.58587,6.08,Moderate,5.34067,8.59,Moderate,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,Control-anchored,3–10,phastCons-100way,37,731,Yes,Yes,,,,1.000,2.53,Supporting,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,Control-anchored,3–10,GPN-MSA,37,731,Yes,Yes,,,,7.470,4.13,Supporting,9.130,6.29,Moderate,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,Control-anchored,3–10,"SpliceAI (±4,999 nt, Walker basis)",37,731,Yes,Yes,,2.87,Supporting,0.4259,6.16,Moderate,0.5537,7.15,Moderate,0.8948,17.1,Moderate,
DDX3X,Control-anchored,3–10,AlphaGenome Atlas AVI,37,731,Yes,Yes,,,,0.8440,6.59,Moderate,1.0689,8.62,Moderate,1.36798,15.3,Moderate,
DDX3X,Control-anchored,3–10,AlphaGenome Atlas splice sites,37,731,Yes,Yes,,,,0.3398,6.50,Moderate,0.4558,7.24,Moderate,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,Control-anchored,3–10,AlphaGenome Atlas splice site usage,37,731,Yes,Yes,,,,0.568359,8.71,Moderate,0.66699,9.15,Moderate,0.91949,12.3,Moderate,
DDX3X,Control-anchored,3–10,AlphaGenome Atlas splice junctions,37,731,Yes,Yes,,,,3.5097656,3.54,Supporting,5.375,5.84,Moderate,6.8398,8.04,Moderate,
DDX3X,Control-anchored,11–50,Pangolin,34,863,Yes,Yes,,,,0.1923,5.25,Moderate,0.3521,11.5,Moderate,,,not evaluable,Strong: tier unreachable in-sample; LOGO median not carried over
DDX3X,Control-anchored,11–50,CADD,34,863,Yes,Yes,,,,21.10,5.44,Moderate,,,not evaluable,,,not evaluable,Moderate: tier unreachable in-sample; LOGO median not carried over; Strong: tier unreachable in-sample; LOGO median not carried over
