"Stratum (intronic offset, bp)",Gene,ClinVar record status,Variants,Labelled,Damaging,Normal,Positive rate (damaging / labelled)
"±1,2 (out of scope)",BAP1,Classified (P/LP or B/LB),69,69,67,2,0.971
"±1,2 (out of scope)",BAP1,"Recorded: VUS, conflicting or other",8,8,6,2,0.750
"±1,2 (out of scope)",BAP1,Recorded: no clinical assertion,3,3,3,0,1.000
"±1,2 (out of scope)",BAP1,Not in ClinVar,112,112,101,11,0.902
"±1,2 (out of scope)",BARD1,Classified (P/LP or B/LB),57,57,57,0,1.000
"±1,2 (out of scope)",BARD1,"Recorded: VUS, conflicting or other",19,19,19,0,1.000
"±1,2 (out of scope)",BARD1,Not in ClinVar,43,43,43,0,1.000
"±1,2 (out of scope)",BRCA1,Classified (P/LP or B/LB),109,105,103,2,0.981
"±1,2 (out of scope)",BRCA1,"Recorded: VUS, conflicting or other",6,5,5,0,1.000
"±1,2 (out of scope)",BRCA1,Recorded: no clinical assertion,28,25,20,5,0.800
"±1,2 (out of scope)",BRCA2,Classified (P/LP or B/LB),111,108,102,6,0.944
"±1,2 (out of scope)",BRCA2,"Recorded: VUS, conflicting or other",1,1,0,1,0.000
"±1,2 (out of scope)",BRCA2,Not in ClinVar,26,25,19,6,0.760
"±1,2 (out of scope)",PALB2,Classified (P/LP or B/LB),77,76,75,1,0.987
"±1,2 (out of scope)",PALB2,"Recorded: VUS, conflicting or other",23,23,22,1,0.957
"±1,2 (out of scope)",PALB2,Not in ClinVar,44,42,42,0,1.000
"±1,2 (out of scope)",RAD51C,Classified (P/LP or B/LB),45,45,45,0,1.000
"±1,2 (out of scope)",RAD51C,"Recorded: VUS, conflicting or other",9,9,9,0,1.000
"±1,2 (out of scope)",RAD51C,Recorded: no clinical assertion,1,1,1,0,1.000
"±1,2 (out of scope)",RAD51C,Not in ClinVar,41,41,41,0,1.000
"±1,2 (out of scope)",VHL,Classified (P/LP or B/LB),20,20,20,0,1.000
"±1,2 (out of scope)",VHL,Recorded: no clinical assertion,1,1,1,0,1.000
"±1,2 (out of scope)",VHL,Not in ClinVar,3,3,3,0,1.000
"±1,2 (out of scope)",All genes,Classified (P/LP or B/LB),488,480,469,11,0.977
"±1,2 (out of scope)",All genes,"Recorded: VUS, conflicting or other",66,65,61,4,0.938
"±1,2 (out of scope)",All genes,Recorded: no clinical assertion,33,30,25,5,0.833
"±1,2 (out of scope)",All genes,Not in ClinVar,269,266,249,17,0.936
"±1,2 (out of scope)",All genes,All variants,856,841,804,37,0.956
3–10,BAP1,Classified (P/LP or B/LB),153,142,13,129,0.092
3–10,BAP1,"Recorded: VUS, conflicting or other",104,103,29,74,0.282
3–10,BAP1,Recorded: no clinical assertion,4,4,2,2,0.500
3–10,BAP1,Not in ClinVar,507,488,102,386,0.209
3–10,BARD1,Classified (P/LP or B/LB),103,102,2,100,0.020
3–10,BARD1,"Recorded: VUS, conflicting or other",91,88,26,62,0.295
3–10,BARD1,Recorded: no clinical assertion,1,1,0,1,0.000
3–10,BARD1,Not in ClinVar,278,268,38,230,0.142
3–10,BRCA1,Classified (P/LP or B/LB),147,143,41,102,0.287
3–10,BRCA1,"Recorded: VUS, conflicting or other",84,73,24,49,0.329
3–10,BRCA1,Recorded: no clinical assertion,299,274,39,235,0.142
3–10,BRCA2,Classified (P/LP or B/LB),112,107,16,91,0.150
3–10,BRCA2,"Recorded: VUS, conflicting or other",103,99,26,73,0.263
3–10,BRCA2,Not in ClinVar,336,323,27,296,0.084
3–10,PALB2,Classified (P/LP or B/LB),97,73,12,61,0.164
3–10,PALB2,"Recorded: VUS, conflicting or other",97,76,23,53,0.303
3–10,PALB2,Recorded: no clinical assertion,1,1,0,1,0.000
3–10,PALB2,Not in ClinVar,306,261,52,209,0.199
3–10,RAD51C,Classified (P/LP or B/LB),85,85,11,74,0.129
3–10,RAD51C,"Recorded: VUS, conflicting or other",65,62,27,35,0.435
3–10,RAD51C,Not in ClinVar,234,232,50,182,0.216
3–10,VHL,Classified (P/LP or B/LB),24,21,0,21,0.000
3–10,VHL,"Recorded: VUS, conflicting or other",21,16,5,11,0.313
3–10,VHL,Not in ClinVar,38,33,5,28,0.152
3–10,All genes,Classified (P/LP or B/LB),721,673,95,578,0.141
3–10,All genes,"Recorded: VUS, conflicting or other",565,517,160,357,0.309
3–10,All genes,Recorded: no clinical assertion,305,280,41,239,0.146
3–10,All genes,Not in ClinVar,1699,1605,274,1331,0.171
3–10,All genes,All variants,3290,3075,570,2505,0.185
11–50,BAP1,Classified (P/LP or B/LB),278,261,19,242,0.073
11–50,BAP1,"Recorded: VUS, conflicting or other",18,18,7,11,0.389
11–50,BAP1,Not in ClinVar,1204,1174,111,1063,0.095
11–50,BARD1,Classified (P/LP or B/LB),156,153,2,151,0.013
11–50,BARD1,"Recorded: VUS, conflicting or other",17,17,3,14,0.176
11–50,BARD1,Recorded: no clinical assertion,1,1,0,1,0.000
11–50,BARD1,Not in ClinVar,1284,1264,16,1248,0.013
11–50,BRCA1,Classified (P/LP or B/LB),98,96,0,96,0.000
11–50,BRCA1,"Recorded: VUS, conflicting or other",14,13,1,12,0.077
11–50,BRCA1,Recorded: no clinical assertion,249,236,2,234,0.008
11–50,PALB2,Classified (P/LP or B/LB),95,78,2,76,0.026
11–50,PALB2,"Recorded: VUS, conflicting or other",13,13,3,10,0.231
