Tool,"Stratum (intronic offset, bp)",Tier,Tier LR cut,Reached in-sample,In-sample threshold (gene-clustered bootstrap),In-sample threshold (variant-level bootstrap),Held-out genes,Folds with a fitted threshold,Folds with an evaluable held-out LR,Held-out genes clearing the cut,"Held-out LR, median","Held-out LR, minimum","Held-out LR, maximum",Held-out LR per fold
SpliceAI (±50 nt),3–10,Supporting,2.08,Yes,0.37547,0.37325859,7,7,7,7,9.87,7.61,32.3,BAP1=7.61; BARD1=9.87; BRCA1=32.3; BRCA2=17.9; PALB2=9.64; RAD51C=9.39; VHL=13.5
SpliceAI (±50 nt),3–10,Moderate,4.33,Yes,0.5556567,0.52077,7,7,6,6,13.5,7.84,39.8,BAP1=7.84; BARD1=11.1; BRCA1=39.8; BRCA2=28.1; PALB2=15.4; RAD51C=11.6; VHL=n.e.
SpliceAI (±50 nt),3–10,Strong,18.7,Yes,0.8605,0.85897,7,6,6,4,41.2,12.7,83.4,BAP1=13.2; BARD1=83.4; BRCA1=55.7; BRCA2=26.7; PALB2=12.7; RAD51C=66.1; VHL=no threshold
SpliceAI (±50 nt),11–50,Supporting,2.08,Yes,0.23516,0.23225677,6,6,4,4,23.1,5.37,44.0,BAP1=5.37; BARD1=44.0; BRCA1=n.e.; PALB2=19.2; RAD51C=27.0; VHL=n.e.
SpliceAI (±50 nt),11–50,Moderate,4.33,Yes,0.290056,0.3020,6,6,4,4,25.2,6.67,63.4,BAP1=6.67; BARD1=63.4; BRCA1=n.e.; PALB2=26.2; RAD51C=24.3; VHL=n.e.
SpliceAI (±50 nt),11–50,Strong,18.7,No,,,6,1,1,0,9.61,9.61,9.61,BAP1=9.61; BARD1=no threshold; BRCA1=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
SpliceAI (±50 nt),3–50,Supporting,2.08,Yes,0.330177,0.3158,7,7,7,7,15.9,7.88,35.5,BAP1=7.88; BARD1=27.3; BRCA1=35.5; BRCA2=13.3; PALB2=12.1; RAD51C=17.5; VHL=15.9
SpliceAI (±50 nt),3–50,Moderate,4.33,Yes,0.38189,0.38836,7,7,7,7,19.9,8.57,43.7,BAP1=8.57; BARD1=33.0; BRCA1=43.7; BRCA2=16.7; PALB2=15.7; RAD51C=22.4; VHL=19.9
SpliceAI (±50 nt),3–50,Strong,18.7,Yes,0.881479,0.83557,7,7,6,5,47.0,14.0,284,BAP1=14.0; BARD1=284; BRCA1=51.0; BRCA2=35.6; PALB2=42.9; RAD51C=214; VHL=n.e.
Pangolin,3–10,Supporting,2.08,Yes,0.3927895,0.3896,7,7,6,6,13.0,9.65,24.4,BAP1=9.65; BARD1=13.9; BRCA1=24.4; BRCA2=17.4; PALB2=12.1; RAD51C=9.92; VHL=n.e.
Pangolin,3–10,Moderate,4.33,Yes,0.5108555555,0.6248989,7,7,6,6,20.9,11.8,47.5,BAP1=16.2; BARD1=25.7; BRCA1=47.5; BRCA2=27.3; PALB2=12.9; RAD51C=11.8; VHL=n.e.
Pangolin,3–10,Strong,18.7,Yes,0.6972,0.701455,7,7,6,6,59.5,27.1,186,BAP1=32.4; BARD1=64.0; BRCA1=186; BRCA2=55.0; PALB2=78.2; RAD51C=27.1; VHL=n.e.
Pangolin,11–50,Supporting,2.08,Yes,0.2021,0.1885,6,6,4,4,9.67,5.87,35.9,BAP1=5.87; BARD1=35.9; BRCA1=n.e.; PALB2=8.16; RAD51C=11.2; VHL=n.e.
Pangolin,11–50,Moderate,4.33,Yes,0.4146675,0.3669,6,6,4,4,26.9,20.0,105,BAP1=20.0; BARD1=105; BRCA1=n.e.; PALB2=24.9; RAD51C=28.9; VHL=n.e.
Pangolin,11–50,Strong,18.7,No,,0.6368,6,0,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=no threshold
Pangolin,3–50,Supporting,2.08,Yes,0.3594,0.352165,7,7,7,7,19.7,14.2,40.4,BAP1=14.7; BARD1=40.4; BRCA1=27.5; BRCA2=14.2; PALB2=19.7; RAD51C=19.7; VHL=31.8
Pangolin,3–50,Moderate,4.33,Yes,0.4146675,0.4196,7,7,7,7,22.8,16.6,51.9,BAP1=16.6; BARD1=51.9; BRCA1=42.2; BRCA2=17.4; PALB2=22.0; RAD51C=22.8; VHL=29.2
Pangolin,3–50,Strong,18.7,Yes,0.6798,0.6798,7,7,6,6,123,41.1,227,BAP1=44.9; BARD1=190; BRCA1=180; BRCA2=41.1; PALB2=227; RAD51C=65.8; VHL=n.e.
AlphaGenome,3–10,Supporting,2.08,Yes,2.199,2.198988,7,7,7,7,13.8,10.7,27.0,BAP1=11.1; BARD1=11.7; BRCA1=21.8; BRCA2=21.4; PALB2=13.8; RAD51C=10.7; VHL=27.0
AlphaGenome,3–10,Moderate,4.33,Yes,2.199516,2.1994368,7,7,6,6,17.8,14.2,38.0,BAP1=14.2; BARD1=15.7; BRCA1=38.0; BRCA2=27.3; PALB2=19.9; RAD51C=15.2; VHL=n.e.
AlphaGenome,3–10,Strong,18.7,Yes,2.19988276958,2.19988276958,7,7,6,5,41.6,16.9,65.2,BAP1=16.9; BARD1=62.5; BRCA1=48.3; BRCA2=35.0; PALB2=65.2; RAD51C=28.4; VHL=n.e.
AlphaGenome,11–50,Supporting,2.08,Yes,2.1972,2.1972,6,6,3,3,27.0,8.43,27.9,BAP1=8.43; BARD1=27.9; BRCA1=n.e.; PALB2=n.e.; RAD51C=27.0; VHL=n.e.
AlphaGenome,11–50,Moderate,4.33,Yes,2.198968,2.198879,6,6,3,3,27.0,8.04,51.3,BAP1=8.04; BARD1=51.3; BRCA1=n.e.; PALB2=n.e.; RAD51C=27.0; VHL=n.e.
AlphaGenome,11–50,Strong,18.7,Yes,2.19960445,2.19951,6,1,0,0,,,,BAP1=no threshold; BARD1=no threshold; BRCA1=no threshold; PALB2=no threshold; RAD51C=no threshold; VHL=n.e.
AlphaGenome,3–50,Supporting,2.08,Yes,2.198835,2.198787,7,7,7,7,20.9,13.9,34.8,BAP1=13.9; BARD1=28.3; BRCA1=34.8; BRCA2=20.9; PALB2=24.4; RAD51C=20.7; VHL=14.9
AlphaGenome,3–50,Moderate,4.33,Yes,2.19935889,2.19918979,7,7,7,7,32.6,16.6,69.0,BAP1=16.6; BARD1=54.9; BRCA1=50.5; BRCA2=22.6; PALB2=32.6; RAD51C=27.8; VHL=69.0
AlphaGenome,3–50,Strong,18.7,Yes,2.1998709,2.19982656,7,7,6,6,70.3,19.3,241,BAP1=19.3; BARD1=241; BRCA1=83.0; BRCA2=38.3; PALB2=144; RAD51C=57.6; VHL=n.e.
CADD,3–10,Supporting,2.08,Yes,19.30,18.79,7,7,6,6,4.04,3.13,13.3,BAP1=4.90; BARD1=4.20; BRCA1=3.13; BRCA2=13.3; PALB2=3.87; RAD51C=3.61; VHL=n.e.
