Tool,"Stratum (intronic offset, bp)",Tier,Training genes,Subsets,Subsets reaching the tier,"Threshold, median","Threshold, interquartile range",Threshold on all genes in the stratum,Held-out pairs evaluable,Held-out pairs clearing the cut,"Held-out LR, median","Held-out LR, interquartile range"
Pangolin,3–10,Moderate,2,21,21 (100%),0.53177,0.4893896 to 0.5479,0.5108555555,90 of 105,90 (100%),15.9,12.4 to 23.9
Pangolin,3–10,Moderate,3,35,35 (100%),0.5411,0.47696587 to 0.55118,0.5108555555,120 of 140,120 (100%),15.1,12.9 to 23.5
Pangolin,3–10,Moderate,4,35,35 (100%),0.55118,0.5408 to 0.5595,0.5108555555,90 of 105,90 (100%),15.9,12.9 to 31.3
Pangolin,3–10,Moderate,5,21,21 (100%),0.5528,0.5473 to 0.5848,0.5108555555,36 of 42,36 (100%),18.1,12.9 to 32.2
Pangolin,3–10,Moderate,6,7,7 (100%),0.5473,0.5290 to 0.5823,0.5108555555,6 of 7,6 (100%),20.9,13.7 to 26.9
Pangolin,3–10,Strong,2,21,10 (48%),0.7544,0.6913 to 0.7621,0.6972,40 of 105,37 (92%),43.0,26.5 to 60.5
Pangolin,3–10,Strong,3,35,31 (89%),0.7307,0.7135 to 0.736766,0.6972,104 of 140,104 (100%),51.7,28.2 to 67.0
Pangolin,3–10,Strong,4,35,35 (100%),0.72288,0.7176 to 0.7277,0.6972,90 of 105,90 (100%),56.4,29.7 to 67.0
Pangolin,3–10,Strong,5,21,21 (100%),0.7118,0.7079978585 to 0.7170,0.6972,36 of 42,36 (100%),57.9,30.7 to 70.8
Pangolin,3–10,Strong,6,7,7 (100%),0.7039,0.7027 to 0.7054,0.6972,6 of 7,6 (100%),59.5,38.0 to 74.7
Pangolin,11–50,Moderate,2,15,13 (87%),0.3529879,0.32065 to 0.3954997,0.4146675,28 of 60,28 (100%),29.4,18.3 to 49.1
Pangolin,11–50,Moderate,3,20,20 (100%),0.3407,0.3256869 to 0.3803,0.4146675,37 of 60,37 (100%),24.0,15.8 to 36.5
Pangolin,11–50,Moderate,4,15,15 (100%),0.3415,0.3335 to 0.3890,0.4146675,20 of 30,20 (100%),24.9,21.0 to 37.0
Pangolin,11–50,Moderate,5,6,6 (100%),0.3521,0.3446 to 0.3900,0.4146675,4 of 6,4 (100%),26.9,23.7 to 47.9
Pangolin,11–50,Strong,2,15,0 (0%),,,,0 of 60,,,
Pangolin,11–50,Strong,3,20,0 (0%),,,,0 of 60,,,
Pangolin,11–50,Strong,4,15,0 (0%),,,,0 of 30,,,
Pangolin,11–50,Strong,5,6,0 (0%),,,,0 of 6,,,
Pangolin,3–50,Moderate,2,21,21 (100%),0.4281759,0.406857997 to 0.48127,0.4146675,105 of 105,105 (100%),23.2,19.2 to 32.7
Pangolin,3–50,Moderate,3,35,35 (100%),0.4434,0.4079 to 0.455256,0.4146675,140 of 140,140 (100%),23.6,18.0 to 37.2
Pangolin,3–50,Moderate,4,35,35 (100%),0.4434,0.4209 to 0.4675,0.4146675,105 of 105,105 (100%),24.3,20.4 to 44.5
Pangolin,3–50,Moderate,5,21,21 (100%),0.43376,0.4106 to 0.464989,0.4146675,42 of 42,42 (100%),24.5,17.4 to 39.1
Pangolin,3–50,Moderate,6,7,7 (100%),0.4281759,0.4156 to 0.43047,0.4146675,7 of 7,7 (100%),22.8,19.7 to 35.7
Pangolin,3–50,Strong,2,21,20 (95%),0.6551,0.62957 to 0.6724,0.6798,90 of 105,90 (100%),54.2,35.4 to 162
Pangolin,3–50,Strong,3,35,35 (100%),0.6670,0.654198 to 0.6828,0.6798,123 of 140,123 (100%),65.8,43.6 to 177
Pangolin,3–50,Strong,4,35,35 (100%),0.6745,0.6685 to 0.6766,0.6798,90 of 105,90 (100%),89.7,49.9 to 187
Pangolin,3–50,Strong,5,21,21 (100%),0.6745,0.6720 to 0.6768,0.6798,36 of 42,36 (100%),90.4,44.9 to 192
Pangolin,3–50,Strong,6,7,7 (100%),0.6740,0.6706 to 0.6833,0.6798,6 of 7,6 (100%),123,50.1 to 188
AlphaGenome,3–10,Moderate,2,21,21 (100%),2.199037,2.19885 to 2.1991865,2.199516,101 of 105,101 (100%),14.1,10.7 to 21.8
AlphaGenome,3–10,Moderate,3,35,35 (100%),2.199148,2.1990775 to 2.199487,2.199516,130 of 140,130 (100%),15.0,13.5 to 22.3
AlphaGenome,3–10,Moderate,4,35,35 (100%),2.1995366,2.19916 to 2.199564,2.199516,95 of 105,95 (100%),15.2,14.1 to 26.7
AlphaGenome,3–10,Moderate,5,21,21 (100%),2.19956,2.19929 to 2.1995659,2.199516,37 of 42,37 (100%),15.7,14.6 to 27.3
AlphaGenome,3–10,Moderate,6,7,7 (100%),2.1995366,2.199513 to 2.19956,2.199516,6 of 7,6 (100%),17.8,15.3 to 25.5
AlphaGenome,3–10,Strong,2,21,9 (43%),2.199795,2.199748 to 2.199842,2.19988276958,37 of 105,25 (68%),26.1,18.6 to 35.6
AlphaGenome,3–10,Strong,3,35,32 (91%),2.199865,2.199833 to 2.1998939,2.19988276958,108 of 140,86 (80%),36.2,20.6 to 57.2
AlphaGenome,3–10,Strong,4,35,34 (97%),2.199878,2.19986 to 2.1998919,2.19988276958,88 of 105,72 (82%),41.7,27.8 to 58.5
AlphaGenome,3–10,Strong,5,21,19 (90%),2.1998846,2.199864 to 2.199891,2.19988276958,33 of 42,27 (82%),41.7,28.4 to 59.5
AlphaGenome,3–10,Strong,6,7,7 (100%),2.19988276958,2.1998797 to 2.199887,2.19988276958,6 of 7,5 (83%),41.6,30.1 to 59.0
AlphaGenome,11–50,Moderate,2,15,11 (73%),2.197709,2.19591 to 2.19844,2.198968,32 of 60,27 (84%),8.28,5.56 to 24.3
