Block,Stratum,Comparison set,Single columns compared,"Fusion, in-sample tier","Best single column, in-sample tier",Single columns reaching that tier,Fusion against the best single column,Tier,Tier boundary (LR),Held-out gene,Training genes,Threshold from the training genes,Held-out LR,Held-out LR clears the boundary,Held-out variants,Held-out damaging,Held-out normal,Held-out variants above the threshold,Why no held-out LR,Leakage into the threshold,Term,Term kind,Folds,Mean coefficient,SD,Minimum,Maximum,Mean absolute coefficient,Rank by mean absolute value,Folds with a non-zero coefficient,Non-zero folds with the sign of the mean,Changes sign across folds,Best rank in a fold,Worst rank in a fold
a_insample_tier,s3_10,fusion inputs,7,moderate,strong,spliceai; pangolin,fusion lower,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_insample_tier,s3_10,all single columns in E3,13,moderate,strong,spliceai; pangolin; alphagenome; spliceai_walker; avi; avi_splice_site_usage; avi_splice_junctions,fusion lower,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_insample_tier,s11_50,fusion inputs,7,moderate,moderate,spliceai; pangolin,same tier,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_insample_tier,s11_50,all single columns in E3,13,moderate,strong,alphagenome; avi; avi_splice_site_usage,fusion lower,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_insample_tier,s3_50,fusion inputs,7,moderate,strong,spliceai; pangolin,fusion lower,,,,,,,,,,,,,,,,,,,,,,,,,,,
a_insample_tier,s3_50,all single columns in E3,13,moderate,strong,spliceai; pangolin; alphagenome; spliceai_walker; avi; avi_splice_sites; avi_splice_site_usage; avi_splice_junctions,fusion lower,,,,,,,,,,,,,,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,supporting,2.08,BRCA1,6,0.7132323626715183,37.21153846153846,Yes,490,104,386,10,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,supporting,2.08,BRCA2,6,0.7120850158070056,,,529,69,460,0,fewer than 10 held-out variants score at or above the threshold,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,supporting,2.08,BARD1,6,0.6524609533575039,3.69991173874669,Yes,459,66,393,167,,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
b_logo_fold,s3_10,,,,,,,supporting,2.08,PALB2,6,0.7131019663550243,,,411,87,324,9,fewer than 10 held-out variants score at or above the threshold,fusion out-of-fold scores in the training folds were produced by models trained on the held-out gene; held-out LR is optimistic,,,,,,,,,,,,,,
