stratum,tier,n_columns_reaching_in_sample,columns_reaching_in_sample,tool,n_folds,folds_evaluable,folds_clearing
s3_10,moderate,10.0,alphagenome; avi; avi_splice_junctions; avi_splice_site_usage; avi_splice_sites; gpn_msa; pangolin; phylop; spliceai; spliceai_walker,,,,
s3_10,moderate,,,alphagenome,7.0,6.0,6.0
s3_10,moderate,,,avi,7.0,6.0,6.0
s3_10,moderate,,,avi_splice_junctions,7.0,6.0,6.0
s3_10,moderate,,,avi_splice_site_usage,7.0,6.0,6.0
s3_10,moderate,,,avi_splice_sites,7.0,6.0,6.0
s3_10,moderate,,,cadd,7.0,0.0,0.0
s3_10,moderate,,,gpn_msa,7.0,5.0,5.0
s3_10,moderate,,,nt,7.0,0.0,0.0
s3_10,moderate,,,pangolin,7.0,6.0,6.0
s3_10,moderate,,,phastcons,7.0,0.0,0.0
s3_10,moderate,,,phylop,7.0,2.0,2.0
s3_10,moderate,,,spliceai,7.0,6.0,6.0
s3_10,moderate,,,spliceai_walker,7.0,6.0,6.0
s3_10,strong,7.0,alphagenome; avi; avi_splice_junctions; avi_splice_site_usage; pangolin; spliceai; spliceai_walker,,,,
s3_10,strong,,,alphagenome,7.0,6.0,5.0
s3_10,strong,,,avi,7.0,5.0,5.0
s3_10,strong,,,avi_splice_junctions,7.0,5.0,5.0
s3_10,strong,,,avi_splice_site_usage,7.0,5.0,5.0
s3_10,strong,,,avi_splice_sites,7.0,1.0,0.0
s3_10,strong,,,cadd,7.0,0.0,0.0
s3_10,strong,,,gpn_msa,7.0,0.0,0.0
s3_10,strong,,,nt,7.0,0.0,0.0
s3_10,strong,,,pangolin,7.0,6.0,6.0
s3_10,strong,,,phastcons,7.0,0.0,0.0
s3_10,strong,,,phylop,7.0,0.0,0.0
s3_10,strong,,,spliceai,7.0,6.0,4.0
s3_10,strong,,,spliceai_walker,7.0,6.0,4.0
s11_50,moderate,8.0,alphagenome; avi; avi_splice_junctions; avi_splice_site_usage; avi_splice_sites; pangolin; spliceai; spliceai_walker,,,,
s11_50,moderate,,,alphagenome,6.0,3.0,3.0
s11_50,moderate,,,avi,6.0,4.0,4.0
s11_50,moderate,,,avi_splice_junctions,6.0,2.0,2.0
s11_50,moderate,,,avi_splice_site_usage,6.0,4.0,4.0
s11_50,moderate,,,avi_splice_sites,6.0,3.0,3.0
s11_50,moderate,,,cadd,6.0,0.0,0.0
s11_50,moderate,,,gpn_msa,6.0,1.0,0.0
s11_50,moderate,,,nt,6.0,0.0,0.0
s11_50,moderate,,,pangolin,6.0,4.0,4.0
s11_50,moderate,,,phastcons,6.0,0.0,0.0
s11_50,moderate,,,phylop,6.0,0.0,0.0
s11_50,moderate,,,spliceai,6.0,4.0,4.0
s11_50,moderate,,,spliceai_walker,6.0,4.0,4.0
s11_50,strong,3.0,alphagenome; avi; avi_splice_site_usage,,,,
s11_50,strong,,,alphagenome,6.0,0.0,0.0
s11_50,strong,,,avi,6.0,0.0,0.0
s11_50,strong,,,avi_splice_junctions,6.0,0.0,0.0
s11_50,strong,,,avi_splice_site_usage,6.0,0.0,0.0
s11_50,strong,,,avi_splice_sites,6.0,0.0,0.0
s11_50,strong,,,cadd,6.0,0.0,0.0
s11_50,strong,,,gpn_msa,6.0,0.0,0.0
s11_50,strong,,,nt,6.0,0.0,0.0
s11_50,strong,,,pangolin,6.0,0.0,0.0
s11_50,strong,,,phastcons,6.0,0.0,0.0
s11_50,strong,,,phylop,6.0,0.0,0.0
s11_50,strong,,,spliceai,6.0,1.0,0.0
s11_50,strong,,,spliceai_walker,6.0,1.0,0.0
s3_50,moderate,11.0,alphagenome; avi; avi_splice_junctions; avi_splice_site_usage; avi_splice_sites; cadd; gpn_msa; pangolin; phylop; spliceai; spliceai_walker,,,,
s3_50,moderate,,,alphagenome,7.0,7.0,7.0
s3_50,moderate,,,avi,7.0,7.0,7.0
s3_50,moderate,,,avi_splice_junctions,7.0,7.0,7.0
s3_50,moderate,,,avi_splice_site_usage,7.0,7.0,7.0
s3_50,moderate,,,avi_splice_sites,7.0,7.0,7.0
s3_50,moderate,,,cadd,7.0,6.0,5.0
s3_50,moderate,,,gpn_msa,7.0,6.0,6.0
s3_50,moderate,,,nt,7.0,0.0,0.0
s3_50,moderate,,,pangolin,7.0,7.0,7.0
s3_50,moderate,,,phastcons,7.0,2.0,2.0
s3_50,moderate,,,phylop,7.0,3.0,3.0
s3_50,moderate,,,spliceai,7.0,7.0,7.0
s3_50,moderate,,,spliceai_walker,7.0,7.0,7.0
s3_50,strong,8.0,alphagenome; avi; avi_splice_junctions; avi_splice_site_usage; avi_splice_sites; pangolin; spliceai; spliceai_walker,,,,
s3_50,strong,,,alphagenome,7.0,6.0,6.0
s3_50,strong,,,avi,7.0,7.0,7.0
s3_50,strong,,,avi_splice_junctions,7.0,5.0,5.0
s3_50,strong,,,avi_splice_site_usage,7.0,5.0,5.0
s3_50,strong,,,avi_splice_sites,7.0,6.0,5.0
s3_50,strong,,,cadd,7.0,0.0,0.0
s3_50,strong,,,gpn_msa,7.0,0.0,0.0
s3_50,strong,,,nt,7.0,0.0,0.0
s3_50,strong,,,pangolin,7.0,6.0,6.0
s3_50,strong,,,phastcons,7.0,0.0,0.0
s3_50,strong,,,phylop,7.0,0.0,0.0
s3_50,strong,,,spliceai,7.0,6.0,5.0
s3_50,strong,,,spliceai_walker,7.0,6.0,5.0
