tool,stratum,clinvar_arm,n,positive_rate,k_genes,n_pos,n_neg,auroc,auroc_lo,auroc_hi,auroc_i2_pct,auprc_median,rho_median,status,reason,e3_best_tier_pp3,e3_threshold_at_best_tier,e3_logo_heldout_lr_median
spliceai,pm12,all,841,0.9560047562425684,2,298.0,28.0,0.5974833470714186,0.22838032947416975,0.8815780355809203,92.03952911673312,0.9331133300399898,0.08971787387070246,ok,,,,
spliceai,pm12,classified,480,0.9770833333333333,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
spliceai,pm12,recorded_unclassified,95,0.9052631578947369,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
spliceai,pm12,unrecorded,266,0.9360902255639098,1,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
spliceai,s3_10,all,3075,0.18536585365853658,7,570.0,2505.0,0.9010310280321182,0.8521643360732243,0.9349774636225001,78.95589593912604,0.8040268615851413,0.5375883684832575,ok,,strong,0.9578563570976256,26.666666666666668
spliceai,s3_10,classified,673,0.1411589895988113,5,93.0,457.0,0.8864666351050663,0.7881335369309361,0.9424908479474173,54.264519332833835,0.8133234519104084,0.46427244954807784,ok,,strong,0.9578563570976256,26.666666666666668
spliceai,s3_10,recorded_unclassified,797,0.2521957340025094,6,196.0,585.0,0.8921325041515921,0.8188184319758782,0.9380258109349662,67.41746248049957,0.8038381877042362,0.6015824092458488,ok,,strong,0.9578563570976256,26.666666666666668
spliceai,s3_10,unrecorded,1605,0.1707165109034268,5,269.0,1303.0,0.8691144010928052,0.8073159096631176,0.91322305475434,65.75411139092542,0.6879131498069061,0.5349360490423002,ok,,strong,0.9578563570976256,26.666666666666668
spliceai,s11_50,all,4537,0.049592241569318934,5,222.0,3970.0,0.8472956949472755,0.7437854026635434,0.9138325996509689,74.44120921980746,0.5254423450519284,0.22529065795057202,ok,,moderate,0.2982005774974823,24.3
spliceai,s11_50,classified,736,0.043478260869565216,1,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,moderate,0.2982005774974823,24.3
spliceai,s11_50,recorded_unclassified,311,0.06109324758842444,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,moderate,0.2982005774974823,24.3
spliceai,s11_50,unrecorded,3490,0.0498567335243553,4,165.0,3267.0,0.8655242771254578,0.7175476573632199,0.9422187943118083,77.75894058920501,0.5466347781440464,0.23958649766676957,ok,,moderate,0.2982005774974823,24.3
spliceai,all_1_50,all,8453,0.18916361055246658,7,1599.0,6854.0,0.951797143556755,0.9120108967355677,0.9741039691379484,93.59695703258693,0.9034839211050039,0.6597771253943494,ok,,strong,0.9970125555992126,46.796521739130434
spliceai,all_1_50,classified,1889,0.31551085230280573,7,596.0,1293.0,0.9642935692119401,0.9325527947170319,0.981395085131028,72.51752969102915,0.9770813469580297,0.7496396512645391,ok,,strong,0.9970125555992126,46.796521739130434
spliceai,all_1_50,recorded_unclassified,1203,0.2543640897755611,6,300.0,886.0,0.913429781105047,0.848912942534551,0.9519559677580635,76.14514738995004,0.8456719221492277,0.6519368911681641,ok,,strong,0.9970125555992126,46.796521739130434
spliceai,all_1_50,unrecorded,5361,0.13001305726543555,6,697.0,4664.0,0.92789068144575,0.8678317305101789,0.9618575795236939,87.96253069576242,0.8378204649904566,0.4921356107812527,ok,,strong,0.9970125555992126,46.796521739130434
pangolin,pm12,all,841,0.9560047562425684,2,298.0,28.0,0.6233645546914581,0.39990796091855346,0.80432623950504,77.0697202841718,0.9435542432192201,0.12052639760318458,ok,,,,
pangolin,pm12,classified,480,0.9770833333333333,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
pangolin,pm12,recorded_unclassified,95,0.9052631578947369,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
pangolin,pm12,unrecorded,266,0.9360902255639098,1,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
pangolin,s3_10,all,3075,0.18536585365853658,7,570.0,2505.0,0.9169541643799398,0.8795105155231879,0.9435091056715955,68.80476277524032,0.7976783605837972,0.5563327327957838,ok,,,,
pangolin,s3_10,classified,673,0.1411589895988113,5,93.0,457.0,0.9029002613582799,0.8157234245153211,0.9512980903967283,44.009662222133464,0.8173701298701299,0.44141595972417247,ok,,,,
pangolin,s3_10,recorded_unclassified,797,0.2521957340025094,6,196.0,585.0,0.9096256792080878,0.856019380612169,0.944565961463163,49.55786585953004,0.8150559775778606,0.6276208692858073,ok,,,,
pangolin,s3_10,unrecorded,1605,0.1707165109034268,5,269.0,1303.0,0.8894709650514825,0.8345207603640294,0.9277537127279843,61.114095971305375,0.7207672465674351,0.5529101215094748,ok,,,,
pangolin,s11_50,all,4537,0.049592241569318934,5,222.0,3970.0,0.8475217103678917,0.7736860443034427,0.9003702741467754,53.55194497038504,0.4436190129379253,0.2599266395612195,ok,,,,
pangolin,s11_50,classified,736,0.043478260869565216,1,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
pangolin,s11_50,recorded_unclassified,311,0.06109324758842444,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
pangolin,s11_50,unrecorded,3490,0.0498567335243553,4,165.0,3267.0,0.8453742926201393,0.7703824880534867,0.8990825456885662,37.84982627721963,0.44848042597672505,0.25326114446531195,ok,,,,
pangolin,all_1_50,all,8453,0.18916361055246658,7,1599.0,6854.0,0.9574330291539539,0.9279736344272937,0.9751657384062585,90.11996980389848,0.917822099851097,0.6703961037501651,ok,,,,
pangolin,all_1_50,classified,1889,0.31551085230280573,7,596.0,1293.0,0.9635962370331762,0.9327946246169854,0.9805748167678117,67.94379973687022,0.9653242994809689,0.7724978772215402,ok,,,,
pangolin,all_1_50,recorded_unclassified,1203,0.2543640897755611,6,300.0,886.0,0.9279072260478756,0.8831087367592373,0.9563846765380696,60.4449219372913,0.8430962047769135,0.6793119271134179,ok,,,,
pangolin,all_1_50,unrecorded,5361,0.13001305726543555,6,697.0,4664.0,0.9335087894962176,0.8903052561738192,0.9604523572666922,80.00782528548261,0.8285402699218916,0.5172648379024911,ok,,,,
alphagenome,pm12,all,841,0.9560047562425684,2,298.0,28.0,0.7164736307810016,0.6237719030210563,0.7938815822772984,0.0,0.9592879592852973,0.209653061478016,ok,,,,
alphagenome,pm12,classified,480,0.9770833333333333,0,,,,,,,,,not evaluable,fewer than two genes clear the minimum count,,,
