gene_set,stratum,clinvar_arm,tool,n,k_genes,n_pos,n_neg,auroc,auroc_lo,auroc_hi,auprc_median,status,walker_sens_pp3,walker_spec_pp3,walker_lr_pp3,walker_lr_bp4,walker_lr_bp4_for_tier,walker_tier_pp3
all_genes,s3_10,classified,spliceai,673,5,93.0,457.0,0.8864666351050663,0.7881335369309361,0.9424908479474173,0.8133234519104084,ok,0.7052631578947368,0.9584775086505191,16.985087719298246,0.2194705199873431,0.2194705199873431,Moderate
all_genes,s3_10,classified,pangolin,673,5,93.0,457.0,0.9029002613582799,0.8157234245153211,0.9512980903967283,0.8173701298701299,ok,0.7578947368421053,0.9567474048442907,17.522526315789477,0.19050365640127717,0.19050365640127717,Moderate
all_genes,s3_10,classified,alphagenome,673,5,93.0,457.0,0.8710415945205869,0.7431370486066979,0.9403670403278999,0.7908961012451521,ok,1.0,0.0,1.0,,,below supporting
all_genes,s3_10,classified,cadd,673,5,93.0,457.0,0.8064889545496123,0.6940101849845963,0.8845024941715165,0.5547847274590595,ok,1.0,0.03633217993079585,1.03770197486535,,,below supporting
all_genes,s3_10,classified,phylop,673,5,93.0,457.0,0.8404375427637735,0.7471430664024613,0.9037445882502623,0.7448667325434124,ok,0.9052631578947369,0.49653979238754326,1.798082835955869,0.19087719298245615,0.19087719298245615,below supporting
all_genes,s3_10,classified,phastcons,673,5,93.0,457.0,0.8430374131035596,0.739015227398012,0.9106136933026819,0.5066558441558441,ok,0.8947368421052632,0.6747404844290658,2.7508398656215007,0.16995001470155835,0.16995001470155835,Supporting
all_genes,s3_10,classified,gpn_msa,673,5,93.0,457.0,0.8719237911253637,0.7983671608765627,0.9212920510379368,0.7060351668590774,ok,1.0,0.07785467128027682,1.0844277673545966,0.0,0.4148325358851675,below supporting
all_genes,s3_10,classified,nt,673,5,93.0,457.0,0.6526303614630771,0.5478183151710408,0.7444796136656949,0.3873631044093505,ok,0.7578947368421053,0.4117647058823529,1.288421052631579,0.625479586817511,0.625479586817511,below supporting
all_genes,s3_10,classified,spliceai_walker,673,5,93.0,457.0,0.8882500657120889,0.7984526563901471,0.9409956841160937,0.8081245895487381,ok,0.7578947368421053,0.9480968858131488,14.602105263157895,0.21593231513020547,0.21593231513020547,Moderate
all_genes,s3_10,classified,avi,673,5,93.0,457.0,0.8960017855249857,0.7784454784166139,0.9548044145152064,0.8393193013882669,ok,0.9052631578947369,0.6626297577854672,2.683292847503374,0.10711638250555967,0.10711638250555967,Supporting
all_genes,s3_10,classified,avi_splice_sites,673,5,93.0,457.0,0.8791256726957573,0.7389197825357126,0.9492129266751659,0.7424242424242424,ok,0.7473684210526316,0.9688581314878892,23.998830409356724,0.20741626794258375,0.20741626794258375,Strong
all_genes,s3_10,classified,avi_splice_site_usage,673,5,93.0,457.0,0.8760933828583649,0.7450469770475211,0.9447744762511775,0.8455028026281599,ok,0.7684210526315789,0.9792387543252595,37.012280701754385,0.22744712247909493,0.22744712247909493,Strong
all_genes,s3_10,classified,avi_splice_junctions,673,5,93.0,457.0,0.8886221202552371,0.7835841226427968,0.9461811454616438,0.8278055278055279,ok,0.968421052631579,0.3391003460207612,1.4653072471755304,0.0,0.21473684210526317,below supporting
all_genes,s3_10,recorded_unclassified,spliceai,797,6,196.0,585.0,0.8921325041515921,0.8188184319758782,0.9380258109349662,0.8038381877042362,ok,0.8308457711442786,0.8137583892617449,4.461117834252162,0.16633903652469362,0.16633903652469362,Moderate
all_genes,s3_10,recorded_unclassified,pangolin,797,6,196.0,585.0,0.9096256792080878,0.856019380612169,0.944565961463163,0.8150559775778606,ok,0.8656716417910447,0.8187919463087249,4.77722498618021,0.11377166923177875,0.11377166923177875,Moderate
all_genes,s3_10,recorded_unclassified,alphagenome,797,6,196.0,585.0,0.9124125519483359,0.8534209514011882,0.9490792130254289,0.8593703314150394,ok,1.0,0.0,1.0,,,below supporting
all_genes,s3_10,recorded_unclassified,cadd,797,6,196.0,585.0,0.7451336582327616,0.6988199697106591,0.7865013183864157,0.5320993878790441,ok,1.0,0.02181208053691275,1.0222984562607205,,,below supporting
all_genes,s3_10,recorded_unclassified,phylop,797,6,196.0,585.0,0.6966799603469647,0.637184685147945,0.7502431845716908,0.4298789070801953,ok,0.8905472636815921,0.35906040268456374,1.3894402333880338,0.29817393479529725,0.29817393479529725,below supporting
all_genes,s3_10,recorded_unclassified,phastcons,797,6,196.0,585.0,0.704704726366904,0.6569525543196967,0.7483559549007783,0.427296322016663,ok,0.8059701492537313,0.4748322147651007,1.5346907634352198,0.3502174168527441,0.3502174168527441,below supporting
all_genes,s3_10,recorded_unclassified,gpn_msa,797,6,196.0,585.0,0.7708125926747006,0.7210750149422954,0.8139691830778583,0.5481754401537097,ok,0.9900497512437811,0.040268456375838924,1.0315903002470168,0.2695612844866576,0.2695612844866576,below supporting
all_genes,s3_10,recorded_unclassified,nt,797,6,196.0,585.0,0.6945056868814026,0.6063484601269793,0.7703961867496887,0.4811513487841349,ok,0.8507462686567164,0.3238255033557047,1.2581756231250694,0.49715494384365594,0.49715494384365594,below supporting
all_genes,s3_10,recorded_unclassified,spliceai_walker,797,6,196.0,585.0,0.8972395100037048,0.8438310111090375,0.9338153543789046,0.8203573992901838,ok,0.8706467661691543,0.7885906040268457,4.118297401879492,0.1381040005452191,0.1381040005452191,Supporting
all_genes,s3_10,recorded_unclassified,avi,797,6,196.0,585.0,0.9047899505373398,0.84522854346262,0.9429764591521513,0.8655179208634604,ok,0.9502487562189055,0.43288590604026844,1.6755865642203185,0.0727650093092818,0.0727650093092818,below supporting
all_genes,s3_10,recorded_unclassified,avi_splice_sites,797,6,196.0,585.0,0.8957427947442677,0.8402304629899379,0.9334939056115426,0.8388904386341659,ok,0.8009950248756219,0.8926174496644296,7.459266169154229,0.17702532115541694,0.17702532115541694,Moderate
all_genes,s3_10,recorded_unclassified,avi_splice_site_usage,797,6,196.0,585.0,0.915661771582059,0.8530138667394941,0.9530769251690596,0.8697843753236705,ok,0.8258706467661692,0.8691275167785235,6.310498788110729,0.1515533443891653,0.1515533443891653,Moderate
all_genes,s3_10,recorded_unclassified,avi_splice_junctions,797,6,196.0,585.0,0.9017841718544171,0.8420992064103866,0.9405027665505756,0.8421032183090548,ok,0.9751243781094527,0.2332214765100671,1.2717158191536846,0.0,0.1347806422433288,below supporting
all_genes,s3_10,unrecorded,spliceai,1605,5,269.0,1303.0,0.8691144010928052,0.8073159096631176,0.91322305475434,0.6879131498069061,ok,0.6897810218978102,0.8519909842223892,4.660398680944088,0.2730639657927698,0.2730639657927698,Moderate
all_genes,s3_10,unrecorded,pangolin,1605,5,269.0,1303.0,0.8894709650514825,0.8345207603640294,0.9277537127279843,0.7207672465674351,ok,0.7481751824817519,0.8384673178061608,4.6317263622474965,0.21721262833066288,0.21721262833066288,Moderate
all_genes,s3_10,unrecorded,alphagenome,1605,5,269.0,1303.0,0.8908521488551366,0.8146496840085513,0.9381059944195753,0.756684345078323,ok,1.0,0.0,1.0,,,below supporting
all_genes,s3_10,unrecorded,cadd,1605,5,269.0,1303.0,0.754671743755281,0.6810036914488606,0.8159256209437982,0.32293497507552915,ok,1.0,0.014274981217129978,1.014481707317073,0.0,1.3248175182481752,below supporting
all_genes,s3_10,unrecorded,phylop,1605,5,269.0,1303.0,0.7248950480116119,0.6680419494477221,0.7752864451543577,0.4840380630711709,ok,0.8540145985401459,0.40796393688955673,1.442504353625551,0.2687218512191334,0.2687218512191334,below supporting
all_genes,s3_10,unrecorded,phastcons,1605,5,269.0,1303.0,0.7042766431232492,0.6425123449579488,0.7593663076377665,0.3071664659125752,ok,0.7700729927007299,0.5371900826446281,1.66390771637122,0.3805543408792761,0.3805543408792761,below supporting
all_genes,s3_10,unrecorded,gpn_msa,1605,5,269.0,1303.0,0.7662901406092167,0.728819176068531,0.8000042739399158,0.5233185753061036,ok,0.9927007299270073,0.042073628850488355,1.036301703163017,0.17664233576642335,0.17664233576642335,below supporting
all_genes,s3_10,unrecorded,nt,1605,5,269.0,1303.0,0.694163055981064,0.6468453973650405,0.7377115784593937,0.3441985133445886,ok,0.8394160583941606,0.3065364387678437,1.2104688772726195,0.502049096766301,0.502049096766301,below supporting
all_genes,s3_10,unrecorded,spliceai_walker,1605,5,269.0,1303.0,0.8857993406564453,0.8202426756402729,0.9295026313822928,0.72940937160389,ok,0.7518248175182481,0.8264462809917356,4.331942996176573,0.18446826203455605,0.18446826203455605,Moderate
all_genes,s3_10,unrecorded,avi,1605,5,269.0,1303.0,0.8867876544041425,0.8089230235747894,0.9354539667834415,0.7829726999723086,ok,0.9452554744525548,0.48910593538692715,1.8501985830828682,0.09913600476687026,0.09913600476687026,below supporting
all_genes,s3_10,unrecorded,avi_splice_sites,1605,5,269.0,1303.0,0.8781380009571611,0.798834538626577,0.9289587036669413,0.66643881669574,ok,0.6532846715328468,0.8955672426746807,6.2555532216562515,0.22647530679853042,0.22647530679853042,Moderate
