tool,stratum,tier,path_cut_lr,n_genes,k,training_genes,training_n_damaging,training_n_normal,seed_key,fit_status,threshold,tier_reached,heldout_gene,heldout_n_damaging,heldout_n_normal,heldout_n_in_band,heldout_n_damaging_in_band,heldout_n_normal_in_band,heldout_lr,evaluable,cleared_cut,not_evaluable_reason
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;BARD1,212,984,subset,fitted,0.642799973487854,True,BRCA1,104,386,74,69,5,51.21923076923077,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;BARD1,212,984,subset,fitted,0.642799973487854,True,BRCA2,69,460,43,34,9,25.185185185185183,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;BARD1,212,984,subset,fitted,0.642799973487854,True,PALB2,87,324,38,31,7,16.492610837438423,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;BARD1,212,984,subset,fitted,0.642799973487854,True,RAD51C,88,291,63,49,14,11.573863636363635,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;BARD1,212,984,subset,fitted,0.642799973487854,True,VHL,10,60,6,6,0,,False,,fewer than 10 variants in the band
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;BARD1,212,984,subset,fitted,,False,BRCA1,104,386,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;BARD1,212,984,subset,fitted,,False,BRCA2,69,460,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;BARD1,212,984,subset,fitted,,False,PALB2,87,324,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;BARD1,212,984,subset,fitted,,False,RAD51C,88,291,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;BARD1,212,984,subset,fitted,,False,VHL,10,60,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;BRCA1,250,977,subset,fitted,0.4524522125720978,True,BARD1,66,393,85,57,28,12.121753246753247,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;BRCA1,250,977,subset,fitted,0.4524522125720978,True,BRCA2,69,460,57,43,14,20.476190476190474,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;BRCA1,250,977,subset,fitted,0.4524522125720978,True,PALB2,87,324,51,40,11,13.542319749216302,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;BRCA1,250,977,subset,fitted,0.4524522125720978,True,RAD51C,88,291,85,66,19,11.486842105263158,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;BRCA1,250,977,subset,fitted,0.4524522125720978,True,VHL,10,60,9,8,1,,False,,fewer than 10 variants in the band
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;BRCA1,250,977,subset,fitted,,False,BARD1,66,393,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;BRCA1,250,977,subset,fitted,,False,BRCA2,69,460,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;BRCA1,250,977,subset,fitted,,False,PALB2,87,324,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;BRCA1,250,977,subset,fitted,,False,RAD51C,88,291,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;BRCA1,250,977,subset,fitted,,False,VHL,10,60,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;BRCA2,215,1051,subset,fitted,0.47021546959877014,True,BARD1,66,393,80,57,23,14.75691699604743,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;BRCA2,215,1051,subset,fitted,0.47021546959877014,True,BRCA1,104,386,98,87,11,29.354895104895107,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;BRCA2,215,1051,subset,fitted,0.47021546959877014,True,PALB2,87,324,49,39,10,14.524137931034485,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;BRCA2,215,1051,subset,fitted,0.47021546959877014,True,RAD51C,88,291,81,62,19,10.79066985645933,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;BRCA2,215,1051,subset,fitted,0.47021546959877014,True,VHL,10,60,9,8,1,,False,,fewer than 10 variants in the band
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;BRCA2,215,1051,subset,fitted,,False,BARD1,66,393,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;BRCA2,215,1051,subset,fitted,,False,BRCA1,104,386,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;BRCA2,215,1051,subset,fitted,,False,PALB2,87,324,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;BRCA2,215,1051,subset,fitted,,False,RAD51C,88,291,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;BRCA2,215,1051,subset,fitted,,False,VHL,10,60,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;PALB2,233,915,subset,fitted,0.3799819350242615,True,BARD1,66,393,98,59,39,9.008158508158509,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;PALB2,233,915,subset,fitted,0.3799819350242615,True,BRCA1,104,386,106,92,14,24.39010989010989,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;PALB2,233,915,subset,fitted,0.3799819350242615,True,BRCA2,69,460,63,45,18,16.666666666666664,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;PALB2,233,915,subset,fitted,0.3799819350242615,True,RAD51C,88,291,95,71,24,9.782670454545453,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;PALB2,233,915,subset,fitted,0.3799819350242615,True,VHL,10,60,13,9,4,13.5,True,True,
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;PALB2,233,915,subset,fitted,,False,BARD1,66,393,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;PALB2,233,915,subset,fitted,,False,BRCA1,104,386,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;PALB2,233,915,subset,fitted,,False,BRCA2,69,460,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;PALB2,233,915,subset,fitted,,False,RAD51C,88,291,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,strong,18.7,7,2,BAP1;PALB2,233,915,subset,fitted,,False,VHL,10,60,,,,,False,,tier not reached on the training genes
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;RAD51C,234,882,subset,fitted,0.5112254619598389,True,BARD1,66,393,71,55,16,20.46875,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;RAD51C,234,882,subset,fitted,0.5112254619598389,True,BRCA1,104,386,94,85,9,35.0534188034188,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;RAD51C,234,882,subset,fitted,0.5112254619598389,True,BRCA2,69,460,54,41,13,21.025641025641026,True,True,
spliceai_walker,s3_10,moderate,4.33,7,2,BAP1;RAD51C,234,882,subset,fitted,0.5112254619598389,True,PALB2,87,324,47,37,10,13.779310344827586,True,True,
