tool,stratum,tier,status,in_sample_tier_reached,in_sample_threshold,tier_lr_cut,n_folds,folds_reached,folds_with_heldout_lr,heldout_lr_median,heldout_lr_min,heldout_lr_max,folds_heldout_lr_above_cut,threshold_from_6_genes_per_fold,heldout_lr_per_fold
alphagenome,s3_10,supporting,ok,True,2.199000597000122,2.08,7,7,7,13.832512315270938,10.74715909090909,27.0,7,BAP1=2.199; BARD1=2.199; BRCA1=2.199; BRCA2=2.199; PALB2=2.199; RAD51C=2.199; VHL=2.199,BAP1=11.09; BARD1=11.71; BRCA1=21.77; BRCA2=21.43; PALB2=13.83; RAD51C=10.75; VHL=27
alphagenome,s3_10,moderate,ok,True,2.1995164155960083,4.33,7,7,6,17.780208036477628,14.167808219178085,38.043269230769226,6,BAP1=2.2; BARD1=2.199; BRCA1=2.2; BRCA2=2.2; PALB2=2.2; RAD51C=2.2; VHL=2.2,BAP1=14.17; BARD1=15.7; BRCA1=38.04; BRCA2=27.33; PALB2=19.86; RAD51C=15.16; VHL=na
alphagenome,s3_10,strong,ok,True,2.1998827695846557,18.7,7,7,6,41.625,16.866438356164384,65.17241379310346,5,BAP1=2.2; BARD1=2.2; BRCA1=2.2; BRCA2=2.2; PALB2=2.2; RAD51C=2.2; VHL=2.2,BAP1=16.87; BARD1=62.52; BRCA1=48.25; BRCA2=35; PALB2=65.17; RAD51C=28.44; VHL=na
alphagenome,s11_50,supporting,ok,True,2.1972027897834776,2.08,6,6,3,27.0,8.429614181439,27.918699186991873,3,BAP1=2.198; BARD1=2.197; BRCA1=2.197; PALB2=2.198; RAD51C=2.199; VHL=2.199,BAP1=8.43; BARD1=27.92; BRCA1=na; PALB2=na; RAD51C=27; VHL=na
alphagenome,s11_50,moderate,ok,True,2.1989681839942934,4.33,6,6,3,27.0,8.037539103232534,51.301587301587304,3,BAP1=2.198; BARD1=2.198; BRCA1=2.199; PALB2=2.199; RAD51C=2.199; VHL=2.199,BAP1=8.038; BARD1=51.3; BRCA1=na; PALB2=na; RAD51C=27; VHL=na
alphagenome,s11_50,strong,ok,True,2.1996044516563416,18.7,6,1,0,,,,0,BAP1=none; BARD1=none; BRCA1=none; PALB2=none; RAD51C=none; VHL=2.2,BAP1=na; BARD1=na; BRCA1=na; PALB2=na; RAD51C=na; VHL=na
alphagenome,s3_50,supporting,ok,True,2.1988352060317995,2.08,7,7,7,20.88888888888889,13.889594000144228,34.77466251298027,7,BAP1=2.199; BARD1=2.199; BRCA1=2.199; BRCA2=2.199; PALB2=2.199; RAD51C=2.199; VHL=2.199,BAP1=13.89; BARD1=28.32; BRCA1=34.77; BRCA2=20.89; PALB2=24.42; RAD51C=20.7; VHL=14.85
alphagenome,s3_50,moderate,ok,True,2.199358892440796,4.33,7,7,7,32.645550527903474,16.557496214033314,68.95652173913042,7,BAP1=2.199; BARD1=2.199; BRCA1=2.199; BRCA2=2.199; PALB2=2.199; RAD51C=2.199; VHL=2.199,BAP1=16.56; BARD1=54.89; BRCA1=50.46; BRCA2=22.56; PALB2=32.65; RAD51C=27.81; VHL=68.96
alphagenome,s3_50,strong,ok,True,2.1998709440231323,18.7,7,7,6,70.29312631896292,19.317078916372203,240.93333333333337,6,BAP1=2.2; BARD1=2.2; BRCA1=2.2; BRCA2=2.2; PALB2=2.2; RAD51C=2.2; VHL=2.2,BAP1=19.32; BARD1=240.9; BRCA1=83.01; BRCA2=38.33; PALB2=144; RAD51C=57.58; VHL=na
avi,s3_10,supporting,ok,True,0.8246464729309082,2.08,7,7,6,11.383200850873264,9.595129375951291,33.40384615384615,6,BAP1=0.8591; BARD1=0.8092; BRCA1=0.8468; BRCA2=0.844; PALB2=0.8177; RAD51C=0.844; VHL=0.8408,BAP1=9.595; BARD1=11.01; BRCA1=33.4; BRCA2=31.85; PALB2=11.59; RAD51C=11.18; VHL=na
avi,s3_10,moderate,ok,True,1.071033596992493,4.33,7,7,6,35.17074592074592,11.131849315068491,54.62068965517242,6,BAP1=1.057; BARD1=1.035; BRCA1=1.07; BRCA2=1.075; PALB2=1.069; RAD51C=1.057; VHL=1.075,BAP1=11.13; BARD1=25.8; BRCA1=44.54; BRCA2=46.67; PALB2=54.62; RAD51C=18.52; VHL=na
avi,s3_10,strong,ok,True,1.3645528554916382,18.7,7,7,5,67.24137931034483,24.28767123287671,148.86363636363637,5,BAP1=1.203; BARD1=1.434; BRCA1=1.414; BRCA2=1.361; PALB2=1.401; RAD51C=1.231; VHL=1.368,BAP1=24.29; BARD1=148.9; BRCA1=130.2; BRCA2=na; PALB2=67.24; RAD51C=28.44; VHL=na
avi,s11_50,supporting,ok,True,0.5888686776161194,2.08,6,6,4,8.387662546770532,7.483333333333333,51.301587301587304,4,BAP1=0.5285; BARD1=0.6346; BRCA1=0.5881; PALB2=0.6061; RAD51C=0.5224; VHL=0.5922,BAP1=7.842; BARD1=51.3; BRCA1=na; PALB2=7.483; RAD51C=8.934; VHL=na
