tool,stratum,walker_in_scope,frac_called_pp3,band_lr_above_cut,local_lr_at_cut,local_lr_lower_bound
spliceai,pm12,False,0.9929,1.021,0.372,0.135
spliceai,s3_10,True,0.2455,5.599,0.965,0.644
spliceai,s11_50,True,0.0551,11.352,2.864,1.331
spliceai,s3_50,True,0.132,9.048,1.882,0.983
spliceai,all_1_50,False,0.2177,10.736,0.941,0.494
spliceai_walker,pm12,False,0.9988,1.028,0.372,0.127
spliceai_walker,s3_10,True,0.2732,5.144,0.965,0.427
spliceai_walker,s11_50,True,0.063,10.303,2.613,1.432
spliceai_walker,s3_50,True,0.1479,8.276,1.756,0.659
spliceai_walker,all_1_50,False,0.2326,9.551,0.878,0.273
