predictor,intronic,missense,nonsense,other,splice_core,splice_exon_edge,splice_region,synonymous,utr
alphagenome,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
alphamissense,0.0,0.9939,0.0115,0.4444,0.0,0.1429,0.0,0.0,0.0
cadd,0.9203,0.9318,0.9341,0.8889,0.9348,1.0,0.9169,0.9294,0.8833
gnomad_af,0.3909,0.3652,0.2343,0.3333,0.2316,0.0,0.3283,0.3795,0.5222
gpn_msa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pangolin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
phastcons,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
phylop,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
spliceai,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
