set,scheme,model,Brier,ECE,actionable_frac,actionable_acc
y_assay/BRCA1_included,unweighted,fusion_M1,0.06059426719774091,0.023763340482814005,0.7710336538461539,0.9727201870615745
y_assay/BRCA1_included,unweighted,mean_M0b,0.07655055534409858,0.010391817338819666,0.7013221153846154,0.9708654670094259
y_assay/BRCA1_included,unweighted,single:spliceai,0.07660853025389919,0.04298299813395495,0.7439903846153846,0.9491114701130856
y_assay/BRCA1_included,unweighted,single:pangolin,0.06883208054833935,0.031860908820248494,0.7524038461538461,0.9664536741214057
y_assay/BRCA1_included,unweighted,single:alphagenome,0.07881667177865087,0.025014271616207735,0.7211538461538461,0.9608333333333333
y_assay/BRCA1_included,unweighted,single:gpn_msa,0.11837967379307335,0.026097210034236054,0.4723557692307692,0.9491094147582697
y_assay/BRCA1_included,unweighted,single:nt,0.19779160565301815,0.04649024622004403,0.08834134615384616,0.7891156462585034
y_assay/BRCA1_included,unweighted,single:cadd,0.11101927632843489,0.04083713631746197,0.5201822916666666,0.9361702127659575
y_assay/BRCA1_included,unweighted,single:alphamissense,,,,
y_assay/BRCA1_included,unweighted,single:gnomad_af,0.24192435017040415,0.060496762562645925,0.018292682926829267,0.6666666666666666
y_assay/BRCA1_included,unweighted,single:phylop,0.1289560419319131,0.03458965587471414,0.4519230769230769,0.9335106382978723
y_assay/BRCA1_included,unweighted,single:phastcons,0.14669793607252515,0.053932821740161827,0.2109375,0.8632478632478633
y_assay/BRCA1_included,quintile,fusion_M1,0.06382924548210704,0.026093370169137476,0.7616367664795031,0.969788374490205
y_assay/BRCA1_included,quintile,mean_M0b,0.07994246146346919,0.015282916784005004,0.6935201254138398,0.9688568190666411
y_assay/BRCA1_included,quintile,single:spliceai,0.07925122801839533,0.04329287289807894,0.735456457550847,0.9469851860919836
y_assay/BRCA1_included,quintile,single:pangolin,0.07221779396384335,0.035334027147188224,0.7478326240133439,0.9639080017134124
y_assay/BRCA1_included,quintile,single:alphagenome,0.0830577800651497,0.030896973551307823,0.7193815456571245,0.9574784584532005
y_assay/BRCA1_included,quintile,single:gpn_msa,0.12096030181778823,0.030409818427907923,0.46614996916015145,0.9454633135703564
y_assay/BRCA1_included,quintile,single:nt,0.19733556858418785,0.05235191975295497,0.0862480524037724,0.7824575312470099
y_assay/BRCA1_included,quintile,single:cadd,0.1140639858438286,0.04521329755310364,0.5082764118537474,0.9323412209615267
y_assay/BRCA1_included,quintile,single:alphamissense,,,,
y_assay/BRCA1_included,quintile,single:gnomad_af,0.235186200100271,0.06285742152036096,0.01798790569318002,0.6634756195745036
y_assay/BRCA1_included,quintile,single:phylop,0.13053749322806923,0.034380975708183895,0.4355626848380409,0.9294356441396597
y_assay/BRCA1_included,quintile,single:phastcons,0.15016801843888336,0.06132940555942769,0.2187834306008555,0.8669300301006081
y_assay/BRCA1_included,decile,fusion_M1,0.06356047622285414,0.02554292644356589,0.7614905720551268,0.9701562762023196
y_assay/BRCA1_included,decile,mean_M0b,0.07965098803983388,0.01516931215817018,0.6931600976523155,0.9695574952977711
y_assay/BRCA1_included,decile,single:spliceai,0.07897199442621243,0.04292735214032019,0.7350728984120956,0.9470942471392052
y_assay/BRCA1_included,decile,single:pangolin,0.07184706899650901,0.03490191105549526,0.7483202492741027,0.964405547720072
y_assay/BRCA1_included,decile,single:alphagenome,0.0829796040033143,0.03098755454197754,0.7185679443407091,0.9580723011875886
y_assay/BRCA1_included,decile,single:gpn_msa,0.12080756140496106,0.03037417183193311,0.4663700196488125,0.945832203510003
y_assay/BRCA1_included,decile,single:nt,0.19701691686571235,0.05225896976702848,0.08586597353442747,0.7831620660373647
y_assay/BRCA1_included,decile,single:cadd,0.11363179392036937,0.04526841824509723,0.5088946000620751,0.9328031173746013
y_assay/BRCA1_included,decile,single:alphamissense,,,,
y_assay/BRCA1_included,decile,single:gnomad_af,0.2355277187474123,0.0637653213578775,0.018228976683002454,0.6674912693355576
y_assay/BRCA1_included,decile,single:phylop,0.1301771230214217,0.0339851014107395,0.4364903155919498,0.9303037164248905
y_assay/BRCA1_included,decile,single:phastcons,0.1499464468156941,0.061142718714355886,0.22138001779288735,0.8673064669289865
y_assay/BRCA1_included,vigintile,fusion_M1,0.06344642818297831,0.025394539777383228,0.7619642974607428,0.9701940296109749
y_assay/BRCA1_included,vigintile,mean_M0b,0.07922195339792049,0.015098783823928683,0.6935657995144014,0.9697928959212619
y_assay/BRCA1_included,vigintile,single:spliceai,0.07880225060439763,0.042691939437399455,0.7356352429098396,0.9469265109043932
y_assay/BRCA1_included,vigintile,single:pangolin,0.07203283119004768,0.03515615587463375,0.7494120906289813,0.9639267609001934
y_assay/BRCA1_included,vigintile,single:alphagenome,0.08308739630052427,0.03136324550432233,0.7181052510276275,0.9582042366264661
y_assay/BRCA1_included,vigintile,single:gpn_msa,0.12005568486459395,0.030964463984608184,0.4673779095391536,0.9458850912617243
y_assay/BRCA1_included,vigintile,single:nt,0.19673829770458803,0.0522173501612194,0.08608789882620008,0.7863748609789037
y_assay/BRCA1_included,vigintile,single:cadd,0.11283895025811413,0.04484116096821835,0.5082235056764834,0.9341401630765754
y_assay/BRCA1_included,vigintile,single:alphamissense,,,,
y_assay/BRCA1_included,vigintile,single:gnomad_af,0.23546175730815022,0.0656315673950471,0.018599320680856506,0.6720758137578862
y_assay/BRCA1_included,vigintile,single:phylop,0.12934246984058265,0.033649975886881386,0.4372910252166753,0.9316806451893879
y_assay/BRCA1_included,vigintile,single:phastcons,0.14913252863152046,0.06046903429554494,0.2222171847257995,0.8677306913730354
y_assay/BRCA1_included,decile_truncated,fusion_M1,0.06356047622285414,0.02554292644356589,0.7614905720551268,0.9701562762023196
y_assay/BRCA1_included,decile_truncated,mean_M0b,0.07965098803983388,0.01516931215817018,0.6931600976523155,0.9695574952977711
y_assay/BRCA1_included,decile_truncated,single:spliceai,0.07897199442621243,0.04292735214032019,0.7350728984120956,0.9470942471392052
y_assay/BRCA1_included,decile_truncated,single:pangolin,0.07184706899650901,0.03490191105549526,0.7483202492741027,0.964405547720072
y_assay/BRCA1_included,decile_truncated,single:alphagenome,0.0829796040033143,0.03098755454197754,0.7185679443407091,0.9580723011875886
y_assay/BRCA1_included,decile_truncated,single:gpn_msa,0.12080756140496106,0.03037417183193311,0.4663700196488125,0.945832203510003
