scheme,model,rho,rank,ci_lo,ci_hi,excludes_zero
unweighted,fusion_M1,0.7747872634332748,1.0,,,
unweighted,single:pangolin,0.7644087520968129,2.0,,,
unweighted,single:spliceai,0.7551610566840516,3.0,,,
unweighted,single:alphagenome,0.7509667989880444,4.0,,,
unweighted,mean_M0b,0.7507457605956289,5.0,,,
unweighted,single:cadd,0.6954226083661365,6.0,,,
unweighted,single:gpn_msa,0.6660638341685492,7.0,,,
unweighted,single:phylop,0.6392005285674707,8.0,,,
unweighted,single:phastcons,0.6140011475294446,9.0,,,
unweighted,single:nt,0.49270998671554456,10.0,,,
unweighted,single:gnomad_af,0.18654144100711215,11.0,,,
unweighted,DELTA fusion-pangolin,0.010378511336461838,,-0.00041138179424509406,0.021830233208746875,False
quintile,fusion_M1,0.760071007890291,1.0,,,
quintile,single:pangolin,0.7495072260986397,2.0,,,
quintile,single:spliceai,0.7401973967976729,3.0,,,
quintile,single:alphagenome,0.7359903935144361,4.0,,,
quintile,mean_M0b,0.7355895755338718,5.0,,,
quintile,single:cadd,0.677835411952503,6.0,,,
quintile,single:gpn_msa,0.6504660809201076,7.0,,,
quintile,single:phylop,0.6234023964918392,8.0,,,
quintile,single:phastcons,0.5964418689955627,9.0,,,
quintile,single:nt,0.4788420940574794,10.0,,,
quintile,single:gnomad_af,0.18125983838524892,11.0,,,
quintile,DELTA fusion-pangolin,0.010563781791651294,,-0.0010642002596160714,0.02351578718636631,False
decile,fusion_M1,0.7614022606971147,1.0,,,
decile,single:pangolin,0.7509163106294666,2.0,,,
decile,single:spliceai,0.741252958331011,3.0,,,
decile,single:alphagenome,0.7378438467864987,4.0,,,
decile,mean_M0b,0.736588483185462,5.0,,,
decile,single:cadd,0.6796293648086923,6.0,,,
decile,single:gpn_msa,0.6518265047769652,7.0,,,
decile,single:phylop,0.6246680142471814,8.0,,,
decile,single:phastcons,0.5979109281012799,9.0,,,
decile,single:nt,0.48068709004644733,10.0,,,
decile,single:gnomad_af,0.18061008858584016,11.0,,,
decile,DELTA fusion-pangolin,0.010485950067648075,,-0.0004683094464358411,0.02260096537527892,False
vigintile,fusion_M1,0.7618258169962118,1.0,,,
vigintile,single:pangolin,0.7514829673208046,2.0,,,
vigintile,single:spliceai,0.7414763897080006,3.0,,,
vigintile,single:alphagenome,0.7381698098400825,4.0,,,
vigintile,mean_M0b,0.737137950269979,5.0,,,
vigintile,single:cadd,0.6802407815911551,6.0,,,
vigintile,single:gpn_msa,0.6531899614550508,7.0,,,
vigintile,single:phylop,0.6261336147884013,8.0,,,
vigintile,single:phastcons,0.5993247010438559,9.0,,,
vigintile,single:nt,0.482108454463742,10.0,,,
vigintile,single:gnomad_af,0.17988424429062633,11.0,,,
vigintile,DELTA fusion-pangolin,0.010342849675407217,,-0.0005194279288054382,0.02206664693474091,False
decile_truncated,fusion_M1,0.7614022606971147,1.0,,,
decile_truncated,single:pangolin,0.7509163106294666,2.0,,,
decile_truncated,single:spliceai,0.741252958331011,3.0,,,
decile_truncated,single:alphagenome,0.7378438467864987,4.0,,,
decile_truncated,mean_M0b,0.736588483185462,5.0,,,
decile_truncated,single:cadd,0.6796293648086923,6.0,,,
decile_truncated,single:gpn_msa,0.6518265047769652,7.0,,,
decile_truncated,single:phylop,0.6246680142471814,8.0,,,
decile_truncated,single:phastcons,0.5979109281012799,9.0,,,
decile_truncated,single:nt,0.48068709004644733,10.0,,,
decile_truncated,single:gnomad_af,0.18061008858584016,11.0,,,
decile_truncated,DELTA fusion-pangolin,0.010485950067648075,,-0.0004683094464358411,0.02260096537527892,False
