model,pooled_rho,ci95,I2,k
M1_enet,0.7738,"[0.741,0.803]",59.5,7
single:pangolin,0.761,"[0.731,0.788]",46.5,7
M2_gbt,0.7577,"[0.737,0.777]",0.0,7
single:spliceai,0.7517,"[0.716,0.783]",58.9,7
M0b_mean,0.7507,"[0.723,0.776]",35.1,7
single:alphagenome,0.7502,"[0.714,0.782]",59.4,7
single:cadd,0.6942,"[0.654,0.731]",52.7,7
single:gpn_msa,0.6655,"[0.639,0.691]",0.0,7
single:phylop,0.639,"[0.607,0.669]",14.9,7
single:phastcons,0.6122,"[0.563,0.657]",56.7,7
single:nt,0.4923,"[0.371,0.597]",89.3,7
single:gnomad_af,0.1862,"[0.069,0.298]",43.9,7
single:alphamissense,,n/a,,0
