model,rho,lo,hi,I2,k
single:spliceai,0.7516576737968153,0.7162483547165085,0.7832064355627844,58.87651916707857,7
single:pangolin,0.7609583423395199,0.7312159299795429,0.7878129776915574,46.52560489089066,7
single:alphagenome,0.7501702945512349,0.7143520294730983,0.782068149527228,59.372236180515344,7
single:gpn_msa,0.6654599318084646,0.638614357002643,0.6906877192204763,0.0,7
single:nt,0.4922865266227473,0.3713119363240328,0.5968266962521712,89.31275709136823,7
single:cadd,0.6941763002333641,0.6535219327247876,0.7308369496915651,52.70970044924553,7
single:alphamissense,,,,,0
single:gnomad_af,0.1862400195457247,0.06924775443810863,0.2981790129335619,43.94243807629231,7
single:phylop,0.6390450311607245,0.6073508236028029,0.6687082140646193,14.925685400346369,7
single:phastcons,0.6122164589462382,0.5632667842397144,0.6568839648092588,56.679239842427776,7
M1_enet,0.773833253403257,0.7408546724174685,0.8030897202757398,59.488747329081534,7
M2_gbt,0.7577021664617661,0.7370901866526045,0.7769057172887504,0.0,7
M0b_mean,0.7507113348680651,0.7230713733177002,0.7759512925069663,35.05835249466192,7
