set,calib,model,ECE,Brier,actionable_frac,actionable_acc,n_actionable
y_assay/BRCA1_included,isotonic,fusion_M1,0.024903350682795724,0.06301943089042418,0.7486567164179104,0.967304625199362,1254
y_assay/BRCA1_included,isotonic,mean_M0b,0.01545593304716072,0.07755580311106572,0.7002985074626865,0.9710144927536232,1173
y_assay/BRCA1_included,isotonic,single:spliceai,0.04954066293191124,0.08044627880777384,0.7044776119402985,0.9440677966101695,1180
y_assay/BRCA1_included,isotonic,single:pangolin,0.03249531345072292,0.07331954679055021,0.7355223880597015,0.9626623376623377,1232
y_assay/BRCA1_included,isotonic,single:alphagenome,0.025639030782453144,0.08058956887966386,0.7008955223880597,0.9633730834752982,1174
y_assay/BRCA1_included,isotonic,single:gpn_msa,0.02486838838462977,0.11793424289208783,0.4722388059701493,0.9494310998735778,791
y_assay/BRCA1_included,isotonic,single:nt,0.04748776211901852,0.19864567196315638,0.08656716417910448,0.7862068965517242,145
y_assay/BRCA1_included,isotonic,single:cadd,0.048128844581693433,0.113432199265811,0.519715578539108,0.9328358208955224,804
y_assay/BRCA1_included,isotonic,single:alphamissense,,,,,0
y_assay/BRCA1_included,isotonic,single:gnomad_af,0.060496762562645925,0.24192435017040415,0.018292682926829267,0.6666666666666666,9
y_assay/BRCA1_included,isotonic,single:phylop,0.0348781747479728,0.12839667188405088,0.4513432835820895,0.9338624338624338,756
y_assay/BRCA1_included,isotonic,single:phastcons,0.054273647546448485,0.14784437440103582,0.20955223880597015,0.8632478632478633,351
y_assay/BRCA1_excluded,isotonic,fusion_M1,0.028222563903115366,0.06789658293983356,0.7465753424657534,0.963302752293578,872
y_assay/BRCA1_excluded,isotonic,mean_M0b,0.020477700812864905,0.0809851117143972,0.7200342465753424,0.9619500594530321,841
y_assay/BRCA1_excluded,isotonic,single:spliceai,0.047074095055002804,0.08982750012159983,0.6438356164383562,0.9295212765957447,752
y_assay/BRCA1_excluded,isotonic,single:pangolin,0.023575196103066975,0.0796360436362975,0.6883561643835616,0.9676616915422885,804
y_assay/BRCA1_excluded,isotonic,single:alphagenome,0.03732871489453997,0.08666124243326642,0.7046232876712328,0.9611178614823815,823
y_assay/BRCA1_excluded,isotonic,single:gpn_msa,0.040268215207943846,0.12042612814167682,0.4897260273972603,0.9423076923076923,572
y_assay/BRCA1_excluded,isotonic,single:nt,0.04001286271209423,0.17917738899479516,0.21232876712328766,0.9354838709677419,248
y_assay/BRCA1_excluded,isotonic,single:cadd,0.029373154851794717,0.10413845986794977,0.6706976744186046,0.9375866851595007,721
y_assay/BRCA1_excluded,isotonic,single:alphamissense,,,,,0
y_assay/BRCA1_excluded,isotonic,single:gnomad_af,0.08203100026622531,0.24440952807793695,0.019656019656019656,0.625,8
y_assay/BRCA1_excluded,isotonic,single:phylop,0.03628372629951486,0.1292952449287621,0.4280821917808219,0.93,500
y_assay/BRCA1_excluded,isotonic,single:phastcons,0.06755099363162236,0.14911348982098724,0.17722602739726026,0.821256038647343,207
y_clinvar/BRCA1_included,isotonic,fusion_M1,0.012814411970687594,0.010446552782585135,0.9778012684989429,0.9945945945945946,925
y_clinvar/BRCA1_included,isotonic,mean_M0b,0.0074673221045771405,0.014380637261859073,0.9534883720930233,0.9944567627494457,902
y_clinvar/BRCA1_included,isotonic,single:spliceai,0.041015872707007746,0.03634075408702593,0.8773784355179705,0.9759036144578314,830
y_clinvar/BRCA1_included,isotonic,single:pangolin,0.018046184175244406,0.022804475007843626,0.9503171247357294,0.9911012235817576,899
y_clinvar/BRCA1_included,isotonic,single:alphagenome,0.02325834926104242,0.03613657002772408,0.8911205073995772,0.9857651245551602,843
y_clinvar/BRCA1_included,isotonic,single:gpn_msa,0.033630426221925885,0.06407112226639677,0.7315010570824524,0.976878612716763,692
y_clinvar/BRCA1_included,isotonic,single:nt,0.0801585325286807,0.1679103580817935,0.33298097251585623,0.9333333333333333,315
y_clinvar/BRCA1_included,isotonic,single:cadd,0.024997144286430354,0.03655891438588251,0.9010238907849829,0.9873737373737373,792
y_clinvar/BRCA1_included,isotonic,single:alphamissense,,,,,0
y_clinvar/BRCA1_included,isotonic,single:gnomad_af,0.13407664947070125,0.24779806290761228,0.024305555555555556,0.5714285714285714,7
y_clinvar/BRCA1_included,isotonic,single:phylop,0.017685501894726265,0.05529375757653033,0.8054968287526427,0.9776902887139107,762
y_clinvar/BRCA1_included,isotonic,single:phastcons,0.03658196729768458,0.0796431709788194,0.7547568710359408,0.9551820728291317,714
y_clinvar/BRCA1_excluded,isotonic,fusion_M1,0.014439568788879432,0.011651633357365836,0.9809264305177112,0.9902777777777778,720
y_clinvar/BRCA1_excluded,isotonic,mean_M0b,0.01378825653577326,0.016107133981531935,0.9564032697547684,0.9886039886039886,702
y_clinvar/BRCA1_excluded,isotonic,single:spliceai,0.05619760730583001,0.04702696421453231,0.8719346049046321,0.96875,640
y_clinvar/BRCA1_excluded,isotonic,single:pangolin,0.023286556431818803,0.031255580920416415,0.9209809264305178,0.9881656804733728,676
