condition,calibration,object,n,n_pos,n_neg,threshold_at_spec95,sensitivity_at_that_point,specificity_achieved,lr_plus,lr_plus_lo,lr_plus_hi,n_boot_evaluable,lr_plus_interp,sensitivity_interp,lr_plus_interp_lo,lr_plus_interp_hi,n_boot_evaluable_interp,lr_minus_at_spec95,lr_minus_at_sens95,threshold_at_sens95,acmg_tier_observed,acmg_tier,tier_basis,benign_tier_at_sens95,cal_method
y_assay/BRCA1_included,raw,fusion_M1,1675,821,854,0.5765367637769585,0.8891595615103532,0.9508196721311475,18.079577750710516,16.79767441860465,19.51197638359353,2000,17.78319123020705,0.8891595615103532,16.329698409531915,18.580931263858076,2000,0.1165735646184216,0.05709235643344799,0.4906696941541281,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_included,calibrated_isotonic,fusion_M1,1675,821,854,0.7611940298507462,0.876979293544458,0.9508196721311475,17.83191230207065,16.50701703445606,23.16927774529273,2000,17.58221680876978,0.8791108404384897,15.985153674015717,18.514412416851425,2000,0.12938384644462173,0.0539255192400045,0.2909090909090909,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_included,raw,mean_M0b,1675,821,854,0.6152447730652313,0.8160779537149817,0.9508196721311475,16.593585058871295,15.710605562751832,18.383257810493323,2000,16.32155907429962,0.8160779537149817,15.354838709677406,17.65955859969557,2000,0.1934352555756227,0.06225983978946809,0.4442840667999445,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_included,calibrated_isotonic,mean_M0b,1675,821,854,0.75,0.784409257003654,0.9519906323185012,16.338670865393183,15.532076496105958,20.15688888888889,2000,15.708891595615091,0.7854445797807552,14.710416377232795,17.51262626262625,2000,0.2264630928891506,0.0615499931531038,0.2631578947368421,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_included,raw,single:spliceai,1675,821,854,0.5810834848604634,0.830694275274056,0.9508196721311475,16.89078359723914,15.060002444865031,19.119992989997495,2000,16.613885505481107,0.830694275274056,14.755043227665695,18.391472868217036,2000,0.17806291738418245,0.06491322717775592,0.4264528460957032,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_included,calibrated_isotonic,single:spliceai,1675,821,854,0.8389144407587235,0.7429963459196103,0.9543325526932084,16.269714856803773,14.40194485085638,25.111285676878765,2000,14.904993909866004,0.7452496954933009,13.33788343558281,18.344163658243065,2000,0.2693019884474268,0.07012549781713172,0.10695187165775401,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_included,raw,single:pangolin,1675,821,854,0.5787545787545787,0.8380024360535931,0.9508196721311475,17.03938286642306,15.834328498360582,19.149502524502523,2000,16.760048721071847,0.8380024360535931,15.562310030395123,18.516476250962857,2000,0.1703767482884624,0.058103528958836026,0.47244963369963366,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_included,calibrated_isotonic,single:pangolin,1675,821,854,0.7986118086666566,0.7917174177831913,0.9601873536299765,19.886078670201332,15.316972693032016,22.51873366250363,2000,15.9403166869671,0.7970158343483557,14.835249042145582,18.251004708780048,2000,0.21691868928433497,0.05611009749268422,0.25,Strong,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_included,raw,single:alphagenome,1675,821,854,0.6098901098901099,0.7734470158343484,0.9508196721311475,15.726755988631751,14.92471117236857,17.99719233221743,2000,15.468940316686954,0.7734470158343484,14.623921085080136,17.37031466372243,2000,0.23827124196732327,0.06136401475652611,0.4503059770916914,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
y_assay/BRCA1_included,calibrated_isotonic,single:alphagenome,1675,821,854,0.8205128205128205,0.7295980511571255,0.9508196721311475,14.835160373528218,14.136830033800095,21.736644288393627,2000,14.626065773447003,0.7313032886723508,13.428184740050703,17.045101088646952,2000,0.2843882565416439,0.06352335171221093,0.21428571428571427,Moderate,Moderate,interpolated to the nominal specificity,Moderate,isotonic
