condition,calibration,best_single,n,lr_plus_fusion,lr_plus_best_single,delta_lr_plus,lo,hi,n_boot_evaluable,fusion_better,lr_plus_fusion_interp,lr_plus_best_single_interp,delta_lr_plus_interp,lo_interp,hi_interp,n_boot_evaluable_interp,fusion_better_interp,tier_fusion_observed,tier_best_single_observed,crosses_a_tier_boundary_observed,tier_fusion,tier_best_single,crosses_a_tier_boundary,tier_basis,cal_method
y_assay/BRCA1_included,raw,single:pangolin,1675,18.079577750710516,17.03938286642306,1.0401948842874553,-0.358563994927632,1.765667841754798,2000,False,17.78319123020705,16.760048721071847,1.0231425091352015,0.041618995756793974,1.607898448519041,2000,True,Moderate,Moderate,False,Moderate,Moderate,False,interpolated to the nominal specificity,isotonic
y_assay/BRCA1_included,calibrated_isotonic,single:pangolin,1675,17.83191230207065,19.886078670201332,-2.0541663681306837,-3.782189137027842,4.121716054842992,2000,False,17.58221680876978,15.9403166869671,1.6419001218026796,0.07005400609591811,1.9630184117830367,2000,True,Moderate,Strong,True,Moderate,Moderate,False,interpolated to the nominal specificity,isotonic
y_assay/BRCA1_excluded,raw,single:pangolin,1168,18.015151515151516,16.66919191919192,1.3459595959595951,-0.3926939229249058,2.0803300376549476,2000,False,17.57575757575756,16.26262626262625,1.3131313131313114,0.0,1.8226336347854089,2000,False,Moderate,Moderate,False,Moderate,Moderate,False,interpolated to the nominal specificity,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:pangolin,1168,17.704545454545453,17.43259259259259,0.2719528619528617,-6.885819637589552,6.211476725521667,2000,False,17.29629629629628,15.210101010100995,2.0861952861952844,-0.12896725440805845,2.391604197901046,2000,False,Moderate,Moderate,False,Moderate,Moderate,False,interpolated to the nominal specificity,isotonic
y_clinvar/BRCA1_included,raw,single:pangolin,946,20.54186818397345,20.504788999525843,0.03707918444760594,-2.1623467112597545,2.784313725490197,2000,False,19.96396396396395,19.92792792792791,0.036036036036037444,0.0,0.4255319148936181,2000,False,Strong,Strong,False,Strong,Strong,False,interpolated to the nominal specificity,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,single:pangolin,946,27.727284427284427,20.133997155049787,7.59328727223464,-20.155268267383978,44.0,2000,False,19.855855855855836,19.600600600600583,0.2552552552552534,-0.08494847051748353,0.7753548751703688,2000,False,Strong,Strong,False,Strong,Strong,False,interpolated to the nominal specificity,isotonic
y_clinvar/BRCA1_excluded,raw,single:pangolin,734,20.44950738916256,20.39901477832512,0.050492610837437724,-2.3181818181818166,2.769682151589244,2000,False,19.95073891625614,19.9014778325123,0.04926108374383986,0.0,0.7216494845360799,2000,False,Strong,Strong,False,Strong,Strong,False,interpolated to the nominal specificity,isotonic
y_clinvar/BRCA1_excluded,calibrated_isotonic,single:pangolin,734,26.99671592775041,19.641625615763544,7.355090311986867,-36.967443887557195,126.9581816775565,2000,False,19.75369458128077,19.162561576354662,0.5911330049261068,-0.22792022792022593,1.1787072243345982,2000,False,Strong,Strong,False,Strong,Strong,False,interpolated to the nominal specificity,isotonic
y_assay/BRCA1_included,raw,single:pangolin,1675,18.079577750710516,17.03938286642306,1.0401948842874553,-0.2892297046114666,1.7770900993616425,2000,False,17.78319123020705,16.760048721071847,1.0231425091352015,0.05694029044669523,1.6128990968072208,2000,True,Moderate,Moderate,False,Moderate,Moderate,False,interpolated to the nominal specificity,platt
y_assay/BRCA1_included,calibrated_platt,single:pangolin,1675,17.95574502639058,16.98984977669509,0.9658952496954925,-0.16567219986363746,1.8855939705354214,2000,False,17.661388550548097,16.71132764920827,0.9500609013398282,0.05426869844445817,1.690140845070422,2000,True,Moderate,Moderate,False,Moderate,Moderate,False,interpolated to the nominal specificity,platt
y_assay/BRCA1_excluded,raw,single:pangolin,1168,18.015151515151516,16.66919191919192,1.3459595959595951,-0.5699342775155074,1.9803864168618261,2000,False,17.57575757575756,16.26262626262625,1.3131313131313114,0.03385416666666595,1.9031890716984075,2000,True,Moderate,Moderate,False,Moderate,Moderate,False,interpolated to the nominal specificity,platt
y_assay/BRCA1_excluded,calibrated_platt,single:pangolin,1168,17.773569023569024,16.358585858585858,1.4149831649831661,-0.5384615384615401,2.336845952129636,2000,False,17.340067340067325,15.959595959595946,1.3804713804713789,-0.04219409282700326,2.0624151967435544,2000,False,Moderate,Moderate,False,Moderate,Moderate,False,interpolated to the nominal specificity,platt
y_clinvar/BRCA1_included,raw,single:pangolin,946,20.54186818397345,20.504788999525843,0.03707918444760594,-2.316666666666663,2.3596528247063304,2000,False,19.96396396396395,19.92792792792791,0.036036036036037444,0.0,0.4871881294588753,2000,False,Strong,Strong,False,Strong,Strong,False,interpolated to the nominal specificity,platt
y_clinvar/BRCA1_included,calibrated_platt,single:pangolin,946,20.54186818397345,20.319393077287817,0.22247510668563208,-1.9299104048282554,2.426162790697674,2000,False,19.96396396396395,19.74774774774773,0.21621621621621756,0.0,0.9963099630996304,2000,False,Strong,Strong,False,Strong,Strong,False,interpolated to the nominal specificity,platt
