condition,object,n,yield_confidence_0.90_0.10,yield_acmg_moderate_or_above,n_called_moderate,n_evaluable,delta
y_assay/BRCA1_included,fusion_M1,1675,0.7486567164179104,0.8698507462686568,1457,1675,0.12119402985074634
y_assay/BRCA1_included,mean_M0b,1675,0.7002985074626865,0.7916417910447762,1326,1675,0.09134328358208965
y_assay/BRCA1_included,single:spliceai,1675,0.7044776119402985,0.8650746268656716,1449,1675,0.16059701492537315
y_assay/BRCA1_included,single:pangolin,1675,0.7355223880597015,0.8561194029850746,1434,1675,0.12059701492537311
y_assay/BRCA1_included,single:alphagenome,1675,0.7008955223880597,0.8035820895522388,1346,1675,0.10268656716417901
y_assay/BRCA1_included,single:gpn_msa,1675,0.4722388059701493,0.6638805970149254,1112,1675,0.19164179104477613
y_assay/BRCA1_included,single:nt,1675,0.08656716417910448,0.26746268656716415,448,1675,0.18089552238805967
y_assay/BRCA1_included,single:cadd,1547,0.519715578539108,0.7201034259857789,1114,1547,0.20038784744667093
y_assay/BRCA1_included,single:alphamissense,0,,,0,0,
y_assay/BRCA1_included,single:gnomad_af,492,0.018292682926829267,0.052845528455284556,26,492,0.03455284552845529
y_assay/BRCA1_included,single:phylop,1675,0.4513432835820895,0.64,1072,1675,0.18865671641791049
y_assay/BRCA1_included,single:phastcons,1675,0.20955223880597015,0.7504477611940299,1257,1675,0.5408955223880597
y_assay/BRCA1_excluded,fusion_M1,1168,0.7465753424657534,0.8707191780821918,1017,1168,0.12414383561643838
y_assay/BRCA1_excluded,mean_M0b,1168,0.7200342465753424,0.7833904109589042,915,1168,0.06335616438356173
y_assay/BRCA1_excluded,single:spliceai,1168,0.6438356164383562,0.8184931506849316,956,1168,0.17465753424657537
y_assay/BRCA1_excluded,single:pangolin,1168,0.6883561643835616,0.8304794520547946,970,1168,0.14212328767123295
y_assay/BRCA1_excluded,single:alphagenome,1168,0.7046232876712328,0.7833904109589042,915,1168,0.07876712328767133
y_assay/BRCA1_excluded,single:gpn_msa,1168,0.4897260273972603,0.6883561643835616,804,1168,0.19863013698630133
y_assay/BRCA1_excluded,single:nt,1168,0.21232876712328766,0.3407534246575342,398,1168,0.12842465753424656
y_assay/BRCA1_excluded,single:cadd,1075,0.6706976744186046,0.76,817,1075,0.08930232558139539
y_assay/BRCA1_excluded,single:alphamissense,0,,,0,0,
y_assay/BRCA1_excluded,single:gnomad_af,407,0.019656019656019656,0.04176904176904177,17,407,0.022113022113022112
y_assay/BRCA1_excluded,single:phylop,1168,0.4280821917808219,0.6438356164383562,752,1168,0.21575342465753428
y_assay/BRCA1_excluded,single:phastcons,1168,0.17722602739726026,0.7508561643835616,877,1168,0.5736301369863014
y_clinvar/BRCA1_included,fusion_M1,946,0.9778012684989429,0.9820295983086681,929,946,0.0042283298097252064
y_clinvar/BRCA1_included,mean_M0b,946,0.9534883720930233,0.9756871035940803,923,946,0.022198731501057
y_clinvar/BRCA1_included,single:spliceai,946,0.8773784355179705,0.9482029598308668,897,946,0.07082452431289632
y_clinvar/BRCA1_included,single:pangolin,946,0.9503171247357294,0.9619450317124736,910,946,0.011627906976744207
y_clinvar/BRCA1_included,single:alphagenome,946,0.8911205073995772,0.9249471458773785,875,946,0.03382663847780132
y_clinvar/BRCA1_included,single:gpn_msa,946,0.7315010570824524,0.8604651162790697,814,946,0.12896405919661735
y_clinvar/BRCA1_included,single:nt,946,0.33298097251585623,0.4682875264270613,443,946,0.13530655391120505
y_clinvar/BRCA1_included,single:cadd,879,0.9010238907849829,0.931740614334471,819,879,0.030716723549488067
y_clinvar/BRCA1_included,single:alphamissense,0,,,0,0,
y_clinvar/BRCA1_included,single:gnomad_af,288,0.024305555555555556,0.0798611111111111,23,288,0.05555555555555555
y_clinvar/BRCA1_included,single:phylop,946,0.8054968287526427,0.9080338266384778,859,946,0.10253699788583504
y_clinvar/BRCA1_included,single:phastcons,946,0.7547568710359408,0.8456659619450317,800,946,0.09090909090909094
y_clinvar/BRCA1_excluded,fusion_M1,734,0.9809264305177112,0.9836512261580381,722,734,0.0027247956403269047
y_clinvar/BRCA1_excluded,mean_M0b,734,0.9564032697547684,0.9754768392370572,716,734,0.019073569482288777
y_clinvar/BRCA1_excluded,single:spliceai,734,0.8719346049046321,0.9346049046321526,686,734,0.06267029972752047
y_clinvar/BRCA1_excluded,single:pangolin,734,0.9209809264305178,0.9427792915531336,692,734,0.021798365122615793
y_clinvar/BRCA1_excluded,single:alphagenome,734,0.8910081743869209,0.9168937329700273,673,734,0.02588555858310637
y_clinvar/BRCA1_excluded,single:gpn_msa,734,0.7643051771117166,0.8746594005449592,642,734,0.11035422343324253
y_clinvar/BRCA1_excluded,single:nt,734,0.4223433242506812,0.5245231607629428,385,734,0.10217983651226159
y_clinvar/BRCA1_excluded,single:cadd,676,0.915680473372781,0.9467455621301775,640,676,0.031065088757396442
y_clinvar/BRCA1_excluded,single:alphamissense,0,,,0,0,
y_clinvar/BRCA1_excluded,single:gnomad_af,234,0.021367521367521368,0.06837606837606838,16,234,0.047008547008547015
y_clinvar/BRCA1_excluded,single:phylop,734,0.8038147138964578,0.9141689373297003,671,734,0.11035422343324253
y_clinvar/BRCA1_excluded,single:phastcons,734,0.782016348773842,0.8419618528610354,618,734,0.05994550408719346
