,mean,sd,min,max,range,mean_abs,n_folds_nonzero,n_folds_sign_flip,range_over_mean_abs
alphagenome,0.22216051613878657,0.01881840352361965,0.2007380619020022,0.2590577200588342,0.058319658156832016,0.22216051613878657,7,0,0.2625113551698762
pangolin,0.2097553912548254,0.029301256021825716,0.17041676235531017,0.24806069214127363,0.07764392978596346,0.2097553912548254,7,0,0.37016416751661096
spliceai,0.19819101795820254,0.02172641699002624,0.15656741592332293,0.22623049997552347,0.06966308405220054,0.19819101795820254,7,0,0.35149465788047024
gpn_msa,0.11062415550490003,0.00962701067306163,0.09871707380022765,0.12601528525759675,0.027298211457369104,0.11062415550490003,7,0,0.246765377170811
phastcons,0.050896757721490236,0.01801400506458205,0.02029992381406108,0.07745175437345797,0.05715183055939689,0.050896757721490236,7,0,1.1228972751493276
cadd,0.026721139253548836,0.018247314573515083,0.004332801645637122,0.05139110375339228,0.047058302107755155,0.026721139253548836,7,0,1.761088913958088
phylop,0.01722814495346352,0.01651162108977617,0.0,0.0383700686580339,0.0383700686580339,0.01722814495346352,6,0,2.2271735443182488
gnomad_af,0.0036941714532663476,0.009773858965776821,0.0,0.025859200172864433,0.025859200172864433,0.0036941714532663476,1,0,7.0
gnomad_af_isna,0.0021100947594795043,0.002826846503341228,-0.0,0.0069644846461022905,0.0069644846461022905,0.0021100947594795043,3,0,3.300555396772899
phylop_isna,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
phastcons_isna,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
pangolin_isna,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
nt,0.0,0.0,-0.0,0.0,0.0,0.0,0,0,
nt_isna,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
alphagenome_isna,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
gpn_msa_isna,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
cadd_isna,0.0,0.0,-0.0,-0.0,0.0,0.0,0,0,
alphamissense_isna,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
alphamissense,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
spliceai_isna,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
