dropped,k_remaining,fusion_rho,single_rho,delta_rho
BAP1+BARD1,5,0.7572332774462591,0.7427952791823074,0.014437998263951757
BAP1+BRCA1,5,0.7818100664339658,0.7632644152588611,0.01854565117510465
BAP1+BRCA2,5,0.7794198514445984,0.7586982536702868,0.020721597774311595
BAP1+PALB2,5,0.7861609767499946,0.7656380431998694,0.020522933550125244
BAP1+RAD51C,5,0.7806090436451731,0.7654072666495836,0.015201776995589555
BAP1+VHL,5,0.7768352434665627,0.7598208832453384,0.01701436022122438
BARD1+BRCA1,5,0.7562279398081527,0.7498583316742217,0.0063696081339310595
BARD1+BRCA2,5,0.7552092459257788,0.7451043637947642,0.01010488213101457
BARD1+PALB2,5,0.7622054384288042,0.7517277355360161,0.010477702892788043
BARD1+RAD51C,5,0.7573738374037953,0.7511422235864464,0.0062316138173488245
BARD1+VHL,5,0.756651451727839,0.7479903779922303,0.008661073735608649
BRCA1+BRCA2,5,0.7798597068679521,0.7657636177751439,0.01409608909280824
BRCA1+PALB2,5,0.7869795681926549,0.7731964849004385,0.013783083292216447
BRCA1+RAD51C,5,0.781187594408253,0.7726724913769961,0.00851510303125691
BRCA1+VHL,5,0.7772810869713017,0.7662974863777191,0.01098360059358261
BRCA2+PALB2,5,0.7843243954730511,0.7680511825069312,0.016273212966119943
BRCA2+RAD51C,5,0.7787607047233187,0.7677731371245672,0.010987567598751524
BRCA2+VHL,5,0.7750768008436852,0.7620297033371749,0.013047097506510341
PALB2+RAD51C,5,0.7851927249715657,0.7736847250725349,0.01150799989903073
PALB2+VHL,5,0.7812452906732522,0.7679407776331808,0.013304513040071408
RAD51C+VHL,5,0.7762498388752854,0.7675368590348288,0.008712979840456603
