condition,calibration,object,n,n_pos,n_neg,lr_plus_obs_v1,spec_achieved_v1,lr_plus_interp_v1,tier_obs_v1,tier_interp_v1,lr_plus_obs_v2,spec_achieved_v2,lr_plus_interp_v2,tier_obs_v2,tier_interp_v2,delta_obs,delta_interp_score_change,delta_placement,placement_within_v1,placement_within_v2,threshold_v1,threshold_v2,tie_chosen_all_v1,tie_chosen_neg_v1,tie_chosen_pos_v1,spec_chosen_v1,tie_below_all_v1,tie_below_neg_v1,tie_below_pos_v1,spec_below_v1,tie_chosen_all_v2,tie_chosen_neg_v2,tie_chosen_pos_v2,spec_chosen_v2,tie_below_all_v2,tie_below_neg_v2,tie_below_pos_v2,spec_below_v2
y_assay/BRCA1_included,raw,fusion_M1,1675,821,854,18.079577750710516,0.9508196721311475,17.78319123020705,Moderate,Moderate,18.079577750710516,0.9508196721311475,17.78319123020705,Moderate,Moderate,0.0,0.0,0.0,0.2963865205034679,0.2963865205034679,0.5643525654623376,0.5765367637769585,1.0,0.0,1.0,0.9508196721311475,1.0,1.0,0.0,0.949648711943794,1.0,0.0,1.0,0.9508196721311475,1.0,1.0,0.0,0.949648711943794
y_assay/BRCA1_included,calibrated_isotonic,fusion_M1,1675,821,854,17.906211936662608,0.9508196721311475,17.65529841656515,Moderate,Moderate,17.83191230207065,0.9508196721311475,17.58221680876978,Moderate,Moderate,-0.07429963459195932,-0.07308160779536976,-0.0012180267965895553,0.25091352009745904,0.2496954933008695,0.7333333333333333,0.7611940298507462,3.0,1.0,2.0,0.9508196721311475,7.0,2.0,5.0,0.9484777517564402,10.0,0.0,10.0,0.9508196721311475,7.0,2.0,5.0,0.9484777517564402
y_assay/BRCA1_included,raw,mean_M0b,1675,821,854,16.568818514007308,0.9508196721311475,16.29719853836783,Moderate,Moderate,16.593585058871295,0.9508196721311475,16.32155907429962,Moderate,Moderate,0.02476654486398644,0.024360535931791105,0.0004060089321953342,0.27161997563947793,0.27202598457167326,0.6154439715863519,0.6152447730652313,1.0,0.0,1.0,0.9508196721311475,1.0,1.0,0.0,0.949648711943794,1.0,0.0,1.0,0.9508196721311475,1.0,1.0,0.0,0.949648711943794
y_assay/BRCA1_included,calibrated_isotonic,mean_M0b,1675,821,854,16.389412079260868,0.9519906323185012,15.757612667478673,Moderate,Moderate,16.338670865393183,0.9519906323185012,15.708891595615091,Moderate,Moderate,-0.05074121386768482,-0.04872107186358221,-0.0020201420041026097,0.631799411782195,0.6297792697780924,0.7777777777777778,0.75,6.0,2.0,4.0,0.9519906323185012,3.0,2.0,1.0,0.949648711943794,2.0,0.0,2.0,0.9519906323185012,3.0,2.0,1.0,0.949648711943794
y_assay/BRCA1_included,raw,single:spliceai,1675,821,854,16.91555014210313,0.9508196721311475,16.6382460414129,Moderate,Moderate,16.89078359723914,0.9508196721311475,16.613885505481107,Moderate,Moderate,-0.024766544863989992,-0.024360535931791105,-0.0004060089321988869,0.27730410069023037,0.2768980917580315,0.5670967422152647,0.5810834848604634,1.0,0.0,1.0,0.9508196721311475,1.0,1.0,0.0,0.949648711943794,1.0,0.0,1.0,0.9508196721311475,1.0,1.0,0.0,0.949648711943794
y_assay/BRCA1_included,calibrated_isotonic,single:spliceai,1675,821,854,17.06481877736445,0.9566744730679156,14.833130328867224,Moderate,Moderate,16.269714856803773,0.9543325526932084,14.904993909866004,Moderate,Moderate,-0.7951039205606776,0.07186358099878021,-0.8669675015594578,2.231688448497227,1.3647209469377692,0.8571428571428571,0.8389144407587235,4.0,3.0,1.0,0.9566744730679156,8.0,6.0,2.0,0.949648711943794,1.0,0.0,1.0,0.9543325526932084,6.0,4.0,2.0,0.949648711943794
y_assay/BRCA1_included,raw,single:pangolin,1675,821,854,17.064149411287048,0.9508196721311475,16.784409257003638,Moderate,Moderate,17.03938286642306,0.9508196721311475,16.760048721071847,Moderate,Moderate,-0.02476654486398644,-0.024360535931791105,-0.0004060089321953342,0.2797401542834095,0.27933414535121415,0.5484900845124991,0.5787545787545787,3.0,0.0,3.0,0.9508196721311475,2.0,2.0,0.0,0.9484777517564402,1.0,0.0,1.0,0.9508196721311475,1.0,1.0,0.0,0.949648711943794
y_assay/BRCA1_included,calibrated_isotonic,single:pangolin,1675,821,854,16.3954526999594,0.9508196721311475,16.135200974421423,Moderate,Moderate,19.886078670201332,0.9601873536299765,15.9403166869671,Strong,Moderate,3.4906259702419327,-0.1948842874543235,3.685510257696256,0.2602517255379766,3.9457619832342328,0.788235294117647,0.7986118086666566,8.0,0.0,8.0,0.9508196721311475,6.0,4.0,2.0,0.9461358313817331,1.0,0.0,1.0,0.9601873536299765,15.0,10.0,5.0,0.9484777517564402
y_assay/BRCA1_included,raw,single:alphagenome,1675,821,854,15.726755988631751,0.9508196721311475,15.468940316686954,Moderate,Moderate,15.726755988631751,0.9508196721311475,15.468940316686954,Moderate,Moderate,0.0,0.0,0.0,0.2578156719447975,0.2578156719447975,0.6098901098901099,0.6098901098901099,1.0,1.0,0.0,0.9508196721311475,1.0,1.0,0.0,0.949648711943794,1.0,1.0,0.0,0.9508196721311475,1.0,1.0,0.0,0.949648711943794
y_assay/BRCA1_included,calibrated_isotonic,single:alphagenome,1675,821,854,14.835160373528218,0.9508196721311475,14.626065773447003,Moderate,Moderate,14.835160373528218,0.9508196721311475,14.626065773447003,Moderate,Moderate,0.0,0.0,0.0,0.20909460008121528,0.20909460008121528,0.8205128205128205,0.8205128205128205,5.0,1.0,4.0,0.9508196721311475,6.0,2.0,4.0,0.9484777517564402,5.0,1.0,4.0,0.9508196721311475,6.0,2.0,4.0,0.9484777517564402
y_assay/BRCA1_included,raw,single:gpn_msa,1675,821,854,12.92813641900122,0.9508196721311475,12.71619975639463,Moderate,Moderate,12.92813641900122,0.9508196721311475,12.71619975639463,Moderate,Moderate,0.0,0.0,0.0,0.21193666260658972,0.21193666260658972,0.6728159340659341,0.6728159340659341,1.0,1.0,0.0,0.9508196721311475,1.0,1.0,0.0,0.949648711943794,1.0,1.0,0.0,0.9508196721311475,1.0,1.0,0.0,0.949648711943794
y_assay/BRCA1_included,calibrated_isotonic,single:gpn_msa,1675,821,854,15.732947624847746,0.9625292740046838,12.2644225445687,Moderate,Moderate,15.732947624847746,0.9625292740046838,12.2644225445687,Moderate,Moderate,0.0,0.0,0.0,3.468525080279047,3.468525080279047,0.8513513513513513,0.8513513513513513,8.0,0.0,8.0,0.9625292740046838,31.0,11.0,20.0,0.949648711943794,8.0,0.0,8.0,0.9625292740046838,31.0,11.0,20.0,0.949648711943794
y_assay/BRCA1_included,raw,single:nt,1675,821,854,6.46406820950061,0.9508196721311475,6.358099878197315,Moderate,Moderate,6.46406820950061,0.9508196721311475,6.358099878197315,Moderate,Moderate,0.0,0.0,0.0,0.10596833130329486,0.10596833130329486,0.8235842624528756,0.8230906593406593,1.0,0.0,1.0,0.9508196721311475,1.0,1.0,0.0,0.949648711943794,1.0,1.0,0.0,0.9508196721311475,1.0,1.0,0.0,0.949648711943794
y_assay/BRCA1_included,calibrated_isotonic,single:nt,1675,821,854,7.281364190012179,0.9601873536299765,6.20921401447302,Moderate,Moderate,6.556379876720923,0.9613583138173302,5.539585870889156,Moderate,Moderate,-0.7249843132912561,-0.6696281435838642,-0.05535616970739188,1.072150175539159,1.016794005831767,0.8166666666666667,0.8214285714285714,12.0,1.0,11.0,0.9601873536299765,50.0,17.0,33.0,0.9402810304449649,11.0,1.0,10.0,0.9613583138173302,51.0,17.0,34.0,0.9414519906323185
y_assay/BRCA1_included,raw,single:cadd,1547,771,776,12.951873848044235,0.9510309278350515,12.726329442282738,Moderate,Moderate,12.951873848044235,0.9510309278350515,12.726329442282738,Moderate,Moderate,0.0,0.0,0.0,0.2255444057614966,0.2255444057614966,0.6730156075928132,0.6730156075928132,1.0,0.0,1.0,0.9510309278350515,3.0,1.0,2.0,0.9497422680412371,1.0,0.0,1.0,0.9510309278350515,3.0,1.0,2.0,0.9497422680412371
y_assay/BRCA1_included,calibrated_isotonic,single:cadd,1547,771,776,16.06505038411653,0.9664948453608248,11.451448335495018,Moderate,Moderate,16.06505038411653,0.9664948453608248,11.451448335495018,Moderate,Moderate,0.0,0.0,0.0,4.613602048621514,4.613602048621514,0.8790375233634964,0.8790375233634964,2.0,2.0,0.0,0.9664948453608248,46.0,15.0,31.0,0.9471649484536082,2.0,2.0,0.0,0.9664948453608248,46.0,15.0,31.0,0.9471649484536082
y_assay/BRCA1_included,raw,single:alphamissense,1,0,1,,,,not evaluable,not evaluable,,,,not evaluable,not evaluable,,,,,,,,,,,,,,,,,,,,,,,
y_assay/BRCA1_included,calibrated_isotonic,single:alphamissense,0,0,0,,,,not evaluable,not evaluable,,,,not evaluable,not evaluable,,,,,,,,,,,,,,,,,,,,,,,
y_assay/BRCA1_included,raw,single:gnomad_af,492,198,294,1.349862258953168,0.9625850340136054,1.2904040404040409,below supporting,below supporting,1.349862258953168,0.9625850340136054,1.2904040404040409,below supporting,below supporting,0.0,0.0,0.0,0.05945821854912703,0.05945821854912703,0.9623655913978495,0.9623655913978495,1.0,1.0,0.0,0.9625850340136054,7.0,4.0,3.0,0.9489795918367347,1.0,1.0,0.0,0.9625850340136054,7.0,4.0,3.0,0.9489795918367347
y_assay/BRCA1_included,calibrated_isotonic,single:gnomad_af,492,198,294,1.2148760330578512,0.9625850340136054,1.122655122655122,below supporting,below supporting,1.2148760330578512,0.9625850340136054,1.122655122655122,below supporting,below supporting,0.0,0.0,0.0,0.09222091040272917,0.09222091040272917,0.5853658536585366,0.5853658536585366,8.0,4.0,4.0,0.9625850340136054,11.0,7.0,4.0,0.9387755102040817,8.0,4.0,4.0,0.9625850340136054,11.0,7.0,4.0,0.9387755102040817
y_assay/BRCA1_included,raw,single:phylop,1675,821,854,13.596833130328868,0.9508196721311475,13.459196102314245,Moderate,Moderate,13.596833130328868,0.9508196721311475,13.459196102314245,Moderate,Moderate,0.0,0.0,0.0,0.1376370280146233,0.1376370280146233,0.6610340340523798,0.6610340340523798,2.0,2.0,0.0,0.9508196721311475,6.0,1.0,5.0,0.949648711943794,2.0,2.0,0.0,0.9508196721311475,6.0,1.0,5.0,0.949648711943794
y_assay/BRCA1_included,calibrated_isotonic,single:phylop,1675,821,854,12.804303694681284,0.9508196721311475,12.673974827446195,Moderate,Moderate,12.804303694681284,0.9508196721311475,12.673974827446195,Moderate,Moderate,0.0,0.0,0.0,0.13032886723508952,0.13032886723508952,0.796875,0.796875,7.0,2.0,5.0,0.9508196721311475,17.0,3.0,14.0,0.9473067915690867,7.0,2.0,5.0,0.9508196721311475,17.0,3.0,14.0,0.9473067915690867
y_assay/BRCA1_included,raw,single:phastcons,1675,821,854,6.608296911943827,0.9800936768149883,5.327836597020521,Moderate,Moderate,6.608296911943827,0.9800936768149883,5.327836597020521,Moderate,Moderate,0.0,0.0,0.0,1.2804603149233067,1.2804603149233067,0.9885490297422471,0.9885490297422471,23.0,0.0,23.0,0.9800936768149883,207.0,39.0,168.0,0.9344262295081968,23.0,0.0,23.0,0.9800936768149883,207.0,39.0,168.0,0.9344262295081968
