condition,object,target_spec,threshold,sensitivity,specificity_achieved,n,n_pos,n_neg,lr_plus,lr_minus,lr_plus_interp,sensitivity_interp,acmg_tier_observed,acmg_tier,tier_basis
y_assay/BRCA1_included,fusion_M1,0.9,0.5220446679916843,0.9354445797807551,0.9004683840749415,1675,821,854,9.398466719208999,0.07169093480784801,9.354445797807553,0.9354445797807551,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,fusion_M1,0.95,0.5765367637769585,0.8891595615103532,0.9508196721311475,1675,821,854,18.079577750710516,0.1165735646184216,17.78319123020705,0.8891595615103532,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,fusion_M1,0.975,0.6719772924428487,0.7831912302070646,0.9754098360655737,1675,821,854,31.849776695087293,0.22227453709863965,31.32764920828255,0.7831912302070645,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_included,fusion_M1,0.99,0.7374109734382865,0.6382460414129111,0.990632318501171,1675,821,854,68.13276492082825,0.36517479980304246,63.824604141291054,0.6382460414129111,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_included,mean_M0b,0.9,0.5390817746061343,0.9037758830694276,0.9004683840749415,1675,821,854,9.080289460485778,0.10686007263811294,9.037758830694278,0.9037758830694276,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,mean_M0b,0.95,0.6152447730652313,0.8160779537149817,0.9508196721311475,1675,821,854,16.593585058871295,0.1934352555756227,16.32155907429962,0.8160779537149817,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,mean_M0b,0.975,0.6885820688826881,0.7186358099878197,0.9754098360655737,1675,821,854,29.22452293950467,0.2884574048864369,28.745432399512765,0.7186358099878197,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_included,mean_M0b,0.99,0.7723320395157532,0.5481120584652862,0.990632318501171,1675,821,854,58.5109622411693,0.4561611135586827,54.81120584652857,0.5481120584652862,Strong,Strong,interpolated to the nominal specificity
y_assay/BRCA1_included,spliceai,0.9,0.5198204074103354,0.9013398294762485,0.9004683840749415,1675,821,854,9.055814286737837,0.10956539093274878,9.013398294762487,0.9013398294762485,Moderate,Moderate,interpolated to the nominal specificity
y_assay/BRCA1_included,spliceai,0.95,0.5810834848604634,0.830694275274056,0.9508196721311475,1675,821,854,16.89078359723914,0.17806291738418245,16.613885505481107,0.830694275274056,Moderate,Moderate,interpolated to the nominal specificity
