model,rho_unw,rho_wgt,d_rho,Brier_unw,Brier_wgt,d_Brier,rank_unw,rank_wgt,rank_change
fusion_M1,0.7739817322056608,0.7605633886324545,-0.01341834357320626,0.06059426719774091,0.06356047622285414,0.0029662090251132353,1.0,1.0,0.0
single:pangolin,0.7645203688641381,0.7507178611258986,-0.013802507738239544,0.06883208054833935,0.07184706899650901,0.0030149884481696643,2.0,2.0,0.0
single:spliceai,0.7565615825695431,0.7423933233362202,-0.014168259233322877,0.07660853025389919,0.07897199442621243,0.0023634641723132427,3.0,3.0,0.0
single:alphagenome,0.7509667989880444,0.7378438467864987,-0.01312295220154569,0.07881667177865087,0.0829796040033143,0.004162932224663435,4.0,4.0,0.0
mean_M0b,0.7506618322714825,0.7365612225469099,-0.01410060972457261,0.07655055534409858,0.07965098803983388,0.003100432695735303,5.0,5.0,0.0
single:cadd,0.6954226083661365,0.6796293648086923,-0.01579324355744416,0.11101927632843489,0.11363179392036937,0.0026125175919344823,6.0,6.0,0.0
single:gpn_msa,0.6660638341685492,0.6518265047769652,-0.014237329391583953,0.11837967379307335,0.12080756140496106,0.0024278876118877107,7.0,7.0,0.0
single:phylop,0.6392005285674707,0.6246680142471814,-0.014532514320289236,0.1289560419319131,0.1301771230214217,0.0012210810895086077,8.0,8.0,0.0
single:phastcons,0.6140011475294446,0.5979109281012799,-0.016090219428164687,0.14669793607252515,0.1499464468156941,0.003248510743168953,9.0,9.0,0.0
single:nt,0.4946515105287746,0.48260877607503977,-0.012042734453734827,0.19779160565301815,0.19701691686571235,-0.0007746887873057995,10.0,10.0,0.0
single:gnomad_af,0.18654144100711215,0.18061008858584016,-0.00593135242127199,0.24192435017040415,0.2355277187474123,-0.00639663142299185,11.0,11.0,0.0
