scheme,model,rho,rank,ci_lo,ci_hi,excludes_zero
unweighted,fusion_M1,0.7739817322056608,1.0,,,
unweighted,single:pangolin,0.7645203688641381,2.0,,,
unweighted,single:spliceai,0.7565615825695431,3.0,,,
unweighted,single:alphagenome,0.7509667989880444,4.0,,,
unweighted,mean_M0b,0.7506618322714825,5.0,,,
unweighted,single:cadd,0.6954226083661365,6.0,,,
unweighted,single:gpn_msa,0.6660638341685492,7.0,,,
unweighted,single:phylop,0.6392005285674707,8.0,,,
unweighted,single:phastcons,0.6140011475294446,9.0,,,
unweighted,single:nt,0.4946515105287746,10.0,,,
unweighted,single:gnomad_af,0.18654144100711215,11.0,,,
unweighted,DELTA fusion-pangolin,0.0094613633415227,,-0.00027407354059570124,0.019343006118317674,False
quintile,fusion_M1,0.7592029935997592,1.0,,,
quintile,single:pangolin,0.749203414421152,2.0,,,
quintile,single:spliceai,0.741294105333826,3.0,,,
quintile,single:alphagenome,0.7359903935144361,4.0,,,
quintile,mean_M0b,0.7355246650583389,5.0,,,
quintile,single:cadd,0.677835411952503,6.0,,,
quintile,single:gpn_msa,0.6504660809201076,7.0,,,
quintile,single:phylop,0.6234023964918392,8.0,,,
quintile,single:phastcons,0.5964418689955627,9.0,,,
quintile,single:nt,0.48075463864006535,10.0,,,
quintile,single:gnomad_af,0.18125983838524892,11.0,,,
quintile,DELTA fusion-pangolin,0.009999579178607165,,0.00017441651265469595,0.020851630629621302,True
decile,fusion_M1,0.7605633886324545,1.0,,,
decile,single:pangolin,0.7507178611258986,2.0,,,
decile,single:spliceai,0.7423933233362202,3.0,,,
decile,single:alphagenome,0.7378438467864987,4.0,,,
decile,mean_M0b,0.7365612225469099,5.0,,,
decile,single:cadd,0.6796293648086923,6.0,,,
decile,single:gpn_msa,0.6518265047769652,7.0,,,
decile,single:phylop,0.6246680142471814,8.0,,,
decile,single:phastcons,0.5979109281012799,9.0,,,
decile,single:nt,0.48260877607503977,10.0,,,
decile,single:gnomad_af,0.18061008858584016,11.0,,,
decile,DELTA fusion-pangolin,0.009845527506555984,,0.0006030140120283328,0.020539852321461848,True
vigintile,fusion_M1,0.7610099963499243,1.0,,,
vigintile,single:pangolin,0.7512491755461399,2.0,,,
vigintile,single:spliceai,0.7428181363111922,3.0,,,
vigintile,single:alphagenome,0.7381698098400825,4.0,,,
vigintile,mean_M0b,0.7371584813254539,5.0,,,
vigintile,single:cadd,0.6802407815911551,6.0,,,
vigintile,single:gpn_msa,0.6531899614550508,7.0,,,
vigintile,single:phylop,0.6261336147884013,8.0,,,
vigintile,single:phastcons,0.5993247010438559,9.0,,,
vigintile,single:nt,0.4840256586983365,10.0,,,
vigintile,single:gnomad_af,0.17988424429062633,11.0,,,
vigintile,DELTA fusion-pangolin,0.009760820803784376,,0.0002956155048887522,0.019448418315297325,True
decile_truncated,fusion_M1,0.7605633886324545,1.0,,,
decile_truncated,single:pangolin,0.7507178611258986,2.0,,,
decile_truncated,single:spliceai,0.7423933233362202,3.0,,,
decile_truncated,single:alphagenome,0.7378438467864987,4.0,,,
decile_truncated,mean_M0b,0.7365612225469099,5.0,,,
decile_truncated,single:cadd,0.6796293648086923,6.0,,,
decile_truncated,single:gpn_msa,0.6518265047769652,7.0,,,
decile_truncated,single:phylop,0.6246680142471814,8.0,,,
decile_truncated,single:phastcons,0.5979109281012799,9.0,,,
decile_truncated,single:nt,0.48260877607503977,10.0,,,
decile_truncated,single:gnomad_af,0.18061008858584016,11.0,,,
decile_truncated,DELTA fusion-pangolin,0.009845527506555984,,0.0006030140120283328,0.020539852321461848,True
