bin,p_full,p_int,n_frame,n_obs,w_raw,w_norm,scheme
0,0.19993922819811608,0.18665158371040724,658,330,1.071189561982634,1.0711895619826342,quintile
1,0.19993922819811608,0.16911764705882354,658,299,1.1822493493453818,1.182249349345382,quintile
2,0.2002430872075357,0.16968325791855204,659,300,1.1800992606097436,1.1800992606097438,quintile
3,0.19963536918869645,0.22002262443438914,657,389,0.9073401869553094,0.9073401869553095,quintile
4,0.2002430872075357,0.25452488687782804,659,450,0.7867328404064958,0.7867328404064959,quintile
0,0.09996961409905804,0.09785067873303167,329,173,1.021654784549911,1.021654784549911,decile
1,0.09996961409905804,0.08880090497737557,329,157,1.1257724695995834,1.1257724695995834,decile
2,0.09996961409905804,0.08257918552036199,329,146,1.2105909433365385,1.2105909433365385,decile
3,0.09996961409905804,0.08653846153846154,329,153,1.155204429589115,1.155204429589115,decile
4,0.09996961409905804,0.08088235294117647,329,143,1.2359879561338083,1.2359879561338083,decile
5,0.10027347310847767,0.08880090497737557,330,157,1.1291942704190352,1.1291942704190352,decile
6,0.0996657550896384,0.10576923076923077,328,187,0.9422944117565812,0.9422944117565812,decile
7,0.09996961409905804,0.11425339366515837,329,202,0.874981572906607,0.874981572906607,decile
8,0.09996961409905804,0.13970588235294118,329,247,0.7155719746037839,0.7155719746037839,decile
9,0.10027347310847767,0.11481900452488687,330,203,0.8733177362354115,0.8733177362354115,decile
0,0.05013673655423884,0.048642533936651584,165,86,1.0307180259057471,1.0307180259057471,vigintile
1,0.0498328775448192,0.04920814479638009,164,87,1.012695718382073,1.012695718382073,vigintile
2,0.05013673655423884,0.04694570135746606,165,83,1.067972894311979,1.067972894311979,vigintile
3,0.0498328775448192,0.0418552036199095,164,74,1.1906017229627075,1.1906017229627075,vigintile
4,0.05013673655423884,0.04524886877828054,165,80,1.1080218778486783,1.1080218778486783,vigintile
5,0.0498328775448192,0.03733031674208145,164,66,1.3349170833218236,1.3349170833218236,vigintile
6,0.05013673655423884,0.04581447963800905,165,81,1.0943425954061021,1.0943425954061021,vigintile
7,0.0498328775448192,0.04072398190045249,164,72,1.223673993045005,1.223673993045005,vigintile
8,0.05013673655423884,0.03733031674208145,165,66,1.3430568216347616,1.3430568216347616,vigintile
9,0.0498328775448192,0.04355203619909502,164,77,1.1442146428472773,1.1442146428472773,vigintile
10,0.05013673655423884,0.04524886877828054,165,80,1.1080218778486783,1.1080218778486783,vigintile
11,0.05013673655423884,0.04355203619909502,165,77,1.1511915614012243,1.1511915614012243,vigintile
12,0.0498328775448192,0.048642533936651584,164,86,1.0244712499911668,1.0244712499911668,vigintile
13,0.0498328775448192,0.057126696832579184,164,101,0.8723220544479242,0.8723220544479242,vigintile
14,0.05013673655423884,0.05373303167420815,165,95,0.9330710550304658,0.9330710550304658,vigintile
15,0.0498328775448192,0.060520361990950226,164,107,0.823406799058321,0.823406799058321,vigintile
16,0.05013673655423884,0.07183257918552036,165,127,0.6979665372275139,0.6979665372275139,vigintile
17,0.0498328775448192,0.06787330316742081,164,120,0.7342043958270029,0.7342043958270029,vigintile
18,0.05013673655423884,0.05995475113122172,165,106,0.8362429266782477,0.8362429266782477,vigintile
19,0.05013673655423884,0.05486425339366516,165,97,0.9138324765762296,0.9138324765762296,vigintile
