set,calib,model,ECE,Brier,actionable_frac,actionable_acc,n_actionable
y_assay/BRCA1_included,isotonic,fusion_M1,0.026,0.0631,0.751,0.9682,1258
y_assay/BRCA1_included,isotonic,mean_M0b,0.0118,0.0775,0.6973,0.9709,1168
y_assay/BRCA1_included,isotonic,single:spliceai,0.047,0.0807,0.7433,0.9446,1245
y_assay/BRCA1_included,isotonic,single:pangolin,0.0325,0.0717,0.7522,0.9627,1260
y_assay/BRCA1_included,isotonic,single:alphagenome,0.0256,0.0806,0.7009,0.9634,1174
y_assay/BRCA1_included,isotonic,single:gpn_msa,0.0249,0.1179,0.4722,0.9494,791
y_assay/BRCA1_included,isotonic,single:nt,0.0385,0.1981,0.0884,0.7905,148
y_assay/BRCA1_included,isotonic,single:cadd,0.0481,0.1134,0.5197,0.9328,804
y_assay/BRCA1_included,isotonic,single:alphamissense,,,,,0
y_assay/BRCA1_included,isotonic,single:gnomad_af,0.0605,0.2419,0.0183,0.6667,9
y_assay/BRCA1_included,isotonic,single:phylop,0.0349,0.1284,0.4513,0.9339,756
y_assay/BRCA1_included,isotonic,single:phastcons,0.0543,0.1478,0.2096,0.8632,351
y_assay/BRCA1_excluded,isotonic,fusion_M1,0.0309,0.0677,0.7543,0.9625,881
y_assay/BRCA1_excluded,isotonic,mean_M0b,0.025,0.0809,0.7235,0.9609,845
y_assay/BRCA1_excluded,isotonic,single:spliceai,0.0596,0.0905,0.7003,0.9267,818
y_assay/BRCA1_excluded,isotonic,single:pangolin,0.029,0.0793,0.7132,0.9616,833
y_assay/BRCA1_excluded,isotonic,single:alphagenome,0.0373,0.0867,0.7046,0.9611,823
y_assay/BRCA1_excluded,isotonic,single:gpn_msa,0.0403,0.1204,0.4897,0.9423,572
y_assay/BRCA1_excluded,isotonic,single:nt,0.053,0.1779,0.2021,0.9364,236
y_assay/BRCA1_excluded,isotonic,single:cadd,0.0294,0.1041,0.6707,0.9376,721
y_assay/BRCA1_excluded,isotonic,single:alphamissense,,,,,0
y_assay/BRCA1_excluded,isotonic,single:gnomad_af,0.082,0.2444,0.0197,0.625,8
y_assay/BRCA1_excluded,isotonic,single:phylop,0.0363,0.1293,0.4281,0.93,500
y_assay/BRCA1_excluded,isotonic,single:phastcons,0.0676,0.1491,0.1772,0.8213,207
y_clinvar/BRCA1_included,isotonic,fusion_M1,0.0113,0.0105,0.9767,0.9946,924
y_clinvar/BRCA1_included,isotonic,mean_M0b,0.0126,0.0148,0.9535,0.9922,902
y_clinvar/BRCA1_included,isotonic,single:spliceai,0.0302,0.0369,0.8964,0.9764,848
y_clinvar/BRCA1_included,isotonic,single:pangolin,0.0178,0.0223,0.9514,0.9911,900
y_clinvar/BRCA1_included,isotonic,single:alphagenome,0.0233,0.0361,0.8911,0.9858,843
y_clinvar/BRCA1_included,isotonic,single:gpn_msa,0.0336,0.0641,0.7315,0.9769,692
y_clinvar/BRCA1_included,isotonic,single:nt,0.0879,0.1668,0.352,0.9279,333
y_clinvar/BRCA1_included,isotonic,single:cadd,0.025,0.0366,0.901,0.9874,792
y_clinvar/BRCA1_included,isotonic,single:alphamissense,,,,,0
y_clinvar/BRCA1_included,isotonic,single:gnomad_af,0.1341,0.2478,0.0243,0.5714,7
y_clinvar/BRCA1_included,isotonic,single:phylop,0.0177,0.0553,0.8055,0.9777,762
y_clinvar/BRCA1_included,isotonic,single:phastcons,0.0366,0.0796,0.7548,0.9552,714
y_clinvar/BRCA1_excluded,isotonic,fusion_M1,0.0139,0.0117,0.9823,0.9903,721
y_clinvar/BRCA1_excluded,isotonic,mean_M0b,0.0121,0.0164,0.951,0.99,698
y_clinvar/BRCA1_excluded,isotonic,single:spliceai,0.0541,0.0482,0.8924,0.9695,655
y_clinvar/BRCA1_excluded,isotonic,single:pangolin,0.0296,0.031,0.9292,0.9897,682
