,BRCA2,PALB2,BRCA1,RAD51C,BARD1,VHL,BAP1
alphagenome,0.21988432571347744,0.2007380619020022,0.2590577200588342,0.21548639575349243,0.2090964174383276,0.21983170834046906,0.23102898376490308
alphagenome_isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alphamissense,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alphamissense_isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cadd,0.027909472038532043,0.03331855733743408,0.046506664632786826,0.004332801645637122,0.010071443948394914,0.013517931418664593,0.05139110375339228
cadd_isna,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
gnomad_af,0.0,0.025859200172864433,0.0,0.0,0.0,0.0,0.0
gnomad_af_isna,0.004169178678050288,0.0069644846461022905,0.003636999992203953,0.0,-0.0,0.0,-0.0
gpn_msa,0.11209224968447885,0.1036968960886735,0.09871707380022765,0.10221505533959217,0.12601528525759675,0.11696503810490899,0.11466749025882232
gpn_msa_isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nt,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
nt_isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pangolin,0.195088091901862,0.19118066615474233,0.24626104187812498,0.24806069214127363,0.19765711644113595,0.21962336791132892,0.17041676235531017
pangolin_isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phastcons,0.04922041593185851,0.05568575651080622,0.02029992381406108,0.06464647608964567,0.07745175437345797,0.04657331559956091,0.042399661731041316
phastcons_isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phylop,0.0383700686580339,0.03662720278974514,0.00393607578931751,0.0014948918106709082,0.0,0.013954223826706294,0.02621455179977089
phylop_isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spliceai,0.1894300912510176,0.22623049997552347,0.15656741592332293,0.20275899494792138,0.2114890634987991,0.20423823793386028,0.1966228221769729
spliceai_isna,0.0,0.0,0.0,0.0,0.0,0.0,0.0
