n_training_genes,held_out_gene,training_genes,n_test,brier
6,BRCA2,PALB2+BRCA1+RAD51C+BARD1+VHL+BAP1,268,0.06167255797080743
6,PALB2,BRCA2+BRCA1+RAD51C+BARD1+VHL+BAP1,215,0.070955121492878
6,BRCA1,BRCA2+PALB2+RAD51C+BARD1+VHL+BAP1,507,0.053855875425863814
6,RAD51C,BRCA2+PALB2+BRCA1+BARD1+VHL+BAP1,168,0.052540300202231265
6,BARD1,BRCA2+PALB2+BRCA1+RAD51C+VHL+BAP1,197,0.05484397549859369
6,VHL,BRCA2+PALB2+BRCA1+RAD51C+BARD1+BAP1,53,0.016565757112298792
6,BAP1,BRCA2+PALB2+BRCA1+RAD51C+BARD1+VHL,267,0.10191355141223708
5,BRCA2,PALB2+BRCA1+RAD51C+BARD1+VHL,268,0.0576001204607341
5,BRCA2,PALB2+BRCA1+RAD51C+BARD1+BAP1,268,0.06160846408097793
5,BRCA2,PALB2+BRCA1+RAD51C+VHL+BAP1,268,0.061653704024370905
5,BRCA2,PALB2+BRCA1+BARD1+VHL+BAP1,268,0.06236414246474664
5,BRCA2,PALB2+RAD51C+BARD1+VHL+BAP1,268,0.059449901761626386
5,BRCA2,BRCA1+RAD51C+BARD1+VHL+BAP1,268,0.06390296460595382
5,PALB2,BRCA2+BRCA1+RAD51C+BARD1+VHL,215,0.07035398045621288
5,PALB2,BRCA2+BRCA1+RAD51C+BARD1+BAP1,215,0.07046695478824613
5,PALB2,BRCA2+BRCA1+RAD51C+VHL+BAP1,215,0.0691508993818727
5,PALB2,BRCA2+BRCA1+BARD1+VHL+BAP1,215,0.07346687387142957
5,PALB2,BRCA2+RAD51C+BARD1+VHL+BAP1,215,0.06663742355026751
5,PALB2,BRCA1+RAD51C+BARD1+VHL+BAP1,215,0.07452203026389663
5,BRCA1,BRCA2+PALB2+RAD51C+BARD1+VHL,507,0.0565505823849767
5,BRCA1,BRCA2+PALB2+RAD51C+BARD1+BAP1,507,0.052340389712532985
5,BRCA1,BRCA2+PALB2+RAD51C+VHL+BAP1,507,0.05597023020102063
5,BRCA1,BRCA2+PALB2+BARD1+VHL+BAP1,507,0.05331782745458557
5,BRCA1,BRCA2+RAD51C+BARD1+VHL+BAP1,507,0.05392278375100456
5,BRCA1,PALB2+RAD51C+BARD1+VHL+BAP1,507,0.05491095944496308
5,RAD51C,BRCA2+PALB2+BRCA1+BARD1+VHL,168,0.05427200557878349
5,RAD51C,BRCA2+PALB2+BRCA1+BARD1+BAP1,168,0.05296471626200629
5,RAD51C,BRCA2+PALB2+BRCA1+VHL+BAP1,168,0.054771162785399716
5,RAD51C,BRCA2+PALB2+BARD1+VHL+BAP1,168,0.05522280128593694
5,RAD51C,BRCA2+BRCA1+BARD1+VHL+BAP1,168,0.05448664375731399
5,RAD51C,PALB2+BRCA1+BARD1+VHL+BAP1,168,0.05570706543564451
5,BARD1,BRCA2+PALB2+BRCA1+RAD51C+VHL,197,0.05715645020278495
5,BARD1,BRCA2+PALB2+BRCA1+RAD51C+BAP1,197,0.05558586236998158
5,BARD1,BRCA2+PALB2+BRCA1+VHL+BAP1,197,0.05391253758967121
5,BARD1,BRCA2+PALB2+RAD51C+VHL+BAP1,197,0.057280119904173456
5,BARD1,BRCA2+BRCA1+RAD51C+VHL+BAP1,197,0.05301137663210764
5,BARD1,PALB2+BRCA1+RAD51C+VHL+BAP1,197,0.05484088060046312
5,VHL,BRCA2+PALB2+BRCA1+RAD51C+BARD1,53,0.0160008166656974
5,VHL,BRCA2+PALB2+BRCA1+RAD51C+BAP1,53,0.016891890352262937
5,VHL,BRCA2+PALB2+BRCA1+BARD1+BAP1,53,0.015372154425377885
5,VHL,BRCA2+PALB2+RAD51C+BARD1+BAP1,53,0.01580522187590567
5,VHL,BRCA2+BRCA1+RAD51C+BARD1+BAP1,53,0.017675977449023016
5,VHL,PALB2+BRCA1+RAD51C+BARD1+BAP1,53,0.01857629913947137
5,BAP1,BRCA2+PALB2+BRCA1+RAD51C+BARD1,267,0.1018337568876401
5,BAP1,BRCA2+PALB2+BRCA1+RAD51C+VHL,267,0.10175038676504329
5,BAP1,BRCA2+PALB2+BRCA1+BARD1+VHL,267,0.10210288406721997
5,BAP1,BRCA2+PALB2+RAD51C+BARD1+VHL,267,0.10396313728206905
5,BAP1,BRCA2+BRCA1+RAD51C+BARD1+VHL,267,0.09954783186775454
5,BAP1,PALB2+BRCA1+RAD51C+BARD1+VHL,267,0.09957342188064207
4,BRCA2,PALB2+BRCA1+RAD51C+BARD1,268,0.057801450967682674
4,BRCA2,PALB2+BRCA1+RAD51C+VHL,268,0.05871435097911728
4,BRCA2,PALB2+BRCA1+RAD51C+BAP1,268,0.06142051013793747
4,BRCA2,PALB2+BRCA1+BARD1+VHL,268,0.05866035656753067
4,BRCA2,PALB2+BRCA1+BARD1+BAP1,268,0.06262824291143883
4,BRCA2,PALB2+BRCA1+VHL+BAP1,268,0.06396342735391779
4,BRCA2,PALB2+RAD51C+BARD1+VHL,268,0.05675486733422478
4,BRCA2,PALB2+RAD51C+BARD1+BAP1,268,0.05972245143921453
4,BRCA2,PALB2+RAD51C+VHL+BAP1,268,0.060347313279465936
4,BRCA2,PALB2+BARD1+VHL+BAP1,268,0.060346996798530186
4,BRCA2,BRCA1+RAD51C+BARD1+VHL,268,0.06128358648379137
4,BRCA2,BRCA1+RAD51C+BARD1+BAP1,268,0.06557926528273629
4,BRCA2,BRCA1+RAD51C+VHL+BAP1,268,0.0655982792550531
4,BRCA2,BRCA1+BARD1+VHL+BAP1,268,0.06651956666414677
4,BRCA2,RAD51C+BARD1+VHL+BAP1,268,0.06421193537092194
4,PALB2,BRCA2+BRCA1+RAD51C+BARD1,215,0.06904963890921673
4,PALB2,BRCA2+BRCA1+RAD51C+VHL,215,0.06479177793543858
4,PALB2,BRCA2+BRCA1+RAD51C+BAP1,215,0.07156437495721182
4,PALB2,BRCA2+BRCA1+BARD1+VHL,215,0.07012335191132517
4,PALB2,BRCA2+BRCA1+BARD1+BAP1,215,0.07403692367145416
4,PALB2,BRCA2+BRCA1+VHL+BAP1,215,0.07109593027220688
4,PALB2,BRCA2+RAD51C+BARD1+VHL,215,0.06683507658033543
4,PALB2,BRCA2+RAD51C+BARD1+BAP1,215,0.06843636468552339
