dropped,k_remaining,fusion_rho,single_rho,delta_rho
BAP1+BARD1,5,0.7562884309727287,0.7413605668604463,0.014927864112282418
BAP1+BRCA1,5,0.7811404303430627,0.7654330324665509,0.015707397876511764
BAP1+BRCA2,5,0.7785669355435808,0.7598728835212005,0.01869405202238028
BAP1+PALB2,5,0.7853274081923134,0.7671937895194423,0.01813361867287111
BAP1+RAD51C,5,0.7792551868813888,0.76617763410273,0.013077552778658852
BAP1+VHL,5,0.776672545206729,0.7607980735331372,0.015874471673591795
BARD1+BRCA1,5,0.7555249816190707,0.7494352130769293,0.006089768542141383
BARD1+BRCA2,5,0.7541179289875414,0.742921485958851,0.011196443028690384
BARD1+PALB2,5,0.7610841475820034,0.7500691914816637,0.011014956100339646
BARD1+RAD51C,5,0.7559392082769252,0.7488335241829643,0.00710568409396084
BARD1+VHL,5,0.7558735089107977,0.7461585519841495,0.009714956926648255
BRCA1+BRCA2,5,0.7790378980103176,0.7671079243287456,0.011929973681572004
BRCA1+PALB2,5,0.7861876721492059,0.7748564308029403,0.01133124134626562
BRCA1+RAD51C,5,0.7798431644905222,0.7734804058935754,0.006362758596946794
BRCA1+VHL,5,0.7772036453488279,0.7674684689936061,0.009735176355221808
BRCA2+PALB2,5,0.7833442400984748,0.7688200393150072,0.014524200783467611
BRCA2+RAD51C,5,0.7772579662980619,0.7677779668635948,0.00947999943446709
BRCA2+VHL,5,0.7747933524376598,0.7623009880495117,0.012492364388148047
PALB2+RAD51C,5,0.7837573080716108,0.7742997370205483,0.009457571051062486
PALB2+VHL,5,0.7808989498143601,0.7686464076562485,0.012252542158111668
RAD51C+VHL,5,0.7754706533795104,0.7676052103125275,0.007865443066982891
