condition,object,target_spec,threshold,sensitivity,specificity_achieved,n,n_pos,n_neg,lr_plus,lr_minus,acmg_tier
y_assay/BRCA1_included,fusion_M1,0.9,0.5076756769127356,0.9354445797807551,0.9004683840749415,1675,821,854,9.398466719208999,0.07169093480784801,Moderate
y_assay/BRCA1_included,fusion_M1,0.95,0.5643525654623376,0.8891595615103532,0.9508196721311475,1675,821,854,18.079577750710516,0.1165735646184216,Moderate
y_assay/BRCA1_included,fusion_M1,0.975,0.6643770505874057,0.7807551766138855,0.9754098360655737,1675,821,854,31.750710515631344,0.2247720038076132,Strong
y_assay/BRCA1_included,fusion_M1,0.99,0.7338776599926582,0.6321559074299634,0.990632318501171,1675,821,854,67.4826431181486,0.37132252370545066,Strong
y_assay/BRCA1_included,mean_M0b,0.9,0.5360566551899664,0.9037758830694276,0.9004683840749415,1675,821,854,9.080289460485778,0.10686007263811294,Moderate
y_assay/BRCA1_included,mean_M0b,0.95,0.6154439715863519,0.8148599269183922,0.9508196721311475,1675,821,854,16.568818514007308,0.19471628375824274,Moderate
y_assay/BRCA1_included,mean_M0b,0.975,0.6873921926296073,0.7186358099878197,0.9754098360655737,1675,821,854,29.22452293950467,0.2884574048864369,Strong
y_assay/BRCA1_included,mean_M0b,0.99,0.7719239128682525,0.5493300852618758,0.990632318501171,1675,821,854,58.64098660170524,0.45493156877820107,Strong
y_assay/BRCA1_included,spliceai,0.9,0.5076385884663658,0.9013398294762485,0.9004683840749415,1675,821,854,9.055814286737837,0.10956539093274878,Moderate
y_assay/BRCA1_included,spliceai,0.95,0.5670967422152647,0.8319123020706456,0.9508196721311475,1675,821,854,16.91555014210313,0.1767818892015624,Moderate
y_assay/BRCA1_included,spliceai,0.975,0.6549514106869466,0.6857490864799025,0.9765807962529274,1675,821,854,29.281485992691834,0.32178690665007587,Strong
y_assay/BRCA1_included,spliceai,0.99,0.8146653216509401,0.3982947624847747,0.990632318501171,1675,821,854,42.517965895249695,0.6073951215579225,Strong
y_assay/BRCA1_included,pangolin,0.9,0.47079721399331764,0.928136419001218,0.9004683840749415,1675,821,854,9.325041197965179,0.07980688969175528,Moderate
y_assay/BRCA1_included,pangolin,0.95,0.5484900845124991,0.8392204628501827,0.9508196721311475,1675,821,854,17.064149411287048,0.16909572010584234,Moderate
y_assay/BRCA1_included,pangolin,0.975,0.6133818051668973,0.7442143727161997,0.9754098360655737,1675,821,854,30.26471782379212,0.2622340044422154,Strong
y_assay/BRCA1_included,pangolin,0.99,0.8691549131129395,0.26674786845310594,0.9929742388758782,1675,821,854,37.96711327649208,0.7384402362512353,Strong
y_assay/BRCA1_included,alphagenome,0.9,0.5162166969720927,0.904993909866017,0.9004683840749415,1675,821,854,9.092527047359747,0.10550741349079513,Moderate
y_assay/BRCA1_included,alphagenome,0.95,0.6098901098901099,0.7734470158343484,0.9508196721311475,1675,821,854,15.726755988631751,0.23827124196732327,Moderate
y_assay/BRCA1_included,alphagenome,0.975,0.6776556776556776,0.6552984165651644,0.9754098360655737,1675,821,854,26.64880227365002,0.3533915393197474,Strong
y_assay/BRCA1_included,alphagenome,0.99,0.7912087912087912,0.4299634591961023,0.990632318501171,1675,821,854,45.89859926918392,0.5754269572654003,Strong
y_assay/BRCA1_included,gpn_msa,0.9,0.5750915750915752,0.784409257003654,0.9004683840749415,1675,821,854,7.881005946836712,0.23942066907526585,Moderate
y_assay/BRCA1_included,gpn_msa,0.95,0.6728159340659341,0.6358099878197321,0.9508196721311475,1675,821,854,12.92813641900122,0.38302742660338523,Moderate
