set,scheme,model,Brier,ECE,actionable_frac,actionable_acc
y_assay/BRCA1_included,unweighted,fusion_M1,0.06058534457667527,0.02325128712152384,0.7650240384615384,0.9717203456402199
y_assay/BRCA1_included,unweighted,mean_M0b,0.07663039485858564,0.01929518570800732,0.7043269230769231,0.9709897610921502
y_assay/BRCA1_included,unweighted,single:spliceai,0.07634836034589182,0.04587735245232741,0.7049278846153846,0.948849104859335
y_assay/BRCA1_included,unweighted,single:pangolin,0.0704033989574173,0.031145223967598293,0.7391826923076923,0.9650406504065041
y_assay/BRCA1_included,unweighted,single:alphagenome,0.07881667177865087,0.025014271616207735,0.7211538461538461,0.9608333333333333
y_assay/BRCA1_included,unweighted,single:gpn_msa,0.11837967379307335,0.026097210034236054,0.4723557692307692,0.9491094147582697
y_assay/BRCA1_included,unweighted,single:nt,0.19838697191619703,0.047442724749674675,0.08653846153846154,0.7847222222222222
y_assay/BRCA1_included,unweighted,single:cadd,0.11101927632843489,0.04083713631746197,0.5201822916666666,0.9361702127659575
y_assay/BRCA1_included,unweighted,single:alphamissense,,,,
y_assay/BRCA1_included,unweighted,single:gnomad_af,0.24192435017040415,0.060496762562645925,0.018292682926829267,0.6666666666666666
y_assay/BRCA1_included,unweighted,single:phylop,0.1289560419319131,0.03458965587471414,0.4519230769230769,0.9335106382978723
y_assay/BRCA1_included,unweighted,single:phastcons,0.14669793607252515,0.053932821740161827,0.2109375,0.8632478632478633
y_assay/BRCA1_included,quintile,fusion_M1,0.06388537015543848,0.026188046898024432,0.7559106984184706,0.968836595120515
y_assay/BRCA1_included,quintile,mean_M0b,0.08008095753985899,0.022923135048557794,0.6968681436299093,0.9690064426905998
y_assay/BRCA1_included,quintile,single:spliceai,0.07907753793270546,0.04639841904222831,0.6959576331661727,0.9463693724985854
y_assay/BRCA1_included,quintile,single:pangolin,0.07383940708381048,0.03354746712103716,0.7346391058803908,0.9621995363764725
y_assay/BRCA1_included,quintile,single:alphagenome,0.0830577800651497,0.030896973551307823,0.7193815456571245,0.9574784584532005
y_assay/BRCA1_included,quintile,single:gpn_msa,0.12096030181778823,0.030409818427907923,0.46614996916015145,0.9454633135703564
y_assay/BRCA1_included,quintile,single:nt,0.1979311877369179,0.04910898772415591,0.08425276402658641,0.777305653270517
y_assay/BRCA1_included,quintile,single:cadd,0.1140639858438286,0.04521329755310364,0.5082764118537474,0.9323412209615267
y_assay/BRCA1_included,quintile,single:alphamissense,,,,
y_assay/BRCA1_included,quintile,single:gnomad_af,0.235186200100271,0.06285742152036096,0.01798790569318002,0.6634756195745036
y_assay/BRCA1_included,quintile,single:phylop,0.13053749322806923,0.034380975708183895,0.4355626848380409,0.9294356441396597
