draw,delta_rho
0,0.012724356259406155
1,0.012852684791158309
2,0.012530447724321103
3,0.013069976417150131
4,0.012678552452986769
5,0.01251262014198351
6,0.01326248999609514
7,0.012638154940151303
8,0.012764709887761905
9,0.01284049945638277
10,0.012894633226613328
11,0.01299138160151092
12,0.01267896523037515
13,0.013381415930959872
14,0.013276074195235243
15,0.012405695175752185
16,0.013073148756689745
17,0.01316726588589523
18,0.011942990635941175
19,0.01301468034125186
20,0.012745519698742935
21,0.012666936467423784
22,0.012707340367206887
23,0.012687193282166165
24,0.012840611844209482
25,0.013053916900876983
26,0.0126151398111094
27,0.012825959779950935
28,0.012872784524325609
29,0.012928946357679938
30,0.013427759306084086
31,0.013116695377222709
32,0.012936421550156951
33,0.012380345135148296
34,0.012773950373229148
35,0.012606544208006554
36,0.012727123348204916
37,0.012753342309218985
38,0.01344936287427223
39,0.012594143249584522
40,0.013147475980172296
41,0.012416824477150867
42,0.012896305270646446
43,0.013100928146286606
44,0.012456306395233652
45,0.012334184025939443
46,0.013229872038897694
47,0.013026430215567486
48,0.012597006261897192
49,0.01254756287311909
50,0.012910296533471977
51,0.013005478275414983
52,0.012677437324539631
53,0.01321961535348537
54,0.011723391832056507
55,0.013781051749895856
56,0.012986944164055436
57,0.013327255202622457
58,0.012995695044456412
59,0.012524133117828962
60,0.013116395398145686
61,0.012559065356945065
62,0.01282903722858908
63,0.012783301542327319
64,0.012710949820450845
65,0.012880469214099466
66,0.012934333584799007
67,0.01293359784337178
68,0.012937486633475714
69,0.012584094469130891
70,0.01250308498688546
71,0.012526368382594688
72,0.012977130322659236
73,0.012236483884413119
74,0.012625315269946702
75,0.012973832169270061
76,0.012246759417308128
77,0.012719082518459324
78,0.012238320869676578
79,0.01263822246539803
80,0.013052391680299813
81,0.013787089929325202
82,0.012602288101928205
83,0.014394524101874806
84,0.012985485875303682
85,0.012625744701039165
86,0.01222601209741181
87,0.013016057236754475
88,0.013349903852468592
89,0.012433444698168872
90,0.013226013851904916
91,0.012634390813794472
92,0.012780900198531953
93,0.012217910721092462
94,0.013326702691798586
95,0.013518970088454374
96,0.013117867562221774
97,0.013042006493439118
98,0.013653527707366053
99,0.012469895948250431
100,0.012572741863249304
101,0.012940378020199317
102,0.012656021550103924
103,0.012450597806568764
104,0.012388884639842113
105,0.012865950520994596
106,0.012544987667670426
107,0.013201605920052706
108,0.012724973953748275
109,0.012722506329656769
110,0.012596721812611622
111,0.01211622020473102
112,0.012894599957620434
113,0.013005319945589733
114,0.013063832653413598
115,0.013541855232962141
116,0.012941430840651691
117,0.013368757382506535
118,0.012863169724698365
119,0.013414910138401792
120,0.012488234078965044
121,0.012748157223115064
122,0.012845860488776117
123,0.012639850390819052
124,0.012968002345607355
125,0.012638122842118071
126,0.012663687244405364
127,0.012770541588839168
128,0.013058771270310854
129,0.012737417021758346
130,0.012702945010801159
131,0.012952195692913282
132,0.012631108811881231
133,0.01211886131486506
134,0.013491519375028238
135,0.013368077739818296
136,0.013266634111908093
137,0.012835511742800287
138,0.013158164666688399
139,0.012569141178773724
140,0.012908584232151132
141,0.012713274949136655
142,0.012581447003691015
143,0.012977118462142112
144,0.012976791807088217
145,0.012777628562875565
146,0.013071433475255745
147,0.013323452383967482
148,0.013020671901523229
149,0.01238255200559546
150,0.012654766330277956
151,0.012477186057780365
152,0.013468466630618403
153,0.012690127784559246
154,0.012837544136490964
155,0.01247354275918966
156,0.013140387640845685
157,0.013347155991416226
158,0.012720836965342985
159,0.013074955627744855
160,0.013398231890010881
161,0.012608023863351692
162,0.012892733373261245
163,0.013158282737977478
164,0.01346568269398074
165,0.012524059866174553
166,0.013314980300618284
167,0.012676424210700366
168,0.012860355187625294
169,0.012970159946023019
170,0.012679236732349386
171,0.012793705935204236
172,0.012745264658642896
173,0.012835086429722864
174,0.013087203523894808
175,0.01333379191973938
176,0.012839703556720372
177,0.01279793028037568
178,0.01215821362105085
179,0.012664346711486307
180,0.013065969476868
181,0.013334189960497178
182,0.012920398558356139
183,0.013347685086676053
184,0.011921207911471665
185,0.012866168600845662
186,0.012359022126941066
187,0.013185313084273842
188,0.013104832223788776
189,0.012608164506240582
190,0.013117338257777944
191,0.012500030129722783
192,0.013871111713746886
193,0.013261183053035808
194,0.012957066068550072
195,0.012555387971594167
196,0.013196438636040697
197,0.012596958154993065
198,0.012422675096612101
199,0.013603675581483232
