set,calib,tool,dBrier_vs_fusion,ci95,fusion_lower
y_assay/BRCA1_included,isotonic,spliceai,0.0174,"[0.0069,0.0303]",True
y_assay/BRCA1_included,isotonic,pangolin,0.0103,"[0.0047,0.0177]",True
y_assay/BRCA1_included,isotonic,alphagenome,0.0176,"[0.0135,0.0224]",True
y_assay/BRCA1_included,isotonic,gpn_msa,0.0549,"[0.0427,0.0657]",True
y_assay/BRCA1_included,isotonic,nt,0.1356,"[0.0903,0.1720]",True
y_assay/BRCA1_included,isotonic,cadd,0.0504,"[0.0347,0.0671]",True
y_assay/BRCA1_included,isotonic,alphamissense,,"[nan,nan]",False
y_assay/BRCA1_included,isotonic,gnomad_af,0.1789,"[0.1498,0.2075]",True
y_assay/BRCA1_included,isotonic,phylop,0.0654,"[0.0523,0.0766]",True
y_assay/BRCA1_included,isotonic,phastcons,0.0848,"[0.0671,0.1040]",True
y_assay/BRCA1_excluded,isotonic,spliceai,0.0219,"[0.0071,0.0362]",True
y_assay/BRCA1_excluded,isotonic,pangolin,0.0117,"[0.0041,0.0185]",True
y_assay/BRCA1_excluded,isotonic,alphagenome,0.0188,"[0.0123,0.0241]",True
y_assay/BRCA1_excluded,isotonic,gpn_msa,0.0525,"[0.0419,0.0667]",True
y_assay/BRCA1_excluded,isotonic,nt,0.1113,"[0.0774,0.1390]",True
y_assay/BRCA1_excluded,isotonic,cadd,0.0362,"[0.0338,0.0402]",True
y_assay/BRCA1_excluded,isotonic,alphamissense,,"[nan,nan]",False
y_assay/BRCA1_excluded,isotonic,gnomad_af,0.1765,"[0.1374,0.2151]",True
y_assay/BRCA1_excluded,isotonic,phylop,0.0614,"[0.0478,0.0756]",True
y_assay/BRCA1_excluded,isotonic,phastcons,0.0812,"[0.0607,0.1081]",True
y_clinvar/BRCA1_included,isotonic,spliceai,0.0259,"[0.0071,0.0464]",True
y_clinvar/BRCA1_included,isotonic,pangolin,0.0124,"[0.0011,0.0250]",True
y_clinvar/BRCA1_included,isotonic,alphagenome,0.0257,"[0.0148,0.0407]",True
y_clinvar/BRCA1_included,isotonic,gpn_msa,0.0536,"[0.0381,0.0689]",True
y_clinvar/BRCA1_included,isotonic,nt,0.1575,"[0.1270,0.1916]",True
y_clinvar/BRCA1_included,isotonic,cadd,0.0261,"[0.0070,0.0429]",True
y_clinvar/BRCA1_included,isotonic,alphamissense,,"[nan,nan]",False
y_clinvar/BRCA1_included,isotonic,gnomad_af,0.2374,"[0.2132,0.2607]",True
y_clinvar/BRCA1_included,isotonic,phylop,0.0448,"[0.0289,0.0598]",True
y_clinvar/BRCA1_included,isotonic,phastcons,0.0692,"[0.0415,0.1028]",True
y_clinvar/BRCA1_excluded,isotonic,spliceai,0.0354,"[0.0128,0.0548]",True
y_clinvar/BRCA1_excluded,isotonic,pangolin,0.0196,"[0.0050,0.0338]",True
y_clinvar/BRCA1_excluded,isotonic,alphagenome,0.0298,"[0.0152,0.0473]",True
y_clinvar/BRCA1_excluded,isotonic,gpn_msa,0.0559,"[0.0324,0.0783]",True
y_clinvar/BRCA1_excluded,isotonic,nt,0.1413,"[0.1086,0.1659]",True
y_clinvar/BRCA1_excluded,isotonic,cadd,0.0179,"[0.0079,0.0259]",True
y_clinvar/BRCA1_excluded,isotonic,alphamissense,,"[nan,nan]",False
y_clinvar/BRCA1_excluded,isotonic,gnomad_af,0.2393,"[0.1991,0.2771]",True
y_clinvar/BRCA1_excluded,isotonic,phylop,0.0404,"[0.0244,0.0604]",True
y_clinvar/BRCA1_excluded,isotonic,phastcons,0.0638,"[0.0351,0.1069]",True
y_assay/BRCA1_included,platt,spliceai,0.0178,"[0.0109,0.0277]",True
y_assay/BRCA1_included,platt,pangolin,0.0085,"[0.0039,0.0144]",True
y_assay/BRCA1_included,platt,alphagenome,0.017,"[0.0138,0.0217]",True
y_assay/BRCA1_included,platt,gpn_msa,0.0536,"[0.0422,0.0647]",True
y_assay/BRCA1_included,platt,nt,0.1353,"[0.0906,0.1703]",True
y_assay/BRCA1_included,platt,cadd,0.0496,"[0.0358,0.0645]",True
y_assay/BRCA1_included,platt,alphamissense,,"[nan,nan]",False
y_assay/BRCA1_included,platt,gnomad_af,0.1727,"[0.1418,0.1998]",True
y_assay/BRCA1_included,platt,phylop,0.065,"[0.0516,0.0762]",True
y_assay/BRCA1_included,platt,phastcons,0.078,"[0.0602,0.0975]",True
y_assay/BRCA1_excluded,platt,spliceai,0.0215,"[0.0101,0.0320]",True
y_assay/BRCA1_excluded,platt,pangolin,0.0107,"[0.0036,0.0168]",True
y_assay/BRCA1_excluded,platt,alphagenome,0.0183,"[0.0137,0.0222]",True
y_assay/BRCA1_excluded,platt,gpn_msa,0.0516,"[0.0404,0.0666]",True
y_assay/BRCA1_excluded,platt,nt,0.1086,"[0.0761,0.1402]",True
y_assay/BRCA1_excluded,platt,cadd,0.0383,"[0.0353,0.0430]",True
y_assay/BRCA1_excluded,platt,alphamissense,,"[nan,nan]",False
y_assay/BRCA1_excluded,platt,gnomad_af,0.1707,"[0.1314,0.2070]",True
y_assay/BRCA1_excluded,platt,phylop,0.0617,"[0.0483,0.0773]",True
y_assay/BRCA1_excluded,platt,phastcons,0.0757,"[0.0566,0.1009]",True
