condition,calibration,object,n,n_pos,n_neg,threshold_at_spec95,sensitivity_at_that_point,specificity_achieved,lr_plus,lr_plus_lo,lr_plus_hi,n_boot_evaluable,lr_minus_at_spec95,lr_minus_at_sens95,threshold_at_sens95,acmg_tier,benign_tier_at_sens95,cal_method
y_assay/BRCA1_included,raw,fusion_M1,1675,821,854,0.5765367637769585,0.8891595615103532,0.9508196721311475,18.079577750710516,16.79767441860465,19.51197638359353,2000,0.1165735646184216,0.05709235643344799,0.4906696941541281,Moderate,Moderate,isotonic
y_assay/BRCA1_included,calibrated_isotonic,fusion_M1,1675,821,854,0.7611940298507462,0.876979293544458,0.9508196721311475,17.83191230207065,16.46201507572475,23.127354533203558,2000,0.12938384644462173,0.0539255192400045,0.2909090909090909,Moderate,Moderate,isotonic
y_assay/BRCA1_included,raw,mean_M0b,1675,821,854,0.6152447730652313,0.8160779537149817,0.9508196721311475,16.593585058871295,15.634241152907157,18.225511058727758,2000,0.1934352555756227,0.06225983978946809,0.4442840667999445,Moderate,Moderate,isotonic
y_assay/BRCA1_included,calibrated_isotonic,mean_M0b,1675,821,854,0.75,0.784409257003654,0.9519906323185012,16.338670865393183,15.40189436310164,19.696601676029328,2000,0.2264630928891506,0.0615499931531038,0.2631578947368421,Moderate,Moderate,isotonic
y_assay/BRCA1_included,raw,single:spliceai,1675,821,854,0.5810834848604634,0.830694275274056,0.9508196721311475,16.89078359723914,15.060065971552316,19.10907640080455,2000,0.17806291738418245,0.06491322717775592,0.4264528460957032,Moderate,Moderate,isotonic
y_assay/BRCA1_included,calibrated_isotonic,single:spliceai,1675,821,854,0.8389144407587235,0.7429963459196103,0.9543325526932084,16.269714856803773,14.392148744196612,26.45887445887446,2000,0.2693019884474268,0.07012549781713172,0.10695187165775401,Moderate,Moderate,isotonic
y_assay/BRCA1_included,raw,single:pangolin,1675,821,854,0.5787545787545787,0.8380024360535931,0.9508196721311475,17.03938286642306,15.820802005012531,19.16364561873533,2000,0.1703767482884624,0.058103528958836026,0.47244963369963366,Moderate,Moderate,isotonic
y_assay/BRCA1_included,calibrated_isotonic,single:pangolin,1675,821,854,0.7986118086666566,0.7917174177831913,0.9601873536299765,19.886078670201332,15.316972693032016,22.51873366250363,2000,0.21691868928433497,0.05611009749268422,0.25,Strong,Moderate,isotonic
y_assay/BRCA1_included,raw,single:alphagenome,1675,821,854,0.6098901098901099,0.7734470158343484,0.9508196721311475,15.726755988631751,14.923857692773732,17.955424777740312,2000,0.23827124196732327,0.06136401475652611,0.4503059770916914,Moderate,Moderate,isotonic
y_assay/BRCA1_included,calibrated_isotonic,single:alphagenome,1675,821,854,0.8205128205128205,0.7295980511571255,0.9508196721311475,14.835160373528218,14.142829908895223,21.845049204258718,2000,0.2843882565416439,0.06352335171221093,0.21428571428571427,Moderate,Moderate,isotonic
y_assay/BRCA1_included,raw,single:gpn_msa,1675,821,854,0.6728159340659341,0.6358099878197321,0.9508196721311475,12.92813641900122,12.338125569206232,15.28098918083462,2000,0.38302742660338523,0.08378780010959852,0.3333333333333333,Moderate,Moderate,isotonic
y_assay/BRCA1_included,calibrated_isotonic,single:gpn_msa,1675,821,854,0.8513513513513513,0.5895249695493301,0.9625292740046838,15.732947624847746,12.196497343334073,18.30337837837838,2000,0.4264545936798931,0.08884997969955344,0.14414414414414414,Moderate,Moderate,isotonic
y_assay/BRCA1_included,raw,single:nt,1675,821,854,0.8230906593406593,0.31790499390986604,0.9508196721311475,6.46406820950061,4.457349921671302,10.857529794149512,2000,0.7173757822672099,0.22806411901489648,0.13736263736263735,Moderate,Moderate,isotonic
y_assay/BRCA1_included,calibrated_isotonic,single:nt,1675,821,854,0.8214285714285714,0.25334957369062117,0.9613583138173302,6.556379876720923,2.5968911677753144,11.380311995696612,2000,0.7766619537980628,0.27514832423087515,0.24657534246575347,Moderate,Supporting,isotonic
y_assay/BRCA1_included,raw,single:cadd,1547,771,776,0.6730156075928132,0.6342412451361867,0.9510309278350515,12.951873848044235,12.034469280519442,16.963826391710686,2000,0.3845918614828172,0.08207389099491778,0.33439004142238354,Moderate,Moderate,isotonic
y_assay/BRCA1_included,calibrated_isotonic,single:cadd,1547,771,776,0.8790375233634964,0.5382619974059663,0.9664948453608248,16.06505038411653,11.558228615520282,25.327232026143786,2000,0.4777449200172936,0.08957010117946529,0.1141552511415525,Moderate,Moderate,isotonic
y_assay/BRCA1_included,raw,single:alphamissense,1,0,1,,,,,,,0,,,,not evaluable,not evaluable,isotonic
y_assay/BRCA1_included,calibrated_isotonic,single:alphamissense,0,0,0,,,,,,,0,,,,not evaluable,not evaluable,isotonic
y_assay/BRCA1_included,raw,single:gnomad_af,492,198,294,0.9623655913978495,0.050505050505050504,0.9625850340136054,1.349862258953168,0.6767691115702479,2.420394736842105,1996,0.9864011136095943,0.32594235033259383,0.09569892473118274,below supporting,Supporting,isotonic
y_assay/BRCA1_included,calibrated_isotonic,single:gnomad_af,492,198,294,0.5853658536585366,0.045454545454545456,0.9625850340136054,1.2148760330578512,0.7954545454545455,2.1185185185185182,1967,0.9916479280436878,0.41761363636363596,0.23529411764705882,below supporting,Supporting,isotonic
y_assay/BRCA1_included,raw,single:phylop,1675,821,854,0.6610340340523798,0.6686967113276492,0.9508196721311475,13.596833130328868,13.0353994651826,15.961505177403563,2000,0.34843966567264484,0.10587225285368491,0.2602496197056613,Moderate,Moderate,isotonic
y_assay/BRCA1_included,calibrated_isotonic,single:phylop,1675,821,854,0.796875,0.6297198538367844,0.9508196721311475,12.804303694681284,12.602380952380951,17.47191977077364,2000,0.38943256751648536,0.12346526816468298,0.13333333333333333,Moderate,Moderate,isotonic
y_assay/BRCA1_included,raw,single:phastcons,1675,821,854,0.9885490297422471,0.1315468940316687,0.9800936768149883,6.608296911943827,4.224954877864104,68.37462235649546,1784,0.8860919384670908,0.10661997563946413,0.2820733980690576,Moderate,Moderate,isotonic
y_assay/BRCA1_included,calibrated_isotonic,single:phastcons,1675,821,854,1.0,0.10353227771010962,0.9800936768149883,5.200974421437271,3.799818616538874,41.042368261261544,1497,0.914675549385384,0.12047454874515719,0.12837837837837837,Moderate,Moderate,isotonic
y_assay/BRCA1_excluded,raw,fusion_M1,1168,594,574,0.5660543017227148,0.8787878787878788,0.9512195121951219,18.015151515151516,16.635167878158533,19.89506172839506,2000,0.12742812742812742,0.05661327075468496,0.47178504216125916,Moderate,Moderate,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,fusion_M1,1168,594,574,0.7,0.8636363636363636,0.9512195121951219,17.704545454545453,16.11507386888273,28.324497955747884,2000,0.14335664335664336,0.05684293919588044,0.24553679816976887,Moderate,Moderate,isotonic
y_assay/BRCA1_excluded,raw,mean_M0b,1168,594,574,0.6141866726049555,0.8114478114478114,0.9512195121951219,16.634680134680135,15.530651340996167,18.839672667757775,2000,0.19822153155486494,0.06105352728446418,0.42792393170898674,Moderate,Moderate,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,mean_M0b,1168,594,574,0.7666666666666667,0.7878787878787878,0.9547038327526133,17.39393939393939,14.772676371780516,22.33253567928583,2000,0.2221853572218536,0.06105352728446418,0.24324324324324326,Moderate,Moderate,isotonic
y_assay/BRCA1_excluded,raw,single:spliceai,1168,594,574,0.5937386200544095,0.7828282828282829,0.9512195121951219,16.0479797979798,15.024810381065521,19.282617214083164,2000,0.22830872830872828,0.07112580970448999,0.3769680611785875,Moderate,Moderate,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:spliceai,1168,594,574,0.8852459016393442,0.7053872053872053,0.9512195121951219,14.46043771043771,13.804377090561365,32.27301393257765,2000,0.30972114305447646,0.08028854319655508,0.10810810810810811,Moderate,Moderate,isotonic
y_assay/BRCA1_excluded,raw,single:pangolin,1168,594,574,0.5820212925476084,0.8131313131313131,0.9512195121951219,16.66919191919192,15.591415447970013,19.64405487804878,2000,0.19645169645169644,0.058382435465768864,0.4506396887783749,Moderate,Moderate,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:pangolin,1168,594,574,0.8102217830478703,0.7592592592592593,0.9564459930313589,17.43259259259259,15.142960410994021,25.542649886544442,2000,0.25170343385279625,0.059121453636221635,0.2,Moderate,Moderate,isotonic
y_assay/BRCA1_excluded,raw,single:alphagenome,1168,594,574,0.6099131683664057,0.7525252525252525,0.9512195121951219,15.426767676767675,14.767091836734695,18.70004385964912,2000,0.2601657601657602,0.06159026159026166,0.4273672161172161,Moderate,Moderate,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:alphagenome,1168,594,574,0.875,0.6784511784511784,0.9721254355400697,24.339436026936024,14.121583652618135,26.667571644042233,2000,0.33076885944269463,0.06011730205278587,0.2,Strong,Moderate,isotonic
