condition,calibration,best_single,n,lr_plus_fusion,lr_plus_best_single,delta_lr_plus,lo,hi,n_boot_evaluable,fusion_better,tier_fusion,tier_best_single,crosses_a_tier_boundary,cal_method
y_assay/BRCA1_included,raw,single:pangolin,1675,18.079577750710516,17.03938286642306,1.0401948842874553,-0.34246996164984383,1.790776110353189,2000,False,Moderate,Moderate,False,isotonic
y_assay/BRCA1_included,calibrated_isotonic,single:pangolin,1675,17.83191230207065,19.886078670201332,-2.0541663681306837,-3.885745207173777,4.05290026846404,2000,False,Moderate,Strong,True,isotonic
y_assay/BRCA1_excluded,raw,single:pangolin,1168,18.015151515151516,16.66919191919192,1.3459595959595951,-0.4114223716952452,2.1055779396557908,2000,False,Moderate,Moderate,False,isotonic
y_assay/BRCA1_excluded,calibrated_isotonic,single:pangolin,1168,17.704545454545453,17.43259259259259,0.2719528619528617,-7.245942404478988,7.182769726247987,2000,False,Moderate,Moderate,False,isotonic
y_clinvar/BRCA1_included,raw,single:pangolin,946,20.54186818397345,20.504788999525843,0.03707918444760594,-2.162292143024869,2.5709813596491222,2000,False,Strong,Strong,False,isotonic
y_clinvar/BRCA1_included,calibrated_isotonic,single:pangolin,946,27.727284427284427,20.133997155049787,7.59328727223464,-21.733447957937752,59.04018226574215,2000,False,Strong,Strong,False,isotonic
y_clinvar/BRCA1_excluded,raw,single:pangolin,734,20.44950738916256,20.39901477832512,0.050492610837437724,-2.158636363636365,2.769682151589244,2000,False,Strong,Strong,False,isotonic
y_clinvar/BRCA1_excluded,calibrated_isotonic,single:pangolin,734,26.99671592775041,19.641625615763544,7.355090311986867,-29.249999999999996,141.8477910958903,2000,False,Strong,Strong,False,isotonic
y_assay/BRCA1_included,raw,single:pangolin,1675,18.079577750710516,17.03938286642306,1.0401948842874553,-0.27973726334381865,1.7965632369735178,2000,False,Moderate,Moderate,False,platt
y_assay/BRCA1_included,calibrated_platt,single:pangolin,1675,17.95574502639058,16.98984977669509,0.9658952496954925,-0.2925252166422152,1.9090466531440171,2000,False,Moderate,Moderate,False,platt
y_assay/BRCA1_excluded,raw,single:pangolin,1168,18.015151515151516,16.66919191919192,1.3459595959595951,-0.6129779654307939,2.0803300376549476,2000,False,Moderate,Moderate,False,platt
y_assay/BRCA1_excluded,calibrated_platt,single:pangolin,1168,17.773569023569024,16.358585858585858,1.4149831649831661,-0.5688186813186817,2.325333837238599,2000,False,Moderate,Moderate,False,platt
y_clinvar/BRCA1_included,raw,single:pangolin,946,20.54186818397345,20.504788999525843,0.03707918444760594,-2.139666339690142,2.3596528247063304,2000,False,Strong,Strong,False,platt
y_clinvar/BRCA1_included,calibrated_platt,single:pangolin,946,20.54186818397345,20.319393077287817,0.22247510668563208,-2.1626315789473693,2.2320874650548514,2000,False,Strong,Strong,False,platt
y_clinvar/BRCA1_excluded,raw,single:pangolin,734,20.44950738916256,20.39901477832512,0.050492610837437724,-2.3584775086505196,3.0,2000,False,Strong,Strong,False,platt
y_clinvar/BRCA1_excluded,calibrated_platt,single:pangolin,734,20.44950738916256,19.944581280788178,0.5049261083743808,-2.284285152428879,2.9286975931676995,2000,False,Strong,Strong,False,platt
