analysis,condition,statistic,T_obs,k,n_assignments,p_exact,p_wild_rademacher,delta_rho_obs,delta_brier_obs
delta_rho,BRCA1_included,DL-pooled Fisher-z delta,0.027553344957287767,7,128,0.125,0.131,0.012874911063737171,
delta_rho,BRCA1_excluded,DL-pooled Fisher-z delta,0.024265561578324966,6,64,0.25,0.238,0.012303771799149543,
delta_brier,isotonic/y_assay/BRCA1_included,n-weighted per-gene Brier delta,0.010300115900126031,7,128,0.03125,0.037,,0.010300115900126031
delta_brier,isotonic/y_assay/BRCA1_excluded,n-weighted per-gene Brier delta,0.011739460696463934,6,64,0.0625,0.0595,,0.011739460696463934
delta_brier,isotonic/y_clinvar/BRCA1_included,n-weighted per-gene Brier delta,0.012357922225258488,7,128,0.109375,0.103,,0.012357922225258488
delta_brier,isotonic/y_clinvar/BRCA1_excluded,n-weighted per-gene Brier delta,0.019603947563050575,6,64,0.09375,0.0955,,0.019603947563050575
delta_brier,platt/y_assay/BRCA1_included,n-weighted per-gene Brier delta,0.008534665353162378,7,128,0.03125,0.03,,0.008534665353162378
delta_brier,platt/y_assay/BRCA1_excluded,n-weighted per-gene Brier delta,0.010702987188221609,6,64,0.0625,0.0585,,0.010702987188221609
delta_brier,platt/y_clinvar/BRCA1_included,n-weighted per-gene Brier delta,0.011944281523654916,7,128,0.109375,0.1125,,0.011944281523654916
delta_brier,platt/y_clinvar/BRCA1_excluded,n-weighted per-gene Brier delta,0.016684507804738905,6,64,0.09375,0.1015,,0.016684507804738905
