model	region	version	auroc	auroc_lo	auroc_hi	auprc	auprc_lo	auprc_hi	n_pos	n_neg	note
cadd_phred	all	incl_BRCA1	0.9923	0.9901	0.9942	0.9812	0.9775	0.9846	1860	5953	
alphamissense	all	incl_BRCA1	0.9616	0.9498	0.9733	0.956	0.9343	0.9736	503	526	
phylop100way	all	incl_BRCA1	0.8964	0.8879	0.9042	0.7737	0.7538	0.7935	1982	6391	
phastcons100way	all	incl_BRCA1	0.7918	0.7812	0.8023	0.4806	0.4634	0.4989	1982	6391	
spliceai_ds	all	incl_BRCA1	0.6999	0.6849	0.7142	0.5866	0.5671	0.6053	1982	6391	
pangolin_score	all	incl_BRCA1	0.7548	0.7408	0.7686	0.6466	0.6286	0.6647	1982	6391	
alphagenome_splice	all	incl_BRCA1	0.7084	0.694	0.7227	0.5998	0.5803	0.6197	1982	6391	
gpn_msa_score	all	incl_BRCA1	0.9351	0.9271	0.9433	0.8947	0.8828	0.9068	1982	6391	
gnomad_af_global	all	incl_BRCA1	0.6274	0.6012	0.6543	0.2252	0.2001	0.256	472	2560	
gnomad_af_popmax	all	incl_BRCA1	0.6271	0.5988	0.653	0.2185	0.1934	0.2464	472	2560	
nucleotide_transformer	all	incl_BRCA1	0.7593	0.7458	0.7719	0.6501	0.6307	0.669	1982	6391	
cadd_phred	splice	incl_BRCA1	0.9937	0.9899	0.9967	0.996	0.9937	0.9978	517	362	
alphamissense	splice	incl_BRCA1							0	0	too few
phylop100way	splice	incl_BRCA1	0.9774	0.9686	0.9849	0.9855	0.9793	0.9904	555	391	
phastcons100way	splice	incl_BRCA1	0.9494	0.9351	0.9635	0.9433	0.9246	0.9606	555	391	
spliceai_ds	splice	incl_BRCA1	0.9975	0.9957	0.9988	0.9981	0.9968	0.9991	555	391	
pangolin_score	splice	incl_BRCA1	0.9993	0.9985	0.9999	0.9995	0.9989	0.9999	555	391	
alphagenome_splice	splice	incl_BRCA1	0.997	0.9949	0.9986	0.9979	0.9964	0.999	555	391	
