urn	gene	title	assay_type	is_sge	num_variants	transcripts	assembly	pmid	license
urn:mavedb:00000662-0-1	BAP1	BAP1 SGE	SGE	True	18108	ENST00000460680.6		38969833	CC BY 4.0
urn:mavedb:00000662-r-1	BAP1	BAP1 SGE additional variant scores	SGE	True	1691	ENST00000460680.6		38969833	CC BY 4.0
urn:mavedb:00000662-m-1	BAP1	BAP1 SGE Exon 13	SGE	True	1599	ENST00000460680.5	GRCh38		CC BY 4.0
urn:mavedb:00000662-i-1	BAP1	BAP1 SGE Exon 11	SGE	True	1401	ENST00000460680.5	GRCh38		CC BY 4.0
urn:mavedb:00000662-q-1	BAP1	BAP1 SGE Exon 17	SGE	True	1341	ENST00000460680.5	GRCh38		CC BY 4.0
urn:mavedb:00000662-n-1	BAP1	BAP1 SGE Exon 14	SGE	True	1199	ENST00000460680.5	GRCh38		CC BY 4.0
urn:mavedb:00000662-l-1	BAP1	BAP1 SGE Exon 12	SGE	True	1185	ENST00000460680.5	GRCh38		CC BY 4.0
urn:mavedb:00000662-k-1	BAP1	BAP1 SGE Exon 10	SGE	True	1149	ENST00000460680.5	GRCh38		CC BY 4.0
urn:mavedb:00000662-g-1	BAP1	BAP1 SGE Exon 7	SGE	True	1137	ENST00000460680.5	GRCh38		CC BY 4.0
urn:mavedb:00000662-d-1	BAP1	BAP1 SGE Exon 4	SGE	True	1063	ENST00000460680.5	GRCh38		CC BY 4.0
urn:mavedb:00000662-j-1	BAP1	BAP1 SGE Exon 9	SGE	True	1045	ENST00000460680.5	GRCh38		CC BY 4.0
urn:mavedb:00000662-e-1	BAP1	BAP1 SGE Exon 5	SGE	True	1029	ENST00000460680.5	GRCh38		CC BY 4.0
urn:mavedb:00000662-o-1	BAP1	BAP1 SGE Exon 15	SGE	True	819	ENST00000460680.5	GRCh38		CC BY 4.0
urn:mavedb:00000662-p-1	BAP1	BAP1 SGE Exon 16	SGE	True	690	ENST00000460680.5	GRCh38		CC BY 4.0
urn:mavedb:00000662-h-1	BAP1	BAP1 SGE Exon 8	SGE	True	656	ENST00000460680.5	GRCh38		CC BY 4.0
urn:mavedb:00000662-a-2	BAP1	BAP1 SGE Exon 1	SGE	True	620	ENST00000460680.5	GRCh38		CC BY 4.0
urn:mavedb:00000662-f-1	BAP1	BAP1 SGE Exon 6	SGE	True	608	ENST00000460680.5	GRCh38		CC BY 4.0
urn:mavedb:00000662-c-1	BAP1	BAP1 SGE Exon 3	SGE	True	518	ENST00000460680.5	GRCh38		CC BY 4.0
urn:mavedb:00000662-b-1	BAP1	BAP1 SGE Exon 2	SGE	True	357	ENST00000460680.5	GRCh38		CC BY 4.0
urn:mavedb:00001237-a-1	BAP1|MSH2	VarChAMP_Imaging_Localization_May_2025	other-MAVE	False	430				CC0
urn:mavedb:00001237-a-2	BAP1|MSH2	VarChAMP_Imaging_Morphological_Change_May_2025	other-MAVE	False	430				CC0
urn:mavedb:00001218-a-1	MLH1	Cellular abundance of MLH1	other-MAVE	False	5056			10.1101/2024.07.28.605491	CC0
urn:mavedb:00001218-a-2	MLH1	PMS2 interaction of MLH1	other-MAVE	False	5056			10.1101/2024.07.28.605491	CC0
urn:mavedb:00000050-a-1	MSH2	MSH2 LOF scores (HAP1)	other-MAVE	False	17746			33357406	CC0
urn:mavedb:00000054-a-1	PTEN	PTEN lipid phosphatase scores	other-MAVE	False	8681			29706350	CC0
