gene	region_class	n_functional	n_functional_snv	n_overlap_clinvar	n_overlap_ge1star	n_overlap_vus
BRCA1	coding_other	2803	2803	2803	1375	367
BRCA1	intronic	888	888	888	333	41
BRCA1	noncoding	65	65	65	23	3
BRCA1	splice	137	137	137	110	2
BRCA2	coding_other	6270	6270	3430	3400	992
BRCA2	intronic	551	551	215	213	55
BRCA2	splice	138	138	112	109	1
BARD1	coding_other	7929	6348	2975	2970	1717
BARD1	intronic	2622	2050	337	334	57
BARD1	noncoding	213	171	19	19	15
BARD1	splice	147	107	72	71	6
RAD51C	coding_other	7297	3326	1503	1500	598
RAD51C	intronic	1600	1152	294	291	47
RAD51C	noncoding	148	105	28	27	12
RAD51C	splice	143	96	55	53	5
PALB2	coding_other	11017	8856	3903	3850	2091
PALB2	intronic	1239	1041	303	299	63
PALB2	noncoding	411	334	33	31	11
PALB2	splice	184	144	100	98	6
