model_a	model_b	rho_a	rho_b	delta	ci_lo	ci_hi	sig
spliceai_ds	pangolin_score	0.7536	0.7593	-0.0057	-0.0199	0.01	no
spliceai_ds	gpn_msa_score	0.7536	0.6741	0.0794	0.0508	0.1092	yes
spliceai_ds	alphagenome_splice	0.7536	0.7535	0.0001	-0.0189	0.0194	no
spliceai_ds	nucleotide_transformer	0.7536	0.4915	0.262	0.2224	0.3009	yes
spliceai_ds	cadd_phred	0.7536	0.6984	0.0552	0.0298	0.083	yes
pangolin_score	gpn_msa_score	0.7593	0.6741	0.0851	0.0611	0.1112	yes
pangolin_score	alphagenome_splice	0.7593	0.7535	0.0058	-0.0158	0.0277	no
pangolin_score	nucleotide_transformer	0.7593	0.4915	0.2677	0.2296	0.3069	yes
pangolin_score	cadd_phred	0.7593	0.6984	0.0609	0.0375	0.0853	yes
gpn_msa_score	alphagenome_splice	0.6741	0.7535	-0.0793	-0.1094	-0.0514	yes
gpn_msa_score	nucleotide_transformer	0.6741	0.4915	0.1826	0.14	0.2205	yes
gpn_msa_score	cadd_phred	0.6741	0.6984	-0.0243	-0.0494	0.001	no
alphagenome_splice	nucleotide_transformer	0.7535	0.4915	0.2619	0.2182	0.3048	yes
alphagenome_splice	cadd_phred	0.7535	0.6984	0.055	0.0261	0.0851	yes
nucleotide_transformer	cadd_phred	0.4915	0.6984	-0.2069	-0.2481	-0.1671	yes
