gene	region_subset	N_spearman	N_merged	sp_hw_rho0.3	sp_hw_rho0.5	sp_hw_rho0.7	n_pos	n_neg	auroc_hw_0.75	auroc_hw_0.85	auroc_hw_0.90	verdict_spearman	verdict_auroc
BRCA1	whole_gap	1025	1039	0.0557	0.046	0.0313	152	203	0.0524	0.0424	0.0352	sufficient	sufficient
BRCA1	splice	536	547	0.0771	0.0636	0.0433	149	63	0.0662	0.0505	0.0402	sufficient	marginal
BRCA1	splice_core	137	148	0.153	0.1267	0.0867	110	0				marginal	no_PB
BRCA1	splice_region	399	399	0.0894	0.0738	0.0503	39	63	0.1015	0.0829	0.069	sufficient	insufficient
BRCA1	intronic	489	492	0.0808	0.0666	0.0454	3	140	0.3234	0.2756	0.2349	sufficient	insufficient
BRCA1	coding	2798	2798	0.0337	0.0278	0.0189	309	382	0.0371	0.03	0.0248	sufficient	sufficient
BRCA1	missense	2117	2117	0.0388	0.032	0.0217	208	127	0.0513	0.0399	0.0323	sufficient	sufficient
BRCA1	utr	56	56	0.2407	0.2006	0.1388	0	13				insufficient	no_PB
BRCA2	whole_gap	689	327	0.068	0.0561	0.0382	125	98	0.0629	0.0497	0.0405	sufficient	sufficient
BRCA2	splice	552	278	0.076	0.0627	0.0427	122	63	0.0697	0.0537	0.0431	sufficient	marginal
BRCA2	splice_core	138	112	0.1525	0.1262	0.0864	111	0				marginal	no_PB
BRCA2	splice_region	414	166	0.0878	0.0725	0.0494	11	63	0.1753	0.1475	0.1249	sufficient	insufficient
BRCA2	intronic	137	49	0.153	0.1267	0.0867	3	35	0.331	0.2806	0.2386	marginal	insufficient
BRCA2	coding	3422	3422	0.0305	0.0251	0.0171	319	1327	0.0328	0.0275	0.0232	sufficient	sufficient
BRCA2	missense	2022	2022	0.0397	0.0327	0.0223	87	205	0.0653	0.0539	0.0452	sufficient	marginal
BRCA2	utr	0	0				0	0				N_too_small	no_PB
BARD1	whole_gap	2157	409	0.0384	0.0317	0.0215	56	232	0.0784	0.0656	0.0554	sufficient	marginal
BARD1	splice	430	200	0.0861	0.0711	0.0484	54	51	0.0929	0.0741	0.0609	sufficient	marginal
BARD1	splice_core	107	72	0.1733	0.1437	0.0986	53	0				marginal	no_PB
BARD1	splice_region	323	128	0.0994	0.0821	0.056	1	51	0.5628	0.4798	0.4091	sufficient	insufficient
BARD1	intronic	1727	209	0.0429	0.0354	0.0241	2	181	0.3948	0.3368	0.2872	sufficient	insufficient
BARD1	coding	2970	2970	0.0327	0.027	0.0184	148	786	0.0477	0.04	0.0339	sufficient	sufficient
BARD1	missense	2029	2029	0.0396	0.0327	0.0222	2	45	0.4007	0.3408	0.2903	sufficient	insufficient
BARD1	utr	19	19	0.4212	0.3592	0.2577	0	2				insufficient	no_PB
PALB2	whole_gap	1185	405	0.0518	0.0427	0.0291	85	185	0.0665	0.0548	0.0459	sufficient	marginal
PALB2	splice	528	252	0.0777	0.0641	0.0437	85	58	0.0785	0.0616	0.05	sufficient	marginal
PALB2	splice_core	144	102	0.1492	0.1235	0.0845	78	0				marginal	no_PB
PALB2	splice_region	384	150	0.0912	0.0752	0.0513	7	58	0.2174	0.1837	0.1559	sufficient	insufficient
PALB2	intronic	657	153	0.0696	0.0575	0.0391	0	127				sufficient	no_PB
PALB2	coding	3900	3900	0.0286	0.0235	0.016	259	976	0.0366	0.0306	0.0258	sufficient	sufficient
PALB2	missense	2660	2660	0.0346	0.0285	0.0194	12	59	0.169	0.1418	0.12	sufficient	insufficient
PALB2	utr	33	33	0.3158	0.2653	0.1858	0	17				insufficient	no_PB
RAD51C	whole_gap	1248	349	0.0505	0.0417	0.0283	53	208	0.0809	0.0676	0.0571	sufficient	marginal
RAD51C	splice	384	171	0.0912	0.0752	0.0513	53	45	0.0956	0.0758	0.0621	sufficient	marginal
RAD51C	splice_core	96	55	0.1831	0.1519	0.1043	45	0				insufficient	no_PB
RAD51C	splice_region	288	116	0.1053	0.087	0.0593	8	45	0.2062	0.1735	0.1469	sufficient	insufficient
RAD51C	intronic	864	178	0.0607	0.0501	0.0341	0	163				sufficient	no_PB
RAD51C	coding	1502	1502	0.046	0.038	0.0258	76	428	0.0664	0.0558	0.0473	sufficient	marginal
RAD51C	missense	1048	1048	0.0551	0.0455	0.0309	16	67	0.1473	0.1233	0.1041	sufficient	insufficient
RAD51C	utr	28	28	0.3438	0.2899	0.2042	0	8				insufficient	no_PB
POOLED	whole_gap	6304	2529	0.0225	0.0185	0.0126	471	926	0.0285	0.0234	0.0195	sufficient	sufficient
POOLED	splice	2430	1448	0.0362	0.0298	0.0203	463	280	0.0344	0.0268	0.0216	sufficient	sufficient
POOLED	splice_core	622	489	0.0716	0.0591	0.0402	397	0				sufficient	no_PB
POOLED	splice_region	1808	959	0.042	0.0346	0.0235	66	280	0.0722	0.0604	0.051	sufficient	marginal
POOLED	intronic	3874	1081	0.0287	0.0236	0.0161	8	646	0.1971	0.1681	0.1434	sufficient	insufficient
POOLED	coding	14592	14592	0.0148	0.0122	0.0083	1111	3899	0.0177	0.0148	0.0125	sufficient	sufficient
POOLED	missense	9876	9876	0.0179	0.0148	0.0101	325	503	0.0352	0.0286	0.0238	sufficient	sufficient
POOLED	utr	136	136	0.1536	0.1272	0.0871	0	40				marginal	no_PB
