gene	region_subset	N_merged	n_PLP	n_BLB	n_clean_PB	n_VUS	n_conflicting	n_other	N_func_total
BRCA1	whole_gap	1039	152	203	355	46	54	584	1025.0
BRCA1	splice	547	149	63	212	35	44	256	536.0
BRCA1	splice_core	148	110	0	110	3	3	32	137.0
BRCA1	splice_region	399	39	63	102	32	41	224	399.0
BRCA1	intronic	492	3	140	143	11	10	328	489.0
BRCA1	coding	2798	309	382	691	381	321	1405	
BRCA1	missense	2117	208	127	335	372	308	1102	
BRCA1	utr	56	0	13	13	2	4	37	
BRCA2	whole_gap	327	125	98	223	57	47	0	689.0
BRCA2	splice	278	122	63	185	54	39	0	552.0
BRCA2	splice_core	112	111	0	111	1	0	0	138.0
BRCA2	splice_region	166	11	63	74	53	39	0	414.0
BRCA2	intronic	49	3	35	38	3	8	0	137.0
BRCA2	coding	3422	319	1327	1646	1004	767	5	
BRCA2	missense	2022	87	205	292	998	727	5	
BRCA2	utr	0	0	0	0	0	0	0	
BARD1	whole_gap	409	56	232	288	63	56	2	2157.0
BARD1	splice	200	54	51	105	55	39	1	430.0
BARD1	splice_core	72	53	0	53	6	13	0	107.0
BARD1	splice_region	128	1	51	52	49	26	1	323.0
BARD1	intronic	209	2	181	183	8	17	1	1727.0
BARD1	coding	2970	148	786	934	1713	320	3	
BARD1	missense	2029	2	45	47	1702	278	2	
BARD1	utr	19	0	2	2	15	2	0	
PALB2	whole_gap	405	85	185	270	70	64	1	1185.0
PALB2	splice	252	85	58	143	58	50	1	528.0
PALB2	splice_core	102	78	0	78	7	17	0	144.0
PALB2	splice_region	150	7	58	65	51	33	1	384.0
PALB2	intronic	153	0	127	127	12	14	0	657.0
PALB2	coding	3900	259	976	1235	2130	528	7	
PALB2	missense	2660	12	59	71	2110	474	5	
PALB2	utr	33	0	17	17	11	5	0	
RAD51C	whole_gap	349	53	208	261	53	34	1	1248.0
RAD51C	splice	171	53	45	98	49	23	1	384.0
RAD51C	splice_core	55	45	0	45	5	4	1	96.0
RAD51C	splice_region	116	8	45	53	44	19	0	288.0
RAD51C	intronic	178	0	163	163	4	11	0	864.0
RAD51C	coding	1502	76	428	504	598	399	1	
RAD51C	missense	1048	16	67	83	589	375	1	
RAD51C	utr	28	0	8	8	13	7	0	
POOLED	whole_gap	2529	471	926	1397	289	255	588	6304.0
POOLED	splice	1448	463	280	743	251	195	259	2430.0
POOLED	splice_core	489	397	0	397	22	37	33	622.0
POOLED	splice_region	959	66	280	346	229	158	226	1808.0
POOLED	intronic	1081	8	646	654	38	60	329	3874.0
POOLED	coding	14592	1111	3899	5010	5826	2335	1421	
POOLED	missense	9876	325	503	828	5771	2162	1115	
POOLED	utr	136	0	40	40	41	18	37	
