model	sens_at_95spec	ci_lo	ci_hi	n_pos	n_neg
cadd_phred	0.9853	0.9775	0.9915	1431	5416
alphamissense	0.9003	0.7967	0.9369	301	422
phylop100way	0.6469	0.6161	0.6755	1521	5793
phastcons100way	0.6917	0.6691	0.7137	1521	5793
spliceai_ds	0.3879	0.3647	0.4154	1521	5793
pangolin_score	0.4793	0.4458	0.5023	1521	5793
alphagenome_splice	0.3918	0.3641	0.4161	1521	5793
gpn_msa_score	0.831	0.804	0.8518	1521	5793
gnomad_af_global	0.1283	0.0963	0.169	374	2329
gnomad_af_popmax	0.1578	0.1227	0.1953	374	2329
nucleotide_transformer	0.5378	0.5125	0.5654	1521	5793
